場面	安定性	周	一致率	聞取
pr01-2	0.5	1	84.6	韓国の首都ソウルソチョクにあった百貨店が崩れ落ちた。
pr01-2	0.5	2	84.6	韓国の首都ソウルソチョクにあった百貨店が崩れ落ちた。
pr01-2	1.0	1	84.6	韓国の首都ソウルソチョクにあった百貨店が崩れ落ちた。
pr01-2	1.0	2	84.6	韓国の首都ソウルソチョクにあった百貨店が崩れ落ちた。
pr05-1	0.5	1	94.3	三分百貨店が店を開いたのは1989年の12月である。
pr05-1	0.5	2	94.3	三分百貨店が店を開いたのは1989年の12月である。
pr05-1	1.0	1	94.3	三分百貨店が店を開いたのは1989年の12月である。
pr05-1	1.0	2	94.3	三分百貨店が店を開いたのは1989年の12月である。
pr06-1	0.5	1	67.9	地上五階、地下四階。一番高いところで二七．六メートル。
pr06-1	0.5	2	67.9	地上五階、地下四階。一番高いところで二七．六メートル。
pr06-1	1.0	1	66.7	地上五階、地下四階。一番高いところで二十七点六メートル。
pr06-1	1.0	2	66.7	地上五階、地下四階。一番高いところで二十七点六メートル。
pr07-1	0.5	1	74.1	会員として名前を登録していた人が七万六千五百人余り。
pr07-1	0.5	2	74.1	会員として名前を登録していた人が七万六千五百人余り。
pr07-1	1.0	1	74.1	会員として名前を登録していた人が七万六千五百人余り。
pr07-1	1.0	2	74.1	会員として名前を登録していた人が七万六千五百人余り。
c304-2	0.5	1	73.8	中身は地下四階、地上五階、延べ七万一点四三十六平方メートルである。
c304-2	0.5	2	75.0	中身は地下四階、地上五階、延べ七万一点四三六平方メートルである。
c304-2	1.0	1	73.8	中身は地下四階、地上五階、延べ七万一点千三十六平方メートルである。
c304-2	1.0	2	73.8	中身は地下四階、地上五階、延べ七万一点千三十六平方メートルである。
c404-2	0.5	1	86.8	二百四十キログラムの荷物を載せる前提で設計されていた。
c404-2	0.5	2	86.8	二百四十キログラムの荷物を載せる前提で設計されていた。
c404-2	1.0	1	86.8	二百四十キログラムの荷物を載せる前提で設計されていた。
c404-2	1.0	2	85.7	240kgの荷物を載せる前提で設計されていた。
c614-1	0.5	1	68.2	後に数えられた被害者は千四百三十九人である。
c614-1	0.5	2	0.0	[outro jingle]
c614-1	1.0	1	68.2	後に数えられた被害者は千四百三十九人である。
c614-1	1.0	2	68.2	後に数えられた被害者は千四百三十九人である。
c814-2	0.5	1	94.4	377時間ぶりに生きて助け出された。
c814-2	0.5	2	94.4	377時間ぶりに生きて助け出された。
c814-2	1.0	1	94.4	377時間ぶりに生きて助け出された。
c814-2	1.0	2	94.4	377時間ぶりに生きて助け出された。
c910-1	0.5	1	75.5	男女の別で見ると、男性が百六人で、女性が三百九十六人。
c910-1	0.5	2	73.1	男女の別で見ると、男性が百六人で女性が三百九十六人。
c910-1	1.0	1	75.5	男女の別で見ると、男性が百六人で、女性が三百九十六人。
c910-1	1.0	2	75.5	男女の別で見ると、男性が百六人で、女性が三百九十六人。
c115-2	0.5	1	93.5	その三十分前には対策の会議が開かれ、社長が役員に説明している。
c115-2	0.5	2	93.5	その三十分前には対策の会議が開かれ、社長が役員に説明している。
c115-2	1.0	1	93.5	その三十分前には対策の会議が開かれ、社長が役員に説明している。
c115-2	1.0	2	93.5	その三十分前には対策の会議が開かれ、社長が役員に説明している。
