行	key	val	前	後	前の聞取	後の聞取
c712-1	管制	かんせい	0.909	0.909	八時五十四分二十四秒。関税で初めて異常が形になった。	八時五十四分二十四秒。完成で初めて異常が形になった。
c720-2	管制	かんせい	0.732	1.000	寛治はそれでもケーキの不具合だと考えていた。	管制はそれでも計器の不具合だと考えている。
c724-1	管制	かんせい	0.926	0.926	寛治はアンテナの切り替えによる短い途切れだと思っていた。	感性はアンテナの切り替えによる短い途切れだと思っていた。
c726-2	管制	かんせい	0.839	1.000	漢字への画面には何も映らなかった。	管制の画面には何も映らなかった。
c705-2	管制	かんせい	1.000	1.000	地上の管制もいつもと同じ再突入として見ていた。	地上の管制もいつもと同じ再突入として見ていた。
c511-2	クレーター	クレエタア	0.784	1.000	チームが使ったのはCraterという計算の道具だった。	チームが使ったのはクレーターという計算の道具だった。
c518-1	クレーター	クレエタア	0.848	1.000	それでもクリエイターは答えを出した	それでもクレーターは答えを出した。
c519-2	クレーター	クレエタア	0.889	0.756	一つ、クリエイターは大げさに出る道具だという経験。	一つ、Craterは大げさに出る道具だという経験。
c316-1	見積り	みつもり	0.880	0.926	飛行中に出した速さの蜜は時速六百三から一千五十二キロ。	飛行中に出した速さの見積もりは時速六百三から一点五十二キロ。
c316-3	見積り	みつもり	0.864	0.933	堆積のミスりもほぼ同じところに落ち着いていた。	堆積の見積もりもほぼ同じところに落ち着いていた。
c209-1	〜	から	0.778	0.778	欠片の長さは約五十三 to 六十九センチ、幅は約三十 to 四十六センチ。	欠片の長さは約五十三から六十九センチ、幅は約三十から四十六センチ。
c210-1	〜	から	0.851	0.880	ぶつかった時の速さの差は時速約六百七十と九百二十キロ。	ぶつかった時の速さの差は時速約六七〇から九二〇キロ
c712-3	〜	から	0.875	0.909	四つが四で年、秒の間に次々と消えた。	四つが四から五秒の間に次々と消えた。
c109-1	オービタの先	オービタ の先	0.800	1.000	大尾びたの先と外部タンクが二本の支柱でつないである。	オービタの先と外部タンクは二本の支柱でつないである。
c111-2	強化炭素	きょうか炭素	0.941	0.980	硫化炭素炭素という材料の略で、片方の翼に二十二枚が並ぶ。	強化炭素。炭素という材料の略で、片方の翼に二十二枚が並ぶ。
c113-2	その値は	その あたいは	0.909	0.909	その名帯は0.08ジュール。一円玉を八十センチ落とすほどの力。	その値は0.008ジュール。一円玉を80CM落とすほどの力。
c206-2	高度は約	こうどは約	0.900	0.950	速度は約二十キロ、速さは音の二点四六倍だった。	高度は約二十キロ、速さは音の二点四六倍だった。
c212-2	離陸から	りりくから	0.919	0.800	陸から追い続ける役目はそのうち五箇所	リリックから追い続ける役目はそのうち五箇所
c214-2	上がっていく	あがっていく	0.909	0.929	曲がっていくシャトルを追う力は年々落ちていたと見られる。	上がっていくシャトルを追う力が年々落ちていったと見られる。
c312-1	当たった範囲	あたった範囲	0.829	0.905	渡った範囲は畳一枚ほどの広さまで絞れた。	当たった範囲は畳一枚ほどの広さまで絞れた。
c403-1	積み荷の実験	つみにの実験	0.893	0.926	SM2の実験をまとめる責任者はマイケルアンダーソン 43歳。	隅の実験をまとめる責任者はマイケルアンダーソン四十三歳。
c415-2	断熱材の衝突	だんねつざいの衝突	0.906	0.981	環熱帯の衝突は十六日間の暮らしに何の影響も与えなかった。	断熱材の衝突は十六日間の暮らしに何の影響も与えなかった。
c503-2	誰が責任者	だれが責任者	0.950	0.950	誰が責任者なのかな決まらないままになった。	誰が責任者なのかね、決まらないままになった。
c511-1	計算のほうは	けいさんのほうは	0.780	0.800	理恵さんの方は写真を求める前から進んでいた。	Kさんの方は写真を求める前から進んでいた。
c518-2	耐熱タイルより	たいねつタイルより	0.947	1.000	媒熱タイルより深く削るという答えである。	耐熱タイルより深く削るという答えである。
c526-2	指揮系統を	しきけいとうを	0.857	1.000	不否認制度を飛び越したくないという理由で送らなかったメールである。	指揮系統を飛び越したくないという理由で送らなかったメールである。
c615-1	塞ぐ材料	ふさぐ材料	0.811	0.944	探査具材料は重い金属の工具、チタンの小刀	塞ぐ材料は重い金属の工具、チタンの小刀。
c619-1	着陸で翼	ちゃくりくで翼	0.981	1.000	陸で翼が壊れると読めた場合は、乗員は脱出する前提だった。	着陸で翼が壊れると読めた場合は、乗員は脱出する前提だった。
c707-2	飛行が終わって	ひこうが終わって	0.923	1.000	機構が終わってから調べるためのもので、電波では送らない。	飛行が終わってから調べるためのもので、電波では送らない。
c713-1	班をまとめ	はんをまとめ	0.939	1.000	プランをまとめ、最後の判断をする飛行主任が「全部が同時に消えたのか」と聞く。	班をまとめ、最後の判断をする飛行主任が全部が同時に消えたのかと聞く。
c724-2	通信の担当	つうしんの担当	0.889	1.000	球審の担当が少し乱れていますが、ひどくはないと答えている。	通信の担当は少し乱れていますが、ひどくはないと答えている。
c727-3	飛行主任は	ひこうしゅにんは	0.913	1.000	機工主任はドアを閉めろと言い、非常の手順に入った。	飛行主任はドアを閉めろと言い、非常の手順に入った。
c813-1	破片は、ケネディ	はへんは、ケネディ	0.923	1.000	馬券はケネディ宇宙センターの大きな格納庫へ集められた。	破片はケネディ宇宙センターの大きな格納庫へ集められた。
ep06-1	破片は今も	はへんは今も	1.000	1.000	破片は今も見つかる。そのたびにあの七人が思い出される。	破片は今も見つかる。そのたびにあの七人が思い出される。
c902-3	破ったのは	やぶったのは	0.852	0.923	ギャブったのは断熱材一辺、当たったのは八枚目の一半分である。	破ったのは断熱材一辺、当たったのは八枚目の一半分である。
c905-1	予算の不足	よさんの不足	1.000	1.000	予算の不足、揺れる優先順位、日程の圧力。	予算の不足、揺れる優先順位、日程の圧力。
c909-1	安全を担当	あんぜんを担当	0.983	1.000	万全を担当する部署は監督するはずの計画からお金をもらっていた。	安全を担当する部署は監督するはずの計画からお金をもらっていた。
c913-2	打ち上げを3方向	うちあげを3方向	0.945	1.000	仕上げを三方向以上から撮ること。RCCを全部点検すること。	打ち上げを三方向以上から撮ること。RCCを全部点検すること。
c208-2	RCCの板でいえば	アールシーシーの板でいえば	0.878	0.878	RCCの板で言えば五枚目から九枚目の辺り。	RCCの板で言えば五枚目から九枚目の辺り。
c307-2	破片の位置が51	はへんの位置が51	0.821	1.000	バペンの位置が五十一cmずれるだけで速さの答えは大きく動く。	破片の位置が五十一センチずれるだけで、速さの答えは大きく動く。
c502-1	破片の影響	はへんの影響	0.909	1.000	飛行二日目、派遣の影響を調べる集まりが作られた。	飛行二日目、破片の影響を調べる集まりが作られた。
c411-2	黙とう	もくとう	0.820	0.833	十三日目には過去の事故で亡くなった人たちにダマトウを捧げている。	十三日目には過去の事故で亡くなった人たちにも供養を捧げている。
c420-1	追悼の頁	追悼の ぺーじ	0.941	0.941	追悼のやじなに載っている写真は、 一月二十六日にこの機体から撮ったものである。	追悼のページに載っている写真は、一月二十六日にこの機体から撮ったものである。
c506-2	手続きを問うた	手続きを とうた	0.833	1.000	止めた側は中身ではなく手続きを踏んだ。	止めた側は中身ではなく手続きを問うた。
c516-1	式が試された	しきが試された	0.930	1.000	知識が試された範囲をどれだけはみ出していたか。	式が試された範囲をどれだけはみ出していたか。
c610-2	乗り移る	のりうつる	0.811	1.000	宇宙服を着た七人が船外活動で海苔を釣る。	宇宙服を着た七人が船外活動で乗り移る。
c617-2	NASAは確かめ	ナサは確かめ	0.800	0.800	噂は確かめられなかった。	母は確かめられなかった。
c619-2	にくい降り方	にくい おりかた	0.967	1.000	荷物の一部を投げ捨て、左の翼が熱くなりにくい掘り方も検討された。	荷物の一部を投げ捨て、左の翼が熱くなりにくい降り方も検討された。
c702-1	地上から	ちじょうから	0.810	0.952	午前八時十分、事情から降りて良いと伝えられる。	午前八時十分、地上から降りてよいと伝えられる。
c218-1	地上から	ちじょうから	1.000	1.000	だが、地上から残りの映像を送ってくれと頼んだ者はいなかった。	だが、地上から残りの映像を送ってくれと頼んだ者はいなかった。
c716-1	機体は傾きを	機体は かたむきを	0.935	0.984	八時五十五分三十二秒ユタ州へ。八時五十六分三十秒機体は型抜きを切り替えた。	八時五十五分三十二秒、ユタ州へ。八時五十六分三十秒、機体は傾きを切り替えた。
c720-1	左の主脚の	左の しゅきゃくの	0.943	0.981	八時五十九分十五秒。左の死脚のタイヤの空気圧の表示が消えた。	八時五十九分十五秒。左の主脚のタイヤの空気圧の表示が消えた。
c727-1	場内の放送は	じょうないの放送は	0.826	0.962	九時二分二十一秒、着陸まで十四分と伝えていた。	九時二分二十一秒。場内の放送は着陸まで十四分と伝えていた。
c807-2	広さを当たった	広さを あたった	0.941	0.898	延べ150万時間をかけて四国の半分ほどの広さを渡った。	延べ百五十万時間をかけて四国の半分ほどの広さを渡った。
c815-1	いちばん西で見つかった	いちばん にしで見つかった	0.767	0.847	一番にして見つかった耐熱タイルは八枚目と九枚目の真後ろのもの。	一番西で見つかった耐熱タイルは八枚目と九枚目の真後ろのもの。
c907-2	縦横40センチ	たてよこ40センチ	0.917	0.978	八枚目のパネルに縦横よろこ四十センチほどの穴が開いた。	八枚目のパネルに縦横四十センチほどの穴が開いた。
