行	判定	食い違い	台本の読み	聞取の読み	台本	聞取
pr01-1	読み一致		ネンツキニチカヨオビアメリカトオブハヨクハレタアサダッタ	ネンツキニチカヨオビアメリカトオブハヨクハレタアサダッタ	2001年9月11日、火曜日。アメリカ東部は、よく晴れた朝だった。	2010年9月11日火曜日、アメリカ東部はよく晴れた朝だった。
pr03-1	読み一致		コノドオガガミテエクノハソノキトチジョオデソレヲオッテエタヒトタチデアル	コノドオガガミテエクノハソノキトチジョオデソレヲオッテエタヒトタチデアル	この動画が見ていくのは、その4機と、地上でそれを追っていた人たちである。	この動画が見ていくのは、その四基と、地上でそれを追っていた人たちである。
pr04-1	読みが違う	フン→クブ	グンガキメノノットリヲシラサレタノハブツカルフンマエダッタ	グンガキメノノットリヲシラサレタノハブツカルクブマエダッタ	軍が1機目の乗っ取りを知らされたのは、ぶつかる9分前だった。	軍が一機目の乗っ取りを知らされたのは、ぶつかる九分前だった。
pr04-2	読み一致		ノコリノキニツイテハオチルマデシラサレテエナイ	ノコリノキニツイテハオチルマデシラサレテエナイ	残りの3機については、墜ちるまで知らされていない。	残りの三機については落ちるまで知らされていない。
pr06-3	読み一致		ハンニントタタカウコトハテビキノドコニモカカレテエナイ	ハンニントタタカウコトハテビキノドコニモカカレテエナイ	犯人と戦うことは、手引きのどこにも書かれていない。	犯人と戦うことは手引きのどこにも書かれていない。
c103-2	読み一致		ムネノタテモノトチカノショオテンガイヲマトメテソオヨンデエル	ムネノタテモノトチカノショオテンガイヲマトメテソオヨンデエル	7棟の建物と、地下の商店街をまとめて、そう呼んでいる。	七棟の建物と地下の商店街をまとめてそう呼んでいる。
c104-1	読み一致		ビンノシュッパツチハカショボストンワシントンニュウアアクデアル	ヨンビンノシュッパツチハカショボストンワシントンニュウアアクデアル	4便の出発地は3か所。ボストン、ワシントン、ニューアークである。	ヨンビンの出発地は三箇所、ボストン、ワシントン、ニューアークである。
c105-3	読み一致		コノドオガデハサイゴマデコノビンメエデヨブ	コノドオガデハサイゴマデコノビンメエデヨブ	この動画では、最後までこの便名で呼ぶ。	この動画では最後までこの便名で呼ぶ。
c108-2	読み一致		キャクシツノツウロガホンアルドオタイノフトイオオガタキデアル	キャクシツノツウロガホンアルドオタイノフトイオオガタキデアル	客室の通路が2本ある、胴体の太い大型機である。	客室の通路が二本ある胴体の太い大型機である。
c109-1	読み一致		ビントビンハボオイングトイウキシュ	ビントビンハボオイングトイウキシュ	77便と93便は、ボーイング757という機種。	二十七便と九十三便はボーイング七五七という機種。
c112-2	読み一致		ナッタヒトダケカカリインガテニモツボオデモオイチドシラベル	ナッタヒトダケカカリインガテニモツボオデモオイチドシラベル	鳴った人だけ、係員が手に持つ棒でもう一度調べる。	なった人だけ係員が手に持つ棒でもう一度調べる。
c122-1	読み一致		ノットリガワカルトカンセエカンハマズジョオシニシラセル	ノットリガワカルトカンセエカンハマズジョオシニシラセル	乗っ取りが分かると、管制官はまず上司に報せる。	乗っ取りがわかると、管制官はまず上司に知らせる。
c122-2	読み一致		シラセハレンポオコオクウキョクトイウヤクショノホンブヘアガリコクボオソオショオヘワタル	シラセハレンポオコオクウキョクトイウヤクショノホンブヘアガリコクボオソオショオヘワタル	報せは連邦航空局という役所の本部へ上がり、国防総省へ渡る。	知らせは、連邦航空局という役所の本部へ上がり、国防総省へ渡る。
c122-3	読み一致		グンノシキケエトオヲマタオリテヤットセントオキガウゴク	グンノシキケエトオヲマタオリテヤットセントオキガウゴク	軍の指揮系統をまた降りて、やっと戦闘機が動く。	軍の指揮系統をまた降りて、やっと戦闘機が動く。
c124-2	読みが違う	ハ→ガ	コクナイヲトブリョカクキガブキニナルコトハソオテエニナイ	コクナイヲトブリョカクキガブキニナルコトガソオテエニナイ	国内を飛ぶ旅客機が武器になることは、想定に無い。	国内を飛ぶ旅客機が武器になることが想定にない。
c124-3	読みが違う	ソ→ド／ト→コ	ソオテエノソトカラソノアサハハジマッタ	ドオテエノソコカラソノアサハハジマッタ	想定の外から、その朝は始まった	童貞の底からその朝は始まった。
c201-2	読み一致		フィートマデアガッテエタココマデハイジョオガナイ	フィートマデアガッテエタココマデハイジョオガナイ	26,000フィートまで上がっていた。ここまでは異常が無い。	二十六千フィートまで上がっていた。ここまでは異常がない。
c202-2	読み一致		タダシキンキュウノトキニスグアケラレルツクリガモトメラレテエタ	タダシキンキュウノトキニスグアケラレルツクリガモトメラレテエタ	ただし、緊急のときにすぐ開けられる造りが求められていた。	ただし、緊急の時にすぐ開けられる作りが求められていた。
c207-2	読み一致		カンセエカンノガメンカラビンメエトコオドノヒョオジガキエル	カンセエカンノガメンカラビンメエトコオドノヒョオジガキエル	管制官の画面から、便名と高度の表示が消える。	管制官の画面から便名と高度の表示が消える。
c209-2	読みが違う	ガ→ネニ	キタイガデンパニコタエテカエスノガジレエダアデアル	キタイガデンパニコタエテカエスノネニジレエダアデアル	機体が電波に答えて返すのが、二次レーダーである。	機体が電波に応えて返すのね。虹レーダーである。
c209-3	読み一致		カンセエカンガフダンガメンデミテエタノハコオシャダッタ	カンセエカンガフダンガメンデミテエタノハコオシャダッタ	管制官がふだん画面で見ていたのは、後者だった。	管制官が普段画面で見ていたのは後者だった。
c212-2	読み一致		ナニカイッテエルトダケワカッタトキロクサレテエル	ナニカイッテエルトダケワカッタトキロクサレテエル	何か言っている、とだけ分かったと記録されている。	何か言っているとだけわかったと記録されている。
c213-2	読みが違う	ムネ→トオ／ムネ→トオ	ムネアルウチイチバンセノタカイムネヲツインタワアトヨンダ	トオアルウチイチバンセノタカイトオヲツインタワアトヨンダ	7棟あるうち、いちばん背の高い2棟をツインタワーと呼んだ。	七頭あるうち、一番背の高い二頭をツインタワーと呼んだ。
c216-1	読みが違う	ムネ→トオ／ハ→ガ	ムネノタカサハオヨソメエトル	トオノタカサガオヨソメエトル	2棟の高さは、およそ411メートル。	二等の高さがおよそ四百十一メートル。
c217-2	読みが違う	キタ→ホク	タテモノヲシラベタヤクショノシリョオデハキタトオノオクジョオマデメエトル	タテモノヲシラベタヤクショノシリョオデハホクトオノオクジョオマデメエトル	建物を調べた役所の資料では、北棟の屋上まで417メートル。	建物を調べた役所の資料では、北東の屋上まで四百十七メートル。
c218-1	読みが違う	ハ→ガ	ムネハジムショトシテカシダサレテエタタテモノデアル	ムネガジムショトシテカシダサレテエタタテモノデアル	2棟は、事務所として貸し出されていた建物である。	二棟が事務所として貸し出されていた建物である。
c220-2	読み一致		クンレンカホンモノカトキカレカンセエカンハクンレンデハナイトコタエタ	クンレンカホンモノカトキカレカンセエカンハクンレンデハナイトコタエタ	訓練か本物かと聞かれ、管制官は「訓練ではない」と答えた。	訓練か本物かと聞かれ、管制官は訓練ではないと答えた。
c221-2	読み一致		ニュウヨオクシュウロオマニアルボオクウノトオチョクシツダッタ	ニュウヨオクシュウロオマニアルボオクウノトオチョクシツダッタ	ニューヨーク州ローマにある、防空の当直室だった。	ニューヨーク州ローマにある防空の当直室だった。
c223-2	読み一致		カンセエガオエテエルノハハネカエリノテンダケデアル	カンセエガオエテエルノハハネカエリノテンダケデアル	管制が追えているのは、跳ね返りの点だけである。	完成が終えているのは跳ね返りの点だけである。
c224-1	読み一致		ボオクウシレエブガシラサレテカラフンビョオゴノコトダッタ	ボオクウシレエブガシラサレテカラフンビョオゴノコトダッタ	防空司令部が知らされてから、8分48秒後のことだった。	防空司令部が知らされてから八分四十八秒後のことだった。
c302-1	読みが違う	アト→ゴ	ビンハビンノフンアトニオナジクウコオヲデテエタ	ビンハビンノフンゴニオナジクウコオヲデテエタ	175便は、11便の15分あとに同じ空港を出ていた。	七十五便は十一便の十五分後に同じ空港を出ていた。
c303-1	読み一致		カンセエハビンニユクエノワカラナイビンヲサガシテクレトタノンデエル	カンセエハビンニユクエノワカラナイビンヲサガシテクレトタノンデエル	管制は175便に、行方の分からない11便を探してくれと頼んでいる。	管制は百七十五便に行方のわからない十一便を探してくれと頼んでいる。
c304-1	読み一致		ビンカラトドイタサイゴノコオシンハソノホオコクダッタ	ビンカラトドイタサイゴノコオシンハソノホオコクダッタ	175便から届いた最後の交信は、その報告だった。	百七十五便から届いた最後の交信はその報告だった。
