場面	一致率	送った文	聞こえた文	送信文
pr01-1	1.000	2003年2月1日、朝。フロリダのケネディ宇宙センター。	2003年2月1日朝、フロリダのケネディ宇宙センター。	2003年2月1日、朝。フロリダのケネディ宇宙センター。
pr01-2	1.000	その滑走路に、コロンビア号が降りてくるはずだった。	その滑走路にコロンビア号が降りてくるはずだった。	その滑走路に、コロンビア号が降りてくるはずだった。
pr02-1	0.976	着陸の予定は、現地時間の午前9時16分だった。	着陸の予定は現地時間の午前九時十六分だった。	着陸の予定は、現地時間の午前9時16分だった。
pr02-2	0.806	だがコロンビア号は、9時00分18秒、テキサスの空でばらばらになった。	だが、コロンビア号は九時零分十八秒、テキサスの空でバラバラになった	だがコロンビア号は、クジ ゼロフン ジュウハチビョウ、テキサスの空でばらばらになった。
pr03-1	1.000	乗っていたのは7人。全員が亡くなった。	乗っていたのは七人。全員が亡くなった。	乗っていたのは7人。全員が亡くなった。
pr03-2	1.000	なぜ、帰れなかったのか。	なぜ帰れなかったのか？	なぜ、帰れなかったのか。
pr04-1	0.977	原因は、この日ではない。16日前の打ち上げにある。	原因はこの日ではない。十六日前の打ち上げにある。	原因は、この日ではない。16日前の打ち上げにある。
pr04-2	0.842	技術者は、軌道の機体を撮ってくれと求めた。	技術者は軌道の期待を取ってくれと求めた。	技術者は、軌道の機体を撮ってくれと求めた。
pr04-3	0.933	撮ってくださいは、三度退けられた	取ってくださいは三度退けられた。	撮ってくださいは、三度退けられた
pr05-1	1.000	打ち上げは2003年1月16日、午前10時39分。	打ち上げは2003年1月16日午前10時39分。	打ち上げは2003年1月16日、午前10時39分。
pr05-2	0.949	その81.7秒後、燃料タンクを覆う断熱材のかけらがはがれ落ちた。	その八十一点七秒後、燃料タンクを覆う断熱材のかけらが剥がれ落ちた。	その81.7秒後、燃料タンクを覆う断熱材のかけらがはがれ落ちた。
pr06-1	0.920	はがれたのが81.7秒。左の翼に当たったのが81.9秒。	剥がれたのが八十一点七秒。左の翼に当たったのが八十一点九秒。	はがれたのが81.7秒。左の翼に当たったのが81.9秒。
pr06-2	0.846	そのあいだ、わずか0.2秒である。	その間、わずか0.2秒である。	そのあいだ、わずか0.2秒である。
pr07-1	0.963	気づいたのは翌日。一晩かけて現像したフィルムに写っていた。	気づいたのは翌日。一晩かけて現像したフィルムに映っていた	気づいたのは翌日。一晩かけて現像したフィルムに写っていた。
pr07-2	1.000	技術者たちは、翼のどこが傷ついたのかを知ろうとした。	技術者たちは翼のどこが傷ついたのかを知ろうとした。	技術者たちは、翼のどこが傷ついたのかを知ろうとした。
pr08-1	1.000	軌道にいるコロンビア号を、望遠鏡か衛星で撮ってほしい。	軌道にいるコロンビア号を望遠鏡か衛星で撮ってほしい。	軌道にいるコロンビア号を、望遠鏡か衛星で撮ってほしい。
pr08-2	1.000	その求めは、三回、別々に出された。	その求めは三回別々に出された。	その求めは、三回、別々に出された。
pr09-1	0.909	7人には「大気圏に戻るときの心配は無い」とメールが届いていた。	七人には大気圏に戻る時の心配はないとメールが届いていた。	7人には「大気圏に戻るときの心配は無い」とメールが届いていた。
pr09-2	1.000	翼に穴が開いているとは、知らないままだった。	翼に穴が開いているとは知らないままだった。	翼に穴が開いているとは、知らないままだった。
pr10-1	0.889	委員会は、乗員の最期の細かい事実は公表しないと決めている。	委員会は上院の最後の細かい事実は公表しないと決めている。	委員会は、乗員の最期の細かい事実は公表しないと決めている。
pr10-2	0.917	ここでも、その線は越えない。	どこでもその線は越えない。	ここでも、その線は越えない。
pr11-1	1.000	背骨になるのは、1冊の報告書である。	背骨になるのは一冊の報告書である。	背骨になるのは、1冊の報告書である。
pr11-2	1.000	アメリカが作った独立の調査委員会が、2003年8月に出した。	アメリカが作った独立の調査委員会が2003年8月に出した	アメリカが作った独立の調査委員会が、2003年8月に出した。
pr11-3	1.000	ここでは、事故調査委員会と呼ぶ。	ここでは事故調査委員会と呼ぶ。	ここでは、事故調査委員会と呼ぶ。
pr12-1	1.000	追いかけるのは、二つの問いである。	追いかけるのは二つの問いである。	追いかけるのは、二つの問いである。
pr12-2	0.857	一つ。かけら一つで、なぜ機体が壊れたのか。	一つ。 欠片一つでなぜ機体が壊れたのか。	一つ。かけら一つで、なぜ機体が壊れたのか。
pr12-3	0.941	二つ。気づく機会は、本当に無かったのか。	二つ。気づく機会は本当になかったのか。	二つ。気づく機会は、本当に無かったのか。
c101-1	1.000	コロンビア号が初めて飛んだのは、1981年4月12日。	コロンビア号が初めて飛んだのは 1981年4月12日。	コロンビア号が初めて飛んだのは、1981年4月12日。
c101-2	1.000	宇宙へ出た、最初のスペースシャトルだった。	宇宙へ出た最初のスペースシャトルだった。	宇宙へ出た、最初のスペースシャトルだった。
c102-1	1.000	乗ったのは、ジョン・ヤングとロバート・クリッペンの2人。	乗ったのはジョン・ヤングとロバート・クリッペンの二人。	乗ったのは、ジョン・ヤングとロバート・クリッペンの2人。
c102-2	0.933	2日あまり回り、カリフォルニアの空軍基地に降りた。	二日余り回り、カリフォルニアの空軍基地に降りた。	2日あまり回り、カリフォルニアの空軍基地に降りた。
c103-1	1.000	スペースシャトルは、3つの部品で1組になっている。	スペースシャトルは三つの部品で一組になっている。	スペースシャトルは、3つの部品で1組になっている。
c103-2	0.947	人が乗るオービタ。燃料をためる外部タンク。	人が乗るオービタ、燃料を溜める外部タンク	人が乗るオービタ。燃料をためる外部タンク。
c103-3	0.976	打ち上げを担う、固体ロケットブースタが2本。	打ち上げを担う固体ロケットブースターが二本。	打ち上げを担う、固体ロケットブースタが2本。
c104-1	1.000	オービタは、小型の旅客機ほどの大きさがある。	オービタは小型の旅客機ほどの大きさがある。	オービタは、小型の旅客機ほどの大きさがある。
c104-2	0.957	シャトル全体では、部品が250万点、電線が約370キロ。	シャトル全体では部品が二百五十万点、電線が約三百七十キロ	シャトル全体では、部品が250万点、電線が約370キロ。
c105-1	0.848	打ち上げのときの重さは、約2,040トン。	打ち上げの時の重さは約二千四十トン。	打ち上げのときの重さは、約2,040トン。
c105-2	0.933	それを8分あまりで、音の25倍の速さまで加速する。	それを八分余りで音の二十五倍の速さまで加速する。	それを8分あまりで、音の25倍の速さまで加速する。
c106-1	0.885	いちばん大きいのは、真ん中のオレンジ色の外部タンクである。	一番大きいのは真ん中のオレンジ色の外部タンクである。	いちばん大きいのは、真ん中のオレンジ色の外部タンクである。
c106-2	0.958	全長は約46.9メートル、太さは約8.4メートルある。	全長は約四十六点九メートル、太さは約八点四メートルある。	全長は約46.9メートル、太さは約8.4メートルある。
c107-1	0.980	液体酸素はマイナス183度、液体水素はマイナス253度。	液体酸素はマイナス百八十三度、液体水素はマイナス二百五十三度。	液体酸素はマイナス183度、液体水素はマイナス253度。
c107-2	1.000	沸かさず、外に氷を作らないために、断熱材で覆ってある。	沸かさず外に氷を作らないために断熱材で覆ってある	沸かさず、外に氷を作らないために、断熱材で覆ってある。
c108-1	1.000	断熱材はよく効いていて、表面は少しひんやりする程度。	断熱材はよく効いていて、表面は少しひんやりする程度。	断熱材はよく効いていて、表面は少しひんやりする程度。
c108-2	0.927	厚さは約2.5センチ（1インチ）ほどしかない。	厚さは約二点五センチ、一インチほどしかない。	厚さは約2.5センチ（1インチ）ほどしかない。
c109-1	1.000	オービタの先と外部タンクは、2本の支柱でつないである。	オービタの先と外部タンクは二本の支柱でつないである。	オービタ の先と外部タンクは、2本の支柱でつないである。
c109-2	1.000	バイポッドという。その付け根だけは、機械で吹き付けられない。	バイポッドというその付け根だけは機械で吹き付けられない。	バイポッドという。その付け根だけは、機械で吹き付けられない。
c109-3	1.000	人の手で吹き付け、乾かしてから、手で削って形を作っていた。	人の手で吹き付け、乾かしてから手で削って形を作っていた。	人の手で吹き付け、乾かしてから、手で削って形を作っていた。
c110-1	0.941	その手作りの盛り上がりを調べる方法は、ひとつだけだった。	その手作りの盛り上がりを調べる方法は一つだけだった。	その手作りの盛り上がりを調べる方法は、ひとつだけだった。
c110-2	1.000	検査は、目で見るだけだった	検査は目で見るだけだった。	検査は、目で見るだけだった
c111-1	0.933	翼の前のふちは、RCCという炭素の板でできている。	翼の前の縁はRCCという炭素の板でできている。	翼の前のふちは、RCCという炭素の板でできている。
c111-2	0.980	強化炭素-炭素という材料の略で、片方の翼に22枚が並ぶ。	強化炭素。炭素という材料の略で、片方の翼に二十二枚が並ぶ。	きょうか炭素-炭素という材料の略で、片方の翼に22枚が並ぶ。
c112-1	0.862	宇宙から大気圏へ戻る再突入のとき、機首と翼の前のふちは1,500度を超える。	宇宙から大気圏へ戻る再突入の時、機首と翼の前の縁は千五百度を超える。	宇宙から大気圏へ戻る再突入のとき、機首と翼の前のふちは1,500度を超える。
c112-2	0.977	中のアルミの骨組みは、約650度で溶けてしまう。	中のアルミの骨組みは約六百五十度で溶けてしまう。	中のアルミの骨組みは、約650度で溶けてしまう。
c112-3	1.000	RCCは、その骨組みを約177度より下に保つためにある。	RCCはその骨組みを約177度より下に保つためにある。	RCCは、その骨組みを約177度より下に保つためにある。
c113-1	1.000	RCCの設計の決まりには、耐えるべき力が書いてある。	RCCの設計の決まりには耐えるべき力が書いてある。	RCCの設計の決まりには、耐えるべき力が書いてある。
c113-2	0.982	その値は0.008ジュール。1円玉を80センチ落とすほどの力。	その値は0.008ジュール。一円玉を八十センチ落とすほどの力。	その あたいはれいてんれいれいはちジュール。1円玉を80センチ落とすほどの力。
c113-3	1.000	破片や氷がぶつかることは、想定に入っていなかった。	破片や氷がぶつかることは想定に入っていなかった。	破片や氷がぶつかることは、想定に入っていなかった。
c114-1	0.857	コロンビア号は、作られた5機のうちいちばん古い。	コロンビア号は作られた五機のうち一番古い。	コロンビア号は、作られた5機のうちいちばん古い。
c114-2	1.000	続いてチャレンジャー号、ディスカバリー号、アトランティス号。	続いてチャレンジャー号、ディスカバリー号、アトランティス号	続いてチャレンジャー号、ディスカバリー号、アトランティス号。
c114-3	1.000	うち1機は1986年に失われ、代わりの機体が1992年に加わった。	うち一機は 1986年に失われ、代わりの機体が 1992年に加わった。	うち1機は1986年に失われ、代わりの機体が1992年に加わった。
c115-1	1.000	コロンビア号だけ、古い基準で作られていて機体が重かった。	コロンビア号だけ古い基準で作られていて機体が重かった。	コロンビア号だけ、古い基準で作られていて機体が重かった。
c115-2	0.957	中に気密室を残していた、ただ1機の機体でもあった。	中に機密室を残していたただ一機の機体でもあった。	中に気密室を残していた、ただ1機の機体でもあった。
c116-1	1.000	国際宇宙ステーションの軌道へは届くが、荷物を多く運べない。	国際宇宙ステーションの軌道へは届くが、荷物を多く運べない。	国際宇宙ステーションの軌道へは届くが、荷物を多く運べない。
c116-2	1.000	だからこの機体は、研究のための飛行に多く使われた。	だからこの機体は研究のための飛行に多く使われた。	だからこの機体は、研究のための飛行に多く使われた。
c117-1	1.000	2003年1月、コロンビア号は初飛行から22年目に入っていた。	2003年1月、コロンビア号は初飛行から二十二年目に入っていた。	2003年1月、コロンビア号は初飛行から22年目に入っていた。
c117-2	1.000	胴体の下を守る耐熱タイルは、RCCとは別物。44パーセント以上が当時のまま。	胴体の下を守る耐熱タイルはRCCとは別物。四十四パーセント以上が当時のまま。	胴体の下を守る耐熱タイルは、RCCとは別物。44パーセント以上が当時のまま。
c118-1	0.941	翼の前のふちのRCCも、44枚のうち41枚が当時のもの。	翼の前の縁のRCCも四十四枚のうち四十一枚が当時のもの。	翼の前のふちのRCCも、44枚のうち41枚が当時のもの。
c118-2	1.000	そしてこの飛行は、コロンビア号にとって28回目だった。	そしてこの飛行はコロンビア号にとって二十八回目だった。	そしてこの飛行は、コロンビア号にとって28回目だった。
c201-1	1.000	この飛行は、もともと2002年7月19日に上がるはずだった。	この飛行はもともと2002年7月19日に上がるはずだった。	この飛行は、もともと2002年7月19日に上がるはずだった。
c201-2	0.871	その1か月前、主エンジンの配管にひびが見つかり、全機が4か月止まる。	その一ヶ月前、主エンジンの配管にヒビが見つかり、全機が四ヶ月止まる。	その1か月前、主エンジンの配管にひびが見つかり、全機が4か月止まる。
c201-3	0.986	宇宙ステーションの便が先に回され、上がったのは半年後の2003年1月16日。	宇宙ステーションの便が先に回され、上がったのは半年後の二〇〇三年一月十六日。	宇宙ステーションの便が先に回され、上がったのは半年後の2003年1月16日。
c202-1	1.000	当日の朝、7人は地上59メートルの高さから乗り込んだ。	当日の朝、七人は地上五十九メートルの高さから乗り込んだ。	当日の朝、7人は地上59メートルの高さから乗り込んだ。
c203-1	0.897	気温は約18度、風はほとんど無い。	気温は約十八度、風はほとんどない。	気温は約18度、風はほとんど無い。
c203-2	0.947	打ち上げを止める理由は、どこにも無かった。	打ち上げを止める理由はどこにもなかった。	打ち上げを止める理由は、どこにも無かった。
c204-1	0.936	午前10時39分、固体ロケットブースタに火が入った。	午前十時三十九分、固体ロケットブースターに火が入った。	午前10時39分、固体ロケットブースタに火が入った。
c204-2	0.952	コロンビア号は、113回目のシャトル飛行に出た。	コロンビア号は百十三回目のシャトル飛行に出た。	コロンビア号は、113回目のシャトル飛行に出た。
c205-1	0.980	打ち上げから81.7秒後。左のバイポッドの付け根から、	打ち上げから八十一点七秒後、左のバイポッドの付け根から	打ち上げから81.7秒後。左のバイポッドの付け根から、
c205-2	0.966	手で盛った断熱材が、大きな1個と小さな2個以上に割れて飛んだ。	手で持った断熱材が大きな一個と小さな二個以上に割れて飛んだ。	手で盛った断熱材が、大きな1個と小さな2個以上に割れて飛んだ。
c206-1	0.800	その0.2秒後、かけらは左の翼に当たった。	その0.2秒後、欠片が左の翼に当たった。	その0.2秒後、かけらは左の翼に当たった。
c206-2	0.950	高度は約20キロ。速さは音の2.46倍だった。	高度は約二十キロ、速さは音の二点四六倍だった。	こうどは約20キロ。速さは音の2.46倍だった。
c206-3	1.000	その0.2秒を、誰も見ていない	その0.2秒を誰も見ていない。	その0.2秒を、誰も見ていない
c207-1	1.000	断熱材は、離れた瞬間まで機体と同じ速さで飛んでいた。	断熱材は離れた瞬間まで機体と同じ速さで飛んでいた。	断熱材は、離れた瞬間まで機体と同じ速さで飛んでいた。
c207-2	1.000	空気に押されて、0.2秒で時速約2,520キロから約1,640キロへ落ちる。	空気に押されて0.2秒で時速約2520キロから約1640キロへ落ちる。	空気に押されて、0.2秒で時速約2,520キロから約1,640キロへ落ちる。
c207-3	0.927	差の分だけ、機体のほうが追いついてぶつかった。	差の分だけ機体の方が追いついてぶつかった。	さの分だけ、機体のほうが追いついてぶつかった。
c208-1	0.895	当たったのは、81.9秒後。左の翼の前のふち。	当たったのは八十一点九秒後、左の翼の前の縁。	当たったのは、81.9秒後。左の翼の前のふち。
c208-2	0.878	RCCの板でいえば、5枚目から9枚目のあたり。	RCCの板で言えば五枚目から九枚目の辺り。	アールシーシーの板でいえば、5枚目から9枚目のあたり。
c209-1	0.577	かけらの長さは約53〜69センチ、幅は約30〜46センチ。	欠片の長さは約五十三から六十九cm、幅は約三十から四十六cm。	かけらの長さは約53から69センチ、幅は約30から46センチ。
