行	key	val	前	後	前の聞取	後の聞取
pr04-2	1.2センチ	いってんにセンチ	1.000	0.980	下に沈んだ量は一二センチほど。それが最初の合図である。	下に沈んだ量は一点二センチほど。それが最初の合図である。
c114-1	1.2センチ	いってんにセンチ	0.957	0.936	逆に言えば、一二センチは人が見て気づく量ではない。	逆に言えば一点二センチは人が見て気づく量ではない。
c122-1	2分の1インチ足らずから、およそ1インチへ	にぶんのいちインチ足らずから、およそいちインチへ	0.826	1.000	ずれた量は二分の一日足らずからおよそ一日へ。	ずれた量は二分の一インチ足らずからおよそ一インチへ。
c122-1	2分の1インチ足らずから、およそ1インチへ	2分の1 インチ足らずから、およそ1 インチへ	0.826	1.000	ずれた量は二分の一日足らずからおよそ一日へ。	ずれた量は二分の一インチ足らずからおよそ一インチへ。
c124-2	門を載せている	もんを載せている	0.821	0.923	王を乗せている床の方が下がり続けていた。	門を載せている床の方が下がり続けていた。
c121-2	門の脇に	もんの脇に	0.950	1.000	本の脇に描かれた矢印がまた下を向いている。	門の脇に描かれた矢印がまた下を向いている。
c104-2	地面の上に	地面の うえに	0.936	0.958	あの平らな面は地面上に乗っていたのではなかった	あの平らな面は地面の上に乗っていたのではなかった。
c121-1	NIST の描き起こし	ニストの描き起こし	1.000	0.800	NISTの描き起こしには三段目がある。	リストの描き起こしには三段目がある。
c126-1	NIST が3段目	ニストが3段目	0.880	0.735	NISTが三段目に書き添えた言葉は一言だけである。	ニストが三段目に書き添えた言葉は一言だけである。
c327-2	崩落のときに	ほうらくのときに	0.868	0.863	プーズ落の時にかかっていたと考えられる条件で押していく	大楽の時にかかっていたと考えられる条件で押していく
c431-1	瓦礫は	がれきは	0.816	0.800	荒木は一つずつ番号を振られ、記録され、倉庫へ運ばれた。	がれきは一つずつ番号を振られ、記録され、倉庫へ運ばれた。
c725-2	陥没も	かんぼつも	0.889	0.963	消耗も場所ごとに沈み方が違うことも大きくは聞いていない。	陥没も場所ごとに沈み方が違うことも大きくは聞いていない。
