行	検査	何が	台本	聞取
pr04-3	1字の入れ替え	機	二機とも、来るはずのない空港にいた	2人とも来るはずのない空港にいた。
pr05-1	同形異音語	一	一機はKLMオランダ航空の4805便。朝9時にアムステルダムを出ていた。	実機はKLMオランダ航空の四三八六便。朝九時にアムステルダムを出ていた。
pr05-1	頭欠け	1→None	一機はKLMオランダ航空の4805便。朝9時にアムステルダムを出ていた。	実機はKLMオランダ航空の四三八六便。朝九時にアムステルダムを出ていた。
pr06-1	1字の入れ替え	代	パンナム機は前の日にロサンゼルスを出て、ニューヨークで乗員を代えていた。	パンナム機は前の日にロサンゼルスを出て、ニューヨークで乗員を変えていた。
pr10-3	1字の入れ替え	言	時刻は、報告書と同じ世界共通の時計で言う。	時刻は報告書と同じ世界共通の時計でいう
c109-1	頭欠け	747→447	747の資格を取ったのは、事故の2か月あまり前の1月19日。	四四七の資格を取ったのは事故の二ヶ月余り前の月十九日。
c113-1	1字の入れ替え	代	ニューヨークのケネディ空港に6時17分に着き、乗員が代わった。	ニューヨークのケネディ空港に六時十七分に着き、乗員が変わった。
c114-2	頭欠け	747→None	747には564時間、乗っていた。	砂漠47には564時間乗っていた。
c118-3	1字の入れ替え	機	二機を合わせると、乗っていた人は644人になった。	二基を合わせると乗っていた人は六百四十四人になった。
c119-1	頭欠け	747→1047	747は大きいぶん、地上で置く場所も広く要る。	1047は大きい分、地上で置く場所も広くいる。
c119-1	1字の入れ替え	要	747は大きいぶん、地上で置く場所も広く要る。	1047は大きい分、地上で置く場所も広くいる。
c210-2	頭欠け	4805→3880	4805便の乗り継ぎの客であることを示すカードである。	三八八零号便の乗り継ぎの客であることを示すカードである。
c213-1	1字の入れ替え	停	KLM機は、駐機場に入れなかった。停められたのは誘導路である。	KLM機は駐機場に入れなかった。止められたのは誘導路である。
c213-2	1字の入れ替え	滑	滑走路と平行に走る、その道のいちばん端だった。	雪走路と平行に走るその道の一番端だった。
c214-1	1字の入れ替え	機	そのうしろに、3機が順に並んだ。	その後ろに三基が順に並んだ。
c215-1	頭欠け	None→1	いちばんうしろに、パンナムの747が停まった。	一番後ろにパンナムの747が止まった。
c215-1	1字の入れ替え	停	いちばんうしろに、パンナムの747が停まった。	一番後ろにパンナムの747が止まった。
c216-1	字の欠け	導誘	誘導路は一本道で、追い越すことができない。	自由道路は一本道で追い越すことができない。
c217-2	1字の入れ替え	機	二機とも、本来の行き先へ向かう準備を始めることになる。	2人とも本来の行き先へ向かう準備を始めることになる。
c218-2	1字の入れ替え	戻	戻らなかったのは、そのうち、たった一人だけである。	踊らなかったのはそのうちたった一人だけである。
c219-3	1字の入れ替え	次	この一人だけが、次の便に乗らなかった。	この一人だけが罪の便に乗らなかった。
c303-2	1字の入れ替え	滑	滑走路の番号は、向きを表す。12なら、およそ120度の方角へ進む。	雪走路の番号は向きを表す。12ならおよそ120度の方角へ進む。
c304-1	字の欠け	滑走	滑走路のわきに、誘導路が1本ある。	車道の脇に誘導路が一本ある
c304-2	字の欠け	導誘	誘導路は、機体が地上を動くための道で、離着陸には使わない。	離陸道路は機体が地上を動くための道で、離着陸には使わない。
c307-1	字の欠け	導平行誘	平行誘導路が機体で埋まると、出ていく機体は通れなくなる。	閉居有道路な機体で埋まると出ていく機体は通れなくなる。
c309-1	1字の入れ替え	付	ただし、注意が付いていた。地上走行で問題が起きるかもしれない、と。	ただし注意がついていた。地上走行で問題が起きるかもしれないと。
c315-1	頭欠け	滑→パ	滑走路は、平らではない。真ん中のあたりが、ふくらんでいる。	パッツオロは平らではない。真ん中の辺りが膨らんでいる。
c315-1	字の欠け	滑走路	滑走路は、平らではない。真ん中のあたりが、ふくらんでいる。	パッツオロは平らではない。真ん中の辺りが膨らんでいる。
c316-1	同形異音語	側	30側の端は、610メートル。	三重瀬田の橋は六百十メートル
c316-1	頭欠け	30→3	30側の端は、610メートル。	三重瀬田の橋は六百十メートル
c316-1	1字の入れ替え	端	30側の端は、610メートル。	三重瀬田の橋は六百十メートル
c316-2	同形異音語	側	12側の端は、629メートル。	十二沢の橋は六百二十九メートル。
c316-2	1字の入れ替え	端	12側の端は、629メートル。	十二沢の橋は六百二十九メートル。
c316-3	頭欠け	None→1	いちばん高いのは、C-3という出口のあたりだと報告書は書いている。	一番高いのはC3という出口の辺りだと報告書は書いている。
c321-1	1字の入れ替え	足	行き先は、すぐ隣の島である。それでも、ここで足すことにした。	行き先はすぐ隣の島である。それでもここで立つことにした。
c408-2	1字の入れ替え	書	そのままアムステルダムまで戻れた、と報告書は確かめている。	そのままアムステルダムまで戻れたと報告者は確かめている。
c412-1	字の欠け	変延	変わったあとは、一切、延ばせない。	触った後は一切伸ばせない。
c412-2	1字の入れ替え	機	機長が上限を超えることは、禁じられた。	市長が上限を超えることは禁じられた。
c416-1	頭欠け	テ→ペ	テネリフェで、まさにそれが起きた。	ペネリフェでまさにそれが起きた。
c417-2	1字の入れ替え	無	ある時刻より前に離陸できるなら、問題は無さそうだ。	ある時刻より前に離陸できるなら問題はなさそうだ。
c508-2	1字の入れ替え	進	このころには、進入してくる側も、同じくらいまで下がっている。	この頃には侵入してくる側も同じくらいまで下がっている。
c510-2	1字の入れ替え	進	進入の側は500メートルで、ときどき5キロに戻る。	侵入の側は五百メートルで、時々五キロに戻る。
c516-2	1字の入れ替え	滑	滑走路の脇に置いた機械で、見通しを測って数字にするものである。	走路の脇に置いた機械で見通しを測って数字にするものである。
c517-1	1字の入れ替え	値	ロス・ロデオス空港では、この値は出されない。	ロスロデオス空港ではこの名題は出されない。
c518-2	1字の入れ替え	滑	滑走路の端が見えているときは、管制官が自分の目で見て伝えていた。	走路の端が見えている時は管制官が自分の目で見て伝えていた
c519-1	同形異音語	塔	端が見えないときは、気象の観測塔にいる観測員が決める。	味が見えない時は気象の観測党にいる観測員が決める。
c519-1	1字の入れ替え	端	端が見えないときは、気象の観測塔にいる観測員が決める。	味が見えない時は気象の観測党にいる観測員が決める。
c520-1	字の欠け	灯線	さらに、滑走路の真ん中に並ぶ灯りが消えていた。中心線灯という。	さらに、滑走路の真ん中に並ぶ明かりが消えていた。中心尖塔という
c520-2	1字の入れ替え	灯	霧の中で、進む向きを示す灯りである。3月15日から使えなかった。	霧の中で進む向きを示す明かりである。三月十五日から使えなかった。
c521-1	同形異音語	塔	管制塔は、このことを17時04分58秒に両機へ伝えた。	万事党はこのことを十七時六四分五十八秒に僚機へ伝えた。
c521-1	頭欠け	None→10000	管制塔は、このことを17時04分58秒に両機へ伝えた。	万事党はこのことを十七時六四分五十八秒に僚機へ伝えた。
c521-1	字の欠け	両制管	管制塔は、このことを17時04分58秒に両機へ伝えた。	万事党はこのことを十七時六四分五十八秒に僚機へ伝えた。
c521-3	字の欠け	灯無要	中心線の灯りが無いなら、800メートルが要る。	中心線の明かりがないなら八百メートル内いる。
c522-1	1字の入れ替え	灯	見える距離は下がり続け、灯りは消えている。	見える距離は下がり続け、明かりは消えている。
c522-2	頭欠け	測→か	測る機械は、この空港には無い。その滑走路へ、二機は出ていく。	かかる機械はこの空港にはない。その滑走路へ二機は出て行く。
c522-2	字の欠け	測無	測る機械は、この空港には無い。その滑走路へ、二機は出ていく。	かかる機械はこの空港にはない。その滑走路へ二機は出て行く。
c606-2	頭欠け	2→None	二機を、滑走路そのものの上で走らせる。着陸機が使う道を通り道にする。	機器を滑走路そのものの上で走らせる。着陸機が使う道を通り道にする。
c607-3	1字の入れ替え	滑	滑走路を、誘導路の代わりに使った	走路を誘導路の代わりに使った。
c609-1	頭欠け	管→バ	管制官がKLMに出した最初の指示は、こうだった。	バンジェー艦がKLMに出した最初の指示はこうだった。
c609-1	字の欠け	制官管	管制官がKLMに出した最初の指示は、こうだった。	バンジェー艦がKLMに出した最初の指示はこうだった。
c611-1	字の欠け	制官管	管制官は、すぐに訂正した。	勧獣館はすぐに訂正した。
c613-1	1字の入れ替え	制	管制官の答えは、二回続けての否定だった。	管理官の答えは二回続けての否定だった。
c614-2	頭欠け	滑→ソ	滑走路を走れと言われたが、それで合っているか、と確かめている。	ソウルを走れと言われたが、それで合っているかと確かめている。
c614-2	字の欠け	滑路	滑走路を走れと言われたが、それで合っているか、と確かめている。	ソウルを走れと言われたが、それで合っているかと確かめている。
c616-1	頭欠け	パ→バ	パンナムは、三番目を左へ、と復唱した。	バンナヌは三番目を左へ、と復唱した。
c618-2	頭欠け	分→わ	分からないことを、そのままにしなかった。この日、いちばん良い判断である。	わからないことをそのままにしなかった。この日、一番良い判断である。
c618-2	1字の入れ替え	分	分からないことを、そのままにしなかった。この日、いちばん良い判断である。	わからないことをそのままにしなかった。この日、一番良い判断である。
c619-2	頭欠け	3→None	三番目の交差点で左、ということで合っていますか。	番目の交差点で左ということで合っていますか？
c620-1	字の欠け	制管	管制官は、数えて答えた。	勘定官は数えて答えた。
c703-2	1字の入れ替え	分	操縦室の録音から、そのことが分かる。	操縦室の録音からそのことがわかる。
c706-3	1字の入れ替え	分	機長は答えた。いや、分かっている。聞いてくれ。	機長は答えた。「いや、わかっている。聞いてくれ」
c710-1	字の欠け	制管	17時05分53秒。管制官が読み上げた。	十七時五分五十三秒。関税官が読み上げた。
c712-1	1字の入れ替え	無	この中に、離陸してよいという言葉は、一つも無い。	この中に離陸して良いという言葉が一つもない。
c716-2	1字の入れ替え	放	記録では、ブレーキが放されたのは17時06分11秒。	記録ではブレーキが外されたのは十七時六分十一秒。
c717-1	字の欠け	制官管	管制官の側から見ると、どうなるか。	漢字絵巻の側から見るとどうなるか。
c718-2	同形異音語	塔	管制塔の録音を、初めて一緒に聞いている。	カンジェトの録音を初めて一緒に聞いている。
c718-2	頭欠け	管→カ	管制塔の録音を、初めて一緒に聞いている。	カンジェトの録音を初めて一緒に聞いている。
c718-2	字の欠け	制管	管制塔の録音を、初めて一緒に聞いている。	カンジェトの録音を初めて一緒に聞いている。
c719-1	1字の入れ替え	注	報告書の注に、こう書かれている。	報告書の中にこう書かれている。
c720-1	字の欠け	制管	17時06分18秒。管制官が答えた。まず、オーケー。	十七時六分十八秒。関税官が答えた。まず、OK。
c727-2	1字の入れ替え	欠	無線が欠けたのは、KLMだけではなかった。	無線がかけたのはKLMだけではなかった。
