行	所見	本文
pr07-1	末尾に余計な音: 110ms の無音 → 140ms の音（3.91秒地点・振幅8754＝本文の1.0倍）	崩れたのは、建物の東側と、中央だった。
c101-1	途中に 940ms の無音（2.80秒地点）	先に、建物の形を見ておく。NIST が作った模型に、
c105-1	途中に 850ms の無音（2.13秒地点）	下は、地下駐車場である。プールサイドを歩く人の足の下は、
c111-1	途中に 710ms の無音（2.43秒地点）	次の段は、3週間前。日付でいうと、6月のはじめごろにあたる。
c114-1	途中に浮いた音: 120ms（0.97秒地点・振幅18833＝本文の1.8倍／前130ms・後200ms の無音）	逆にいえば、1.2センチは、人が見て気づく量ではない。
c202-2	途中に 910ms の無音（4.25秒地点）	2021年6月23日の、朝である。崩落した日の、前の日にあたる。
c219-1	途中に 870ms の無音（1.71秒地点）	ここで、場所が変わる。プールデッキの上ではない。
c228-2	途中に 750ms の無音（0.90秒地点）	9分前、6分から7分前、5分から6分前、4分から5分前。分の単位になる。
c228-2	途中に 900ms の無音（3.12秒地点）	9分前、6分から7分前、5分から6分前、4分から5分前。分の単位になる。
c228-2	途中に 970ms の無音（5.46秒地点）	9分前、6分から7分前、5分から6分前、4分から5分前。分の単位になる。
c228-2	途中に 950ms の無音（8.05秒地点）	9分前、6分から7分前、5分から6分前、4分から5分前。分の単位になる。
c310-2	途中に浮いた音: 160ms（3.17秒地点・振幅19846＝本文の2.7倍／前200ms・後130ms の無音）	柱のほうは、床を突き抜けた形で、立ったまま残る。
c316-2	末尾に余計な音: 120ms の無音 → 170ms の音（2.07秒地点・振幅9090＝本文の1.2倍）	場所は、プールデッキの下だった。
c317-1	先頭に余計な音: 10ms の音（振幅483＝本文の0.1倍）のあと 90ms の無音	起きた柱の数は、2本。
c317-2	途中に浮いた音: 150ms（2.40秒地点・振幅15466＝本文の1.9倍／前130ms・後90ms の無音）	何十本と立っている柱のうちの、たった2本である。
c326-1	途中に 760ms の無音（1.58秒地点）	鉄筋も同じである。瓦礫から取り出した鉄筋を実際に引っぱり、
c330-2	途中に浮いた音: 190ms（2.42秒地点・振幅22625＝本文の2.4倍／前90ms・後170ms の無音）	プールサイドを歩いている人からは、絶対に見えない。
c335-2	途中に浮いた音: 170ms（2.42秒地点・振幅16762＝本文の1.7倍／前220ms・後100ms の無音）	筋書きは、計算だけでなく、実験でも確かめられている。
c407-1	途中に浮いた音: 100ms（0.94秒地点・振幅13049＝本文の1.6倍／前230ms・後130ms の無音）	印は、1か所や2か所ではない。
c408-2	先頭に余計な音: 10ms の音（振幅417＝本文の0.1倍）のあと 90ms の無音	建てた時点から、広い範囲で、足りていなかった。
c410-1	途中に 920ms の無音（2.06秒地点）	黄色い線が、2本引かれている。上の線が、図面どおりなら
c413-1	途中に 740ms の無音（3.56秒地点）	4分の3インチは、約1.9センチ。2インチは、約5.1センチ。
c426-2	末尾に余計な音: 110ms の無音 → 190ms の音（1.87秒地点・振幅16363＝本文の2.0倍）	4本のはずが、2本だった
c433-1	途中に 910ms の無音（1.83秒地点）	では、残る3つは何か。括弧の外にあるのは、
c501-1	先頭に余計な音: 150ms の音（振幅19690＝本文の1.9倍）のあと 120ms の無音	括弧の外にある3つを、順に見ていく。
c518-2	途中に浮いた音: 160ms（0.87秒地点・振幅23861＝本文の3.0倍／前160ms・後100ms の無音）	NIST は、鉄筋の標本を、数百本の単位で評価している。
c527-2	末尾に余計な音: 140ms の無音 → 230ms の音（3.85秒地点・振幅14976＝本文の1.9倍）	もともと小さかった余裕が、少しずつ削られていった。
c625-2	途中に浮いた音: 190ms（2.70秒地点・振幅19321＝本文の2.2倍／前90ms・後90ms の無音）	破壊が塔のなかを、どう広がっていったか、である。
c723-2	途中に 730ms の無音（1.74秒地点）	隣の工事の振動。基礎の破壊、陥没、そして不同沈下。
ep10-2	途中に浮いた音: 200ms（1.06秒地点・振幅28252＝本文の2.7倍／前130ms・後180ms の無音）	建設が終わった、その時点からである。
ep11-2	途中に浮いた音: 170ms（0.89秒地点・振幅19756＝本文の1.5倍／前130ms・後120ms の無音）	余裕は決定的に小さかった
ep13-2	途中に 820ms の無音（1.31秒地点）	開かなくなった門。柱を伝う水。床にできた、10センチの隙間。
ep13-2	途中に 700ms の無音（3.52秒地点）	開かなくなった門。柱を伝う水。床にできた、10センチの隙間。
ep14-2	途中に 1120ms の無音（2.42秒地点）	だから、直せば済むものに見えた。門は、実際に直されている。
