行	型	該当	本文
pr01-1	文頭の数字	2	2001年9月11日、火曜日。アメリカ東部は、よく晴れた朝だった。
pr01-1	同形異音語（一般）	日	2001年9月11日、火曜日。アメリカ東部は、よく晴れた朝だった。
pr01-1	同形異音語（一般）	日	2001年9月11日、火曜日。アメリカ東部は、よく晴れた朝だった。
pr01-1	数詞＋助数詞	2001年	2001年9月11日、火曜日。アメリカ東部は、よく晴れた朝だった。
pr01-1	数詞＋助数詞	9月	2001年9月11日、火曜日。アメリカ東部は、よく晴れた朝だった。
pr01-1	数詞＋助数詞	11日	2001年9月11日、火曜日。アメリカ東部は、よく晴れた朝だった。
pr01-1	EL_YOMI 既存	2001年→にせんいちねん×1	2001年9月11日、火曜日。アメリカ東部は、よく晴れた朝だった。
pr01-2	同形異音語（一般）	日	この日、4機の旅客機が、続けざまに乗っ取られた。
pr02-1	文頭の数字	4	4機とも、東海岸から西海岸へ飛ぶ長い路線である。
pr03-1	同形異音語（一般）	上	この動画が見ていくのは、その4機と、地上でそれを追っていた人たちである。
pr03-1	同形異音語（一般）	人	この動画が見ていくのは、その4機と、地上でそれを追っていた人たちである。
pr03-2	§6の語（SL-1）	当直	空の道を見張る管制官と、防空の当直だった。
pr03-2	§6の語（9.11）	管制	空の道を見張る管制官と、防空の当直だった。
pr03-2	§6の語（9.11）	当直	空の道を見張る管制官と、防空の当直だった。
pr03-2	EL_YOMI 既存	管制官→かんせいかん×1	空の道を見張る管制官と、防空の当直だった。
pr04-1	同形異音語（一般）	目	軍が1機目の乗っ取りを知らされたのは、ぶつかる9分前だった。
pr04-1	数詞＋助数詞	9分	軍が1機目の乗っ取りを知らされたのは、ぶつかる9分前だった。
pr04-1	EL_YOMI 既存	軍が→ぐんが×1	軍が1機目の乗っ取りを知らされたのは、ぶつかる9分前だった。
pr04-2	EL_YOMI 既存	墜ち→おち×1	残りの3機については、墜ちるまで知らされていない。
pr04-3	数詞＋助数詞	9分	猶予は9分。そのあとは0分だった
pr04-3	数詞＋助数詞	0分	猶予は9分。そのあとは0分だった
pr04-3	EL_YOMI 既存	猶予→ゆうよ×1	猶予は9分。そのあとは0分だった
pr05-1	数詞＋助数詞	2001年	なぜそうなったのかは、2001年という年から見ていく。
pr05-1	EL_YOMI 既存	2001年→にせんいちねん×1	なぜそうなったのかは、2001年という年から見ていく。
pr06-1	同形異音語（一般）	人	ハイジャックは、犯人の要求をのんで着陸させるもの。
pr06-2	§6の語（9.11）	乗員	乗員も管制も、何十年もそう訓練されてきた。
pr06-2	§6の語（9.11）	管制	乗員も管制も、何十年もそう訓練されてきた。
pr06-2	EL_YOMI 既存	管制→かんせい×1	乗員も管制も、何十年もそう訓練されてきた。
pr06-3	同形異音語（一般）	人	犯人と戦うことは、手引きのどこにも書かれていない。
