場面	一致率	送った文	聞こえた文	送信文
pr01-1	0.949	2024年3月26日、午前1時29分。メリーランド州ボルチモア。	2024年3月26日午前1時29分。メリーランド州ボルティモア。	2024年3月26日、午前1時29分。メリーランド州ボルチモア。
pr01-2	1.000	全長2769メートルの橋が、真ん中から川に落ちた。	全長二千七百六十九メートルの橋が真ん中から川に落ちた。	全長にせんななひゃくろくじゅうきゅうメートルの橋が、真ん中から川に落ちた。
pr02-1	1.000	橋の上には、8人がいた。道路の穴を埋めていた補修班が7人。	橋の上には八人がいた。道路の穴を埋めていた補修班が七人。	橋の上には、8人がいた。道路の穴を埋めていた補修班が7人。
pr02-2	1.000	それを見て回っていた点検員が1人。	それを見て回っていた点検員が一人	それを見て回っていたてんけん員が1人。
pr03-1	1.000	6人が亡くなった。1人が重傷を負って生き延び、点検員は無事だった。	六人が亡くなった。一人が重傷を負って生き延び、点検員は無事だった。	6人が亡くなった。1人が重傷を負って生き延び、てんけん員は無事だった。
pr03-2	0.905	船に乗っていた23人のうち、けがは1人である。	船に乗っていた二十三人のうち、怪我は一人である。	船に乗っていた23人のうち、けがは1人である。
pr04-1	1.000	船の異常は、橋の両端にいた警官に伝わっていた。	船の異常は橋の両端にいた警官に伝わっていた。	船の異常は、橋の両端にいた警官に伝わっていた。
pr04-2	1.000	警官は車を止めた。橋の上の8人には、誰も伝えなかった。	警官は車を止めた。橋の上の八人には誰も伝えなかった。	警官は車を止めた。橋の上の8人には、誰も伝えなかった。
pr04-3	1.000	衝突まで、1分16秒あった	衝突まで1分16秒あった。	衝突まで、1分16秒あった
pr05-1	0.764	調べたのは、アメリカの国家運輸安全委員会。略称エヌティーエスビー。	調べたのはアメリカの国家運輸安全委員会、略称NTSB。	調べたのは、アメリカの国家運輸安全委員会。略称エヌティーエスビー。
pr05-2	1.000	最終報告は259ページある。	最終報告は二百五十九ページある。	最終報告はにひゃくごじゅうきゅうページある。
pr06-1	1.000	原因は、船の配電盤の中にあった一本の信号線だった。	原因は船の配電盤の中にあった一本の信号線だった。	原因は、船の配電盤の中にあった一本の信号線だった。
pr06-2	1.000	その線が、端子台に奥まで入っていなかった。	その線が端子台に奥まで入っていなかった	その線が、たんし台に奥まで入っていなかった。
pr07-1	1.000	線が外れて停電が起き、船は推進と操舵を同時に失った。	線が外れて停電が起き、船は推進と操舵を同時に失った。	線が外れて停電が起き、船は推進と操舵を同時に失った。
pr07-2	0.947	そのとき、橋までは3200フィート。およそ975メートルである。	その時、橋までは三二〇〇フィート、およそ九七五メートルである。	そのとき、橋までは3200フィート。およそ975メートルである。
pr08-1	0.889	船は橋脚に当たった。13秒で橋脚が崩れ、	クネは橋脚に当たった。十三秒で橋脚が崩れ	船は橋脚に当たった。13秒で橋脚が崩れ、
pr08-2	0.889	中央の橋桁3つが、船首の上と川へ落ちた。	中央の橋桁三つが線路の上と川へ落ちた。	中央の橋桁3つが、船首の上と川へ落ちた。
pr09-1	1.000	報告書は、崩落そのものにも踏み込んでいる。	報告書は崩落そのものにも踏み込んでいる。	報告書は、崩落そのものにも踏み込んでいる。
pr09-2	0.915	この橋には、外航船が当たったときに崩れないための備えが無かった。	この橋には外航船が当たった時に崩れないための備えがなかった。	この橋には、がいこう船が当たったときに崩れないための備えが無かった。
pr10-1	0.936	事故のあとに計算してみると、この橋が崩れる見込みは、	事故の後に計算してみると、この橋が崩れる見込みは	事故のあとに計算してみると、この橋が崩れる見込みは、
pr10-2	0.986	橋の設計指針が許容している線のおよそ30倍だった。誰も計算していなかった。	橋の設計指針が許容している線のおよそ三十倍だった。誰も計算していなかった	橋の設計指針が許容している線のおよそ30倍だった。誰も計算していなかった。
pr11-1	1.000	知らせは、船から陸へ、陸から警官へと渡っていく。	知らせは船から陸へ、陸から警官へと渡っていく。	知らせは、船から陸へ、陸から警官へと渡っていく。
pr11-2	0.914	最後の一本だけが、繋がっていなかった。	最後の一本だけがつながっていなかった。	最後の一本だけが、繋がっていなかった。
pr12-1	0.981	これは、その4分9秒と、届かなかった1分16秒の記録である。	これはその四分九秒と届かなかった一分十六秒の記録である。	これは、その4分9秒と、届かなかった1分16秒の記録である。
pr12-2	1.000	259ページの報告書だけで、たどる。	二百五十九ページの報告書だけでたどる	にひゃくごじゅうきゅうページの報告書だけで、たどる。
c101-1	0.947	フランシス・スコット・キー橋。ボルチモアの港の出口を跨いでいた。	フランシス・スコット・キー橋。ボルチモアの港の出口をまたいでいた。	フランシス・スコット・キー橋。ボルチモアの港の出口を跨いでいた。
c101-2	0.958	その設計の基準に、船がぶつかるという項目は無かった。	その設計の基準に船がぶつかるという項目はなかった	その設計の基準に、船がぶつかるという項目は無かった。
c102-1	1.000	開通は1977年3月23日。	開通は1977年3月23日	開通は1977年3月23日。
c102-2	0.914	崩れたのは、その47年と3日あとだった。	崩れたのはその四十七年と三日後だった。	崩れたのは、その47年と3日あとだった。
c103-1	0.696	持ち主はメリーランド州交通局。略称エムディーティーエー。	持ち主はメリーランド州交通局、略称MDTA。	持ち主はメリーランド州交通局。略称エムディーティーエー。
c103-2	1.000	州道695号を、パタプスコ川の上に渡していた。	州道695号をパタプスコ川の上に渡していた	州道695号を、パタプスコ川の上に渡していた。
c104-1	0.977	全長は9086フィート。およそ2769メートル。	全長は九千八十六フィート、およそ二千七百六十九メートル	全長は9086フィート。およそにせんななひゃくろくじゅうきゅうメートル。
c104-2	0.909	主航路の上の桁下は185フィート、およそ56メートルあった。	主砲楼の上の桁下は百八十五フィート、およそ五十六メートルあった。	主航路の上の桁下は185フィート、およそ56メートルあった。
c105-1	0.918	橋の下を通るのは、幅700フィートのフォート・マクヘンリー連邦航路。	足の下を通るのは幅七百フィートのフォートマックヘンリー連邦航路。	橋の下を通るのは、幅700フィートのフォート・マクヘンリー連邦航路。
c105-2	0.955	外航船は、この航路の中心を通って橋の下を抜ける。	外交船はこの航路の中心を通って橋の下を抜ける。	がいこう船は、この航路の中心を通って橋の下を抜ける。
c106-1	0.939	車線は4つ。2023年の通行は1日あたり34121台。	車線は四つ。二〇二三年の通行は一日当たり三万四千百二十一台。	車線は4つ。2023年の通行は1日あたりさんまんよんせんひゃくにじゅういち台。
c106-2	1.000	そのうち1割がトラックだった。	そのうち一割がトラックだった。	そのうち1割がトラックだった。
c107-1	1.000	危険物を積んだ車は、湾の下のトンネルを通れない。	危険物を積んだ車は湾の下のトンネルを通れない。	危険物を積んだ車は、湾の下のトンネルを通れない。
c107-2	1.000	だからこの橋は、その種類の車にとって、主な道だった。	だからこの橋はその種類の車にとって主な道だった。	だからこの橋は、その種類の車にとって、主な道だった。
c108-1	0.824	両端の橋台、土手の側で橋を受ける台が2基。橋脚が36基。	八葉橋の兄弟。土手の側で橋を受ける台が二基、橋脚が三十六基	両端のきょうだい、土手の がわで橋を受ける台が2基。橋脚が36基。
c108-2	0.857	橋脚と橋脚のあいだを、径間と呼ぶ。	橋脚と橋脚の間を径間と呼ぶ。	橋脚と橋脚のあいだを、径間と呼ぶ。
c108-3	0.870	航路の上の3径間だけが、鋼のトラスで組まれていた。	走路の上の三計観だけが鋼のトラスで組まれていた。	航路の上の3径間だけが、鋼のトラスで組まれていた。
c109-1	1.000	トラスとは、三角形を組み合わせて力を流す骨組みのことである。	トラスとは三角形を組み合わせて力を流す骨組みのことである。	トラスとは、三角形を組み合わせて力を流す骨組みのことである。
c109-2	1.000	上を通るのではなく、骨組みの中を車が通る形だった。	上を通るのではなく、骨組みの中を車が通る形だった。	上を通るのではなく、骨組みの中を車が通る形だった。
c110-1	0.952	この骨組みには、決められた呼び名が付いている。	この骨組みには決められた呼び名がついている。	この骨組みには、決められた呼び名が付いている。
c110-2	0.958	非冗長鋼引張部材。鋼でできていて、引っ張られていて、	非冗長。鋼引っ張り部材。鋼でできていて、引っ張られていて	非冗長鋼ひっぱり部材。鋼でできていて、引っ張られていて、
c110-3	1.000	1本が壊れれば、橋は落ちかねない	一本が壊れれば橋は落ちかねない。	1本が壊れれば、橋は落ちかねない
c111-1	0.938	そう呼ばれた部材は、24か月に一度、	そう呼ばれた部材は二十四ヶ月に一度	そう呼ばれた部材は、24か月に一度、
c111-2	0.915	検査員が手の届く距離まで寄って調べることが義務づけられている。	店員が手の届く距離まで寄って調べることが義務付けられている。	検査員が手の届く距離まで寄って調べることが義務づけられている。
c112-1	1.000	崩落の前の最後の検査は、2023年5月。	崩落の前の最後の検査は2023年5月	ほうらくの前の最後の検査は、2023年5月。
c112-2	0.941	報告書は、このとき不具合は見つかっていない、と書いている。	報告書はこの時不具合は見つかっていないと書いている。	報告書は、このとき不具合は見つかっていない、と書いている。
c113-1	1.000	橋脚には備えがあった。橋が開いた1977年から、	橋脚には備えがあった。橋が開いた1977年から	橋脚には備えがあった。橋が開いた1977年から、
c113-2	0.943	17番と18番の橋脚を、潰れて力を吸うコンクリートと木の防衝工が囲んでいた。	十七番と十八番の橋脚を潰れて力を吸うコンクリートと木の防潮工が囲んでいた。	17番と18番の橋脚を、潰れて力を吸うコンクリートと木の防衝工が囲んでいた。
c114-1	1.000	少し離れた水の上には、ドルフィンと呼ばれる構造物が4基。	少し離れた水の上にはドルフィンと呼ばれる構造物が四基	少し離れた水の上には、ドルフィンと呼ばれる構造物が4基。
c114-2	1.000	ゴムの緩衝材を巻いて、外れた船をそらすためのものである。	ゴムの緩衝材を巻いて外れた船をそらすためのものである。	ゴムの緩衝材を巻いて、外れた船をそらすためのものである。
c115-1	1.000	ただし、設計に使われたのは1969年の基準だった。	ただし、設計に使われたのは1969年の基準だった。	ただし、設計に使われたのは1969年の基準だった。
c115-2	1.000	船がぶつかる危険も、橋を守る備えも、その基準には書かれていない。	船がぶつかる危険も、橋を守る備えも、その基準には書かれていない。	船がぶつかる危険も、橋を守る備えも、その基準には書かれていない。
c201-1	1.000	3月25日の夜。橋の南行きの右車線が、工事のために閉じられていた。	3月25日の夜、橋の南行きの右車線が工事のために閉じられていた。	3月25日の夜。橋の南行きの右車線が、工事のために閉じられていた。
c201-2	1.000	ブラウナー・ビルダーズ社の補修班7人が、路面の穴を埋めていた。	ブラウナービルダーズ社の補修班七人が路面の穴を埋めていた	ブラウナー・ビルダーズ社の補修班7人が、路面の穴を埋めていた。
c202-1	1.000	閉じていたのは、南行きの右車線1本。	閉じていたのは南行きの右車線一本。	閉じていたのは、南行きの右車線1本。
