行	扱い	理由
pr04-2	要耳（低）1.2センチ	「1.2」をかな「いってんに」に固定。対照実験で読みは正しい（5モーラ・c122-2 では Scribe も「一点二」）が、Scribe が点を落としやすい。同じ読みが c112-2・c114-1・c122-2、「1.9」が c413-1
pr07-1	正しい（異音の所見は促音）	末尾「だっ|た」。3テイクとも同じ位置
pr08-1	直した（EL_YOMI）	NIST→ニスト
c101-1	直した（EL_YOMI）	NIST→ニスト
c103-2	直した（EL_YOMI）	床→ゆか
c104-1	直した（EL_YOMI）	床→ゆか
c104-2	直した（EL_YOMI）	地面の上に→地面の うえに
c105-1	正しい（間 0.85秒＝句点の溜め）	「地下駐車場である。」のあと
c106-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 80%
c106-3	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 78%
c107-1	直した（EL_YOMI）	床→ゆか
c108-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 90%
c109-2	直した（EL_YOMI）	NIST→ニスト
c110-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 83%
c111-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c111-2	正しい（Scribe が「もん」とかな書き）	門の読み「もん」が聞取に出ている（漢字を当てなかっただけ）
c112-2	直した（EL_YOMI）	1.2センチ→いってんにセンチ
c114-1	正しい（異音の所見は促音）	「ば、いっ（てん）」の「いっ」
c115-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 85%
c116-2	正しい（取り直しで「呼ぶ」）	前のテイクは聞取「読む」（b/m は Scribe が取り違えやすい音）。2テイク合議は割れたが取り直し1回で合格
c117-1	直した（EL_YOMI）	NIST→ニスト
c119-2	直した（EL_YOMI）	NIST→ニスト
c120-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 90%
c121-1	直した（EL_YOMI）	NIST→ニスト
c121-2	要耳（低）文頭の「門」	かな「もん」に。A/B と取り直しの聞取は「門」。前は「本」
c122-1	直した（EL_YOMI）	2分の1インチ足らずから、およそ1インチへ→2分の1 インチ足らずから、およそ1 インチへ
c122-2	直した（EL_YOMI）	1.2センチ→いってんにセンチ
c123-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 81%
c124-2	要耳（低）文頭の「門」	かな「もん」に。前は「王」
c125-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 76%
c125-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c126-1	直した（EL_YOMI）	NIST→ニスト
c126-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c131-1	直した（EL_YOMI）	NIST→ニスト
c201-1	要耳（低）「ここから、NIST の」	取り直し1回で合格。前は「そこから日数の」
c202-2	正しい（間 0.91秒＝句点の溜め）	「朝である。」のあと
c203-1	直した（EL_YOMI）	床→ゆか
c203-2	取り直し（文字起こし合格）	1テイク
c205-1	直した（EL_YOMI）	NIST→ニスト
c207-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 89%
c210-2	取り直し（文字起こし合格）	1テイク
c212-2	直した（EL_YOMI）	床→ゆか
c214-1	要耳（低）文頭の「隙間」	取り直し1回で「隙間」。前のテイクは「暇」（す が弱い）
c214-2	直した（EL_YOMI）	床→ゆか
c216-1	直した（EL_YOMI）	床→ゆか
c216-2	直した（EL_YOMI）	床→ゆか
c217-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 87%
c219-1	正しい（間 0.87秒＝句点の溜め）	「場所が変わる。」のあと
c219-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 87%
c220-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 83%
c222-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 87%
c228-1	直した（EL_YOMI）	NIST→ニスト
c228-2	要耳（中）「分の単位になる」	前のテイクは聞取「十分の単位」で、語の時刻に「十」の実音 0.36秒があった（＝じゅっぷん と読んだ疑い）。「ふん」に固定して取り直し、聞取「分の単位」・余分な数なし。読点の間 0.75〜0.97秒×4 はそのまま
c229-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c230-2	直した（EL_YOMI）	床→ゆか
c231-2	直した（EL_YOMI）	床→ゆか
c302-2	直した（EL_YOMI）	床→ゆか
c303-1	直した（EL_YOMI）	床→ゆか
c306-2	直した（EL_YOMI）	床→ゆか
c307-2	直した（EL_YOMI）	床→ゆか
c310-1	直した（EL_YOMI）	床→ゆか
c310-2	正しい（異音の所見は促音）	「立っ」
c311-1	要耳（中）文頭の「柱」	取り直し3テイク目で「柱」（1・2は 橋が／滑車）。文中の柱は全行正しい
c312-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 81%
c313-1	直した（EL_YOMI）	床→ゆか
c313-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c314-2	直した（EL_YOMI）	床→ゆか
c315-1	直した（EL_YOMI）	NIST→ニスト
c316-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 86%
c316-2	正しい（異音の所見は促音）	末尾「だっ|た」
c317-1	要耳（中）文頭の「起きた柱」	取り直し2テイク目で合格（前は 大きな星）
c317-2	正しい（異音の所見は促音）	「たっ（た）」
c318-1	直した（EL_YOMI）	NIST→ニスト
c319-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c320-1	直した（EL_YOMI）	床→ゆか
c321-2	取り直し（文字起こし合格）	1テイク／NIST→ニスト
c322-2	正しい（異音の所見は促音）	再合成後のテイクに所見なし
c324-2	取り直し（文字起こし合格）	1テイク
c326-1	正しい（間 0.76秒＝句点の溜め）	「同じである。」のあと
c327-2	要耳（中）文頭の「崩落」	かな「ほうらく」＋取り直し2テイク目で「崩落」（1は 大楽）。かなでも安定しない語
c328-1	要耳（中）文頭の「柱」	取り直し3テイク目で合格（前は 頭）
c329-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 89%
c330-2	正しい（異音の所見は破裂音）	「からは、絶対に」の「は」（間に挟まれた1音）
c333-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 82%
c333-2	取り直し（文字起こし合格）	1テイク
c334-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c335-2	正しい（異音の所見は破裂音）	「でなく、実験」の「く」の破裂
c401-1	直した（EL_YOMI）	NIST→ニスト
c404-1	直した（EL_YOMI）	NIST→ニスト
c404-2	取り直し（文字起こし合格）	1テイク
c405-2	直した（EL_YOMI）	床→ゆか
c406-2	要耳（低）赤が／黄が	取り直し1回で合格。前は「母かが…父が」（1音の語＝聞き取りにくい）
c407-1	正しい（異音の所見は促音）	「いっかしょ」の「いっ」
c407-2	直した（EL_YOMI）	床→ゆか
c408-2	正しい（先頭 10ms・振幅 0.1倍＝無音の揺れ）	門番の閾値未満の所見
c409-2	取り直し（文字起こし合格）	1テイク／瓦礫のなかから→がれきのなかから／床→ゆか
c410-1	正しい（間 0.92秒＝句点の溜め）	「引かれている。」のあと
c412-2	要耳（中・決め所）¾インチ	「よんぶんのさんインチ」に固定。聞取「四分の三インチ」。前は「七四インチ」
c413-1	直した（EL_YOMI）	1.9センチ→いってんきゅうセンチ
c416-2	直した（EL_YOMI）	下面→かめん
c418-1	直した（EL_YOMI）	床→ゆか
c418-2	直した（EL_YOMI）	床→ゆか
c420-2	正しい（同音の別字）	注記→中期（ちゅうき）
c424-1	直した（EL_YOMI）	床→ゆか
c424-2	直した（EL_YOMI）	NIST→ニスト
c426-2	正しい（異音の所見は促音）	決め所。末尾「だっ|た」
c427-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c428-1	直した（EL_YOMI）	NIST→ニスト
c429-2	直した（EL_YOMI）	床→ゆか
c431-1	要耳（低）文頭の「瓦礫」	かな「がれき」に。前は わらき／荒木（れ→ら）。c409-2 も同じ
c431-2	取り直し（文字起こし合格）	1テイク／NIST→ニスト
c433-1	正しい（間 0.91秒＝句点の溜め）	「何か。」のあと
c501-1	正しい（異音の所見は促音）	文頭「かっこ」の「かっ」
