scene	decision	chosen	takes	flags	text
pr01-1	clean	2	2	take1: 途中に浮いた音: 240ms（7.33秒地点・振幅15006＝本文の1.5倍／前90ms・後130ms の無音） || take2: clean	1986年1月28日の朝、アメリカ、フロリダの発射台は凍っていた。
pr03-2	unsure	1	3	take1: 先頭に余計な音: 190ms の音（振幅25906＝本文の3.1倍）のあと 130ms の無音 || take2: 先頭に余計な音: 160ms の音（振幅31755＝本文の2.9倍）のあと 100ms の無音 || take3: 末尾に余計な音: 90ms の無音 → 250ms の音（2.71秒地点・振幅8961＝本文の1.0倍）; 先頭に余計な音: 180ms の音（振幅31479＝本文の3.4倍）のあと 120ms の無音	乗っていた7人は、全員が亡くなっている。
pr04-3	clean	2	2	take1: 末尾に余計な音: 110ms の無音 → 130ms の音（2.19秒地点・振幅15713＝本文の1.4倍） || take2: clean	技術者は、ひとりも賛成しなかった
c106-2	unsure	1	3	take1: 末尾に余計な音: 110ms の無音 → 130ms の音（3.85秒地点・振幅14163＝本文の1.1倍） || take2: 途中に浮いた音: 170ms（1.22秒地点・振幅17964＝本文の1.4倍／前80ms・後290ms の無音） || take3: 末尾に余計な音: 110ms の無音 → 110ms の音（4.02秒地点・振幅16244＝本文の1.2倍）	この三つが重なって、塔には大量の氷がついていった。
c109-2	real	1	3	take1: 途中に浮いた音: 250ms（3.54秒地点・振幅20758＝本文の1.2倍／前80ms・後150ms の無音） || take2: 途中に浮いた音: 230ms（3.69秒地点・振幅15019＝本文の1.1倍／前90ms・後150ms の無音） || take3: 途中に浮いた音: 240ms（3.69秒地点・振幅15269＝本文の0.9倍／前90ms・後110ms の無音）	委員会は、通路の氷を乗員に知らせるべきだったと書いている。
c109-3	clean	2	2	take1: 途中に浮いた音: 210ms（1.81秒地点・振幅25787＝本文の2.4倍／前180ms・後110ms の無音） || take2: clean	打ち上げをおくらせることも、もっと考えるべきだった、と。
c111-2	unsure	2	3	take1: 途中に浮いた音: 150ms（2.84秒地点・振幅10618＝本文の1.3倍／前90ms・後80ms の無音）; 途中に浮いた音: 210ms（3.99秒地点・振幅22676＝本文の2.8倍／前200ms・後110ms の無音） || take2: 途中に浮いた音: 210ms（3.84秒地点・振幅28728＝本文の2.8倍／前180ms・後110ms の無音） || take3: 途中に浮いた音: 190ms（3.85秒地点・振幅30350＝本文の3.4倍／前300ms・後140ms の無音）	ただし報告書は、これについて一行だけ、はっきり書いている。
c113-1	unsure	1	3	take1: 末尾に余計な音: 90ms の無音 → 160ms の音（4.08秒地点・振幅7052＝本文の0.9倍） || take2: 途中に浮いた音: 220ms（2.81秒地点・振幅29528＝本文の3.9倍／前90ms・後140ms の無音） || take3: 途中に浮いた音: 210ms（2.73秒地点・振幅28029＝本文の3.3倍／前90ms・後110ms の無音）	懸念を出したのは、本体を作ったロックウェルという会社だった。
c113-3	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 130ms の音（4.27秒地点・振幅12769＝本文の1.0倍） || take2: clean	気にしていたのは、氷が落ちてその表面に当たることだった。
c114-3	clean	3	3	take1: 先頭に余計な音: 180ms の音（振幅26854＝本文の2.9倍）のあと 110ms の無音 || take2: 先頭に余計な音: 190ms の音（振幅23196＝本文の2.5倍）のあと 100ms の無音 || take3: clean	三つ、大きな補助ロケットが空気を吸いこみ、氷を巻きこむ。
c115-1	clean	2	2	take1: 先頭に余計な音: 200ms の音（振幅31477＝本文の3.6倍）のあと 90ms の無音 || take2: clean	ロックウェルの、宇宙輸送部門の社長はこう言っている。
c115-3	clean	2	2	take1: 途中に浮いた音: 190ms（2.18秒地点・振幅8851＝本文の1.0倍／前460ms・後2180ms の無音） || take2: clean	何が起きるか分からない、と。
c117-2	real	1	3	take1: 途中に浮いた音: 200ms（0.79秒地点・振幅7635＝本文の0.9倍／前110ms・後510ms の無音） || take2: 途中に浮いた音: 200ms（0.79秒地点・振幅7893＝本文の1.0倍／前120ms・後470ms の無音） || take3: 途中に浮いた音: 180ms（0.80秒地点・振幅10523＝本文の1.1倍／前120ms・後360ms の無音）	そこまで言って、副社長は言いなおした。
c202-1	real	1	3	take1: 途中に浮いた音: 250ms（3.26秒地点・振幅14189＝本文の1.4倍／前160ms・後140ms の無音） || take2: 途中に浮いた音: 240ms（3.02秒地点・振幅24329＝本文の2.1倍／前140ms・後100ms の無音） || take3: 途中に浮いた音: 240ms（3.50秒地点・振幅19157＝本文の1.8倍／前210ms・後120ms の無音）	機長は、フランシス・スコビー。通称ディック・スコビー。
c205-2	clean	2	2	take1: 末尾に余計な音: 120ms の無音 → 150ms の音（6.51秒地点・振幅8124＝本文の1.0倍） || take2: clean	1984年、別のシャトル、ディスカバリー号の初飛行に乗った。
c208-2	real	1	3	take1: 末尾に余計な音: 100ms の無音 → 150ms の音（3.69秒地点・振幅10064＝本文の1.3倍） || take2: 末尾に余計な音: 110ms の無音 → 160ms の音（3.84秒地点・振幅8736＝本文の1.0倍） || take3: 末尾に余計な音: 100ms の無音 → 140ms の音（3.86秒地点・振幅8733＝本文の1.0倍）	マサチューセッツ州のボストンで生まれ、同じ州で育った。
c210-3	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 170ms の音（2.23秒地点・振幅7456＝本文の0.9倍） || take2: clean	宇宙から、授業をするはずだった
c212-2	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 190ms の音（3.49秒地点・振幅9791＝本文の1.5倍） || take2: clean	飛ぶのはマコーリフ、残るのはモーガンだった。
c306-1	clean	3	3	take1: 途中に浮いた音: 250ms（1.06秒地点・振幅10801＝本文の1.3倍／前90ms・後130ms の無音） || take2: 途中に浮いた音: 240ms（1.17秒地点・振幅10495＝本文の1.1倍／前90ms・後180ms の無音） || take3: clean	機体が浮き上がった、その直後のことである。
c307-1	clean	2	2	take1: 末尾に余計な音: 120ms の無音 → 110ms の音（4.37秒地点・振幅10914＝本文の1.2倍） || take2: clean	このとき煙が出た場所を正確に撮るはずだったカメラが、2台あった。
c308-2	clean	3	3	take1: 末尾に余計な音: 90ms の無音 → 150ms の音（3.05秒地点・振幅14291＝本文の1.1倍） || take2: 末尾に余計な音: 90ms の無音 → 160ms の音（2.96秒地点・振幅14999＝本文の1.3倍） || take3: clean	計算で煙の出どころを割り出すことになった。
c310-1	clean	2	2	take1: 末尾に余計な音: 110ms の無音 → 210ms の音（2.35秒地点・振幅6912＝本文の1.0倍） || take2: clean	煙は一度きりではなかった。
