行	テイク数	判定	各テイクの聞取	本文
c115-1	3	要耳（全テイク落ち・所見最少を採用）	take1: 副操縦士はブラック。 一万八百時間のうち七四七が二千七百九十六時間。 || take2: 核操縦士はブラック。一万八百。時間のうち七四七が二千七百九十六時間。 || take3: 副操縦士はブラック。 一万八百時間のうち七四七が二千七百九十六時間。	副操縦士はブラッグ。10,800時間のうち、747が2,796時間。
c118-2	1	採用（文字起こしが台本と合う）	take1: 補助席に座った二人である。	補助席に座った2人である。
c213-2	1	採用（文字起こしが台本と合う）	take1: 雪走路と平行に走るその道の一番端だった。	滑走路と平行に走る、その道のいちばん端だった。
c214-2	1	採用（文字起こしが台本と合う）	take1: ブラーテンスの七三七、スターリングの七二七、サタのDC八である。	ブラーテンスの737、スターリングの727、SATAのDC-8である。
c216-1	2	採用（文字起こしが台本と合う）	take1: 旧道路は一本道で追い越すことができない。 || take2: 誘導路は一本道で追い越すことができない。	誘導路は一本道で、追い越すことができない。
c218-2	1	採用（文字起こしが台本と合う）	take1: 戻らなかったのはそのうちたった一人だけである。	戻らなかったのは、そのうち、たった一人だけである。
c219-3	3	採用（文字起こしが台本と合う）	take1: この一人だけが炭の瓶に乗らなかった。 || take2: この一人だけが炭の瓶に乗らなかった。 || take3: この一人だけが次の便に乗らなかった。	この一人だけが、次の便に乗らなかった。
c303-1	3	要耳（全テイク落ち・所見最少を採用）	take1: 雪走路は一本しかない。長さ三四零零メートル、幅四五メートル || take2: 素手走路は一本しかない。長さ三千四百メートル、幅四十五メートル || take3: 滑走路は一本しかない。長さ三四零零メートル、幅四十五メートル	滑走路は、1本しかない。長さ3,400メートル、幅45メートル。
c303-2	3	要耳（全テイク落ち・所見最少を採用）	take1: スソーロの番号は向きを表す。12ならおよそ120度の方角へ進む。 || take2: スソーロの番号は向きを表す。12ならおよそ120度の方角へ進む。 || take3: 道路の番号は向きを表す。十二ならおよそ百二十度の方角へ進む。	滑走路の番号は、向きを表す。12なら、およそ120度の方角へ進む。
c304-1	3	採用（文字起こしが台本と合う）	take1: スゼソウロの脇に誘導路が一本ある。 || take2: 裾道路の脇に誘導路が1本ある。 || take3: 滑走路の脇に誘導路が1本ある。	滑走路のわきに、誘導路が1本ある。
c304-2	1	採用（文字起こしが台本と合う）	take1: 誘導路は機体が地上を動くための道で、離着陸には使わない。	誘導路は、機体が地上を動くための道で、離着陸には使わない。
c307-1	3	要耳（全テイク落ち・所見最少を採用）	take1: 平常誘導路が機体で埋まると出ていく機体は通れなくなる。 || take2: 併合誘導路が機体で埋まると出ていく機体は通れなくなる。 || take3: 平常誘導路が機体で埋まると出ていく機体は通れなくなる。	平行誘導路が機体で埋まると、出ていく機体は通れなくなる。
c315-1	1	採用（文字起こしが台本と合う）	take1: 滑走路は平らではない。真ん中の辺りが膨らんでいる。	滑走路は、平らではない。真ん中のあたりが、ふくらんでいる。
c321-1	1	採用（文字起こしが台本と合う）	take1: 行き先はすぐ隣の島である。それでもここで絶つことにした。	行き先は、すぐ隣の島である。それでも、ここで足すことにした。
c408-2	1	採用（文字起こしが台本と合う）	take1: そのままアムステルダムまで戻れたと報告者は確かめている。	そのままアムステルダムまで戻れた、と報告書は確かめている。
c412-1	1	採用（文字起こしが台本と合う）	take1: 変わった後は一切伸ばせない。	変わったあとは、一切、延ばせない。
c412-2	1	採用（文字起こしが台本と合う）	take1: 機長が上限を超えることは禁じられた。	機長が上限を超えることは、禁じられた。
c416-1	2	採用（文字起こしが台本と合う）	take1: ペネリフェでまさにそれが起きた。 || take2: テネリフェでまさにそれが起きた。	テネリフェで、まさにそれが起きた。
c513-1	1	採用（文字起こしが台本と合う）	take1: 気温は十四度、露点は十三度だった。	気温は14度、露点は13度だった。
c516-2	1	採用（文字起こしが台本と合う）	take1: 滑走路の脇に置いた機械で見通しを測って数字にするものである。	滑走路の脇に置いた機械で、見通しを測って数字にするものである。
c518-2	1	採用（文字起こしが台本と合う）	take1: 滑走路の端が見えている時は、管制官が自分の目で見て伝えていた。	滑走路の端が見えているときは、管制官が自分の目で見て伝えていた。
c521-3	3	要耳（全テイク落ち・所見最少を採用）	take1: 中心線の明かりがないなら八百メートルがいる。 || take2: 中心線の明かりがないなら八百メートルがいる。 || take3: 中心線の明かりがないなら八百メートルがいる。	中心線の灯りが無いなら、800メートルが要る。
