key	val	出どころ	当たる行数	行ID	前の回の根拠
管制	かんせい	ep7+ep8	0		漢字江／漢字への／パンジエ／カン・ジエ → 管制・感性（音は正しい）。16/35行で崩れていた
管制官	かんせいかん	ep7	18	c319-2,c518-1,c518-2,c606-1,c609-1,c611-1,c613-1,c615-1,c620-1,c710-1,c712-2,c717-1,c720-1,c721-2,c727-3,c728-1,c804-1,ep07-3	関税官／パンジエ艦／万事栄冠 → **管制官**。6/12行。⚠️ c220-2 は聞取から**語が丸ごと消えていた**
防空司令部	ぼうくう司令部	ep7	0		🔴🔴 **航空**司令部（意味が反転）／悟空スリーブ／Vocal Slave → 防空司令部。
報せ	しらせ	ep7	0		どうせ／伏せ／むせ／夢癖／向くせ → 知らせ。**5行すべて崩れていた**
墜ち	おち	ep7	0		すいちる／ウツシル／移していた／ついちる → 落ちる（音は オチル で正しい）。墜 を ツイ と読んでいた
便名	びんめい	ep7	0		弁名／弁明 → **便名**（100%）。便＝ビン が ベン に寄る
北棟	きたとう	ep7	0		🔴🔴 北東／北道／北堂 → **北棟**。§6 の「ほくとう／きたとう どちらか」への答え。
南棟	みなみとう	ep7	0		⚠️ 単独では崩れていない（送っても聞取は変わらない＝害が無いことを実測）。
当直室	とうちょく室	ep7	0		盗聴室 → 当直室（100%）。室＝シツ は読みが1つなので後ろに残せる
客室	きゃくしつ	ep7	0		角質／学術 → 客室（100%・2行とも）
五角形	ごかっけい	ep7	0		御所系／五尺径 → 五角形（100%）
猶予	ゆうよ	ep7	0		🔴 ヨーヨー → 猶予
滑走路	かっそうろ	ep7	43	pr01-2,pr02-1,pr03-1,pr04-2,pr08-2,pr11-2,c213-2,c303-1,c303-2,c304-1,c315-1,c317-1,c318-2,c319-1,c319-2,c418-2,c507-1,c508-1,c509-1,c510-1,c516-2,c518-2,c520-1,c522-2,c602-2,c603-2,c606-2,c607-3,c608-2,c609-2,c610-1,c611-2,c614-2,c615-1,c624-3,c701-1,c722-2,c728-2,c808-2,c810-1,ep02-1,ep07-2,ep10-3	走路（カッが落ちた）→ 滑走路（100%）
誘導路	ゆうどうろ	ep7	10	c213-1,c216-1,c304-1,c304-2,c305-2,c306-1,c318-1,c604-1,c605-3,c607-3	流入道路 → 誘導路（100%）
分単位	ふんたんい	ep7	0		瞬単位 → 分単位
刃渡り	はわたり	ep7	0		🔴 「100あたり10cm」 → 刃渡り十センチ
首都の	しゅとの	ep7	0		使徒の方角／主島の別の → 首都（100%）
言葉	ことば	ep7	13	c212-2,c602-3,c603-1,c608-1,c615-2,c621-2,c712-1,c720-2,c724-2,c724-3,c811-2,ep01-3,ep06-3	無線のことか → 無線の言葉（100%）
ラングレー機の	ラングレーキの	ep7	0		c708-1 だけ。⑥試写の指摘
ラングレー機が	ラングレーきが	ep7	0		c809-1 だけ。**元の値のまま**（1.000 を壊さない）
という年から	という としから	ep7	0		🔴「2001年という**年**から」が ねんから → **としから**。
飛んでいた機	飛んでいた き	ep7	0		🔴「機」が別の語に聞こえる → **とんでいた き**。
時、分、秒の順	じ、ふん、びょうの順	ep7	0		🔴「左から時、分、秒の順」の3つとも別語に。
それまで通っていた	それまで とおっていた	ep7	0		🔴 かよって → **とおって**
たびに通っている	たびに とおっている	ep7	0		🔴 同上（`c909-1`）
軍の	ぐんの	ep7	0		屯の指揮系統 → 軍の（100%）。⚠️「軍が」は**振り直すと直っていた**＝入れない（下記）
犯人と	はんにんと	ep7	0		万人と戦う → 犯人と（100%）
点は	てんは	ep7	0		頭が丸ごと落ちた（聞取「はペンタゴンの…」）→ 点は
2棟は	にとうは	ep7	0		地頭は → 二棟が
7棟	ななとう	ep7	0		花塔の建物 → 七棟の建物（100%）
鳴った人	なった人	ep7	0		だった人だけ → なった人だけ（鳴った＝なった。音は正しい）
符号が	ふごうが	ep7	0		時報が → 富豪が（ふごう＝音は正しい。Scribe の字の当て違い）
命令から	めいれいから	ep7	0		帰還から → 命令から
の側	の がわ	ep7	2	c510-2,c717-1	空港の差 → 空港のガワ（音は正しい）。6本目と同じ型
この知らせ	この しらせ	ep7	0		このチラシ → この知らせ
空の扱い	そらの扱い	ep7	0		全米のソロの扱い → 全米の空の扱い（100%）
いつ火が	いつ ひが	ep7	0		🔴 いつ木が（意味が変わる）→ いつ日が。**送るのは かな なので音は ひ で決まる**
離れた機も	離れた 機も	ep7	0		基地も → きも。⚠️ かな「きも」は 肝 に寄るので**空白で切るだけ**にした
飛ぶ機だけ	飛ぶ きだけ	ep7	0		基地だけ → 木だけ（き＝音は正しい）
落ちた機の	落ちた きの	ep7	0		落ちたきたの → 落ちた木の（き＝音は正しい）
ない便に	ない びんに	ep7	0		存在しない弁に → 瓶に（びん＝音は正しい）
の降り方	の おり方	ep7	0		着陸の掘り方 → 着陸の降り方
想定の外	そうてい の外	ep7	0		🔴🔴 童貞の底から → 想定の外から（100%）。
ただしその	ただし その	ep7	0		まだし → ただし（100%）。文頭の た が ま に落ちる
2001年	にせんいちねん	ep7	0		🔴🔴 **動画の1行目**が『2010年』になっていた（→100%）
77便と	ナナジュウナナ便と	ep7	0		🔴🔴 『二十七便』『二七便』→ 七十七便
175便は	ヒャクナナジュウゴ便は	ep7	0		🔴🔴 『七五便』→ 175便
93便が	キュウジュウサン便が	ep7	0		🔴🔴 『二三便』→ 九十三便
93便は	キュウジュウサン便は	ep7	0		🔴🔴 『六十三便』→ 九十三便
9時3分	クジ3分	ep7	0		🔴🔴 『四時三分十一秒』→ 九時三分十一秒（時刻が変わっていた）
43,150リットル	よんまんさんぜんひゃくごじゅうリットル	ep7	0		🔴🔴 『四十三**点**百五十』＝桁が壊れていた（§6 の宿題）
11,400ガロン	いちまんせんよんひゃくガロン	ep7	0		🔴🔴 『十一**点**四百』
26,000フィート	にまんろくせんフィート	ep7	0		🔴🔴 『二十六千』＝万の位が無い
10,700メートル	いちまんななひゃくメートル	ep7	0		🔴🔴 『十千七百』＝万の位が無い
F-15	エフじゅうご	ep7	0		🔴🔴 『F3』→ F15（戦闘機の型式）
ボーイング757	ボーイングななごなな	ep7	0		🔴🔴 『707』→ 757（機種・100%）
175便と	ヒャクナナジュウゴ便と	ep7	0		🔴🔴 『三七五便』→ 百七十五便。「175便**は**」を直したあとに残っていた
軍が	ぐんが	ep7	0		🔴 『ズンが』→ 軍が（100%）
出すには	だすには	ep7	0		🔴 『バスには』→ 出すには（100%）
煙が上がって	煙が あがって	ep7	0		🔴 『煙がなっている』＝**あが が落ちていた** → 煙が上がっている
頼んで行って	頼んで おこなって	ep7	0		🔴 『やっていた』『おっていた』と2回別々に崩れた → 頼んで行っていた
燃料の減った	燃料の へった	ep7	0		🔴 『欠いた』『蹴った』＝3回の聞取で3通り＝読みが安定していない → 減った（100%）
クレーター	クレエタア	ep8	0		🔴 Crater（英字）／クリエイター → クレーター。**3行とも崩れ**
見積り	みつもり	ep8	0		蜜／ミスり → 見積もり。2行とも崩れ
〜	から	ep8	0		🔴🔴 『to』『と』と読んでいた。**「670と920」は別の意味になる**。3行とも崩れ
オービタの先	オービタ の先	ep8	0		大尾びた → オービタ（3行中この行だけ崩れ）
強化炭素	きょうか炭素	ep8	0		🔴 硫化炭素＝別の物質名 → 強化炭素
その値は	その あたいは	ep8	0		その名帯 → その値は
高度は約	こうどは約	ep8	0		🔴 速度は → 高度は（意味が変わる）
上がっていく	あがっていく	ep8	0		🔴 曲がっていく → 上がっていく（意味が反転）
当たった範囲	あたった範囲	ep8	0		渡った範囲 → 当たった範囲。⚠️「当たった」は12行あるので**この行だけ**に絞った
断熱材の衝突	だんねつざいの衝突	ep8	0		🔴 環熱帯 → 断熱材。⚠️ 断熱材は16行あるので**この行だけ**
耐熱タイルより	たいねつタイルより	ep8	0		🔴 媒熱タイル → 耐熱タイル。⚠️ 6行あるので**この行だけ**
指揮系統を	しきけいとうを	ep8	0		🔴 不否認制度 → 指揮系統
塞ぐ材料	ふさぐ材料	ep8	0		探査具材料 → 塞ぐ材料
着陸で翼	ちゃくりくで翼	ep8	0		陸で翼（頭欠け）→ 着陸で翼。⚠️ 着陸は5行あるので**この行だけ**
飛行が終わって	ひこうが終わって	ep8	0		機構が → 飛行が。⚠️ 飛行は39行あるので**この行だけ**
班をまとめ	はんをまとめ	ep8	0		プランをまとめ → 班をまとめ
通信の担当	つうしんの担当	ep8	0		球審の担当 → 通信の担当
飛行主任は	ひこうしゅにんは	ep8	0		機工主任 → 飛行主任
破片は、ケネディ	はへんは、ケネディ	ep8	0		馬券 → 破片。⚠️ 「破片は」は10行あるので**この行だけ**
破ったのは	やぶったのは	ep8	0		ギャブった → 破った
安全を担当	あんぜんを担当	ep8	0		万全を担当 → 安全を担当
打ち上げを3	うちあげを3	ep8	0		🔴 仕上げを → 打ち上げを（意味が反転）。⚠️ 打ち上げは15行あるので**この行だけ**
破片の位置が51	はへんの位置が51	ep8	0		馬 pen／バペン → 破片。
破片の影響	はへんの影響	ep8	0		派遣の影響 → 破片の影響
追悼の頁	追悼の ぺーじ	ep8	0		追悼のやじな → 追悼のページ
手続きを問うた	手続きを とうた	ep8	0		🔴 手続きを踏んだ → 問うた（意味が反転）
式が試された	しきが試された	ep8	0		知識が試された → 式が試された
乗り移る	のりうつる	ep8	0		🔴 海苔を釣る → 乗り移る
にくい降り方	にくい おりかた	ep8	0		掘り方 → 降り方。7本目にも同じ「の降り方」があった
地上から「降りてよい」	ちじょうから「降りてよい」	ep8	0		事情から → 地上から。
機体は傾きを	機体は かたむきを	ep8	0		型抜きを → 傾きを
左の主脚の	左の しゅきゃくの	ep8	0		左の死脚の → 左の主脚の
場内の放送は	じょうないの放送は	ep8	0		🔴 「場内の放送は」が丸ごと消えていた
いちばん西で見つかった	いちばん にしで見つかった	ep8	0		一番にして → 一番西で。
縦横40センチ	たてよこ40センチ	ep8	0		「縦横よろこ四十センチ」＝二重読み → 縦横四十センチ
0.008ジュール	れいてんれいれいはちジュール	ep8	0		🔴🔴 0.08＝**10倍違っていた**
最初は1983年	最初は センキュウヒャクハチジュウサンねん	ep8	0		🔴🔴 1983 が丸ごと消えていた
2台の映像	ニダイの映像	ep8	0		次代の映像 → 二台の映像
19,700立方センチ	いちまんきゅうせんななひゃく立方センチ	ep8	0		🔴 十九千七百＝万の位が無かった
1月24日、チーム	イチガツ24日、チーム	ep8	0		🔴 「月二十四日」＝文頭の 1 が消えていた
255周目	ニヒャクゴジュウゴ周目	ep8	0		🔴🔴 百五十時十五週目＝桁が壊れていた
ここを0秒とする	ここを ゼロびょうとする	ep8	0		🔴 「ここを秒とする」＝0 が消えていた
425秒後には	よんひゃくにじゅうご秒後には	ep8	0		🔴🔴 225秒後＝**別の数**になっていた。
270の機関から	ニヒャクナナジュウの機関から	ep8	0		🔴 麻薬70の期間から
NASAは確かめ	NASA は確かめ	ep8	0		🔴 噂は → NASAは（100%）。カナ『ナサ』は『母』になった＝英字のまま空白で切る
15通りの経路	ジュウゴ とおりの経路	ep8	0		🔴 十も通り → 十五通り。カナ＋空白の両方が要った
チタンの小片	チタンの しょうへん	ep8	0		小刀 → 小片
8枚目の下半分	8枚目の したはんぶん	ep8	0		「八枚目の一半分」→ 下半分
約4,400度	約 ヨンセンヨンヒャク度	ep8	0		「四四〇〇度」＝1桁ずつ読んでいた → 四千四百度。
83,900点	ハチマンサンゼンキュウヒャクてん	ep8	0		🔴🔴 「八十千点九百点」→ 八万三千九百点。
1,052キロ	センゴジュウニキロ	ep8	0		🔴「見積り」を直したら『一点五十二』に化けた → 千五十二
号は、9時00分18秒	号は、クジ ゼロフン ジュウハチビョウ	ep8	0		「九時零零分」→ 九時零分。
RCCの板でいえば	アールシーシーの板でいえば	ep8	0		🔴🔴 **1周目も2周目も LCC**。
予算とカメラ	よさんとカメラ	ep8	0		『ロサンと』→ 予算と（100%）。
差の分だけ	さの分だけ	ep8	0		『浅野分だけ』→ 差の分だけ
軌道にいるコロンビア号の左	きどうにいるコロンビア号の左	ep8	0		🔴『非道にいる』＝意味が反転。
前のふち用の式	前のふち用の しき	ep8	0		『前のフチオの式』→ 前のフチ用の式
9時00分18秒。地上	9時 ゼロフン ジュウハチビョウ。地上	ep8	0		
機体が分かれる	きたいが分かれる	ep8	0		🔴 取り直しの振れで『額(ひたい)が分かれる』に化けた
破片は、1秒に約18回	はへんは、1秒に約ジュウハチかい	ep8	0		10:11 c309-1。『はぺん』→ 破片。
破片がどんな形	はへんがどんな形	ep8	0		10:52 c313-2。同上
50分の1	ゴジュウブンのいち	ep8	0		13:36 c410-2。『ごじゅっぷんのいち』→ ごじゅうぶんのいち
に黙とうを	に モクトウを	ep8	0		13:46 c411-2。🔴『だまとう』＝別語
三度とも	さんどとも	ep8	0		16:09 c506-1。**行の頭**で語頭が飲まれる → かなで立て直す
機体の外板	きたいの がいはん	ep8	0		18:17 c518-3。『がいぱん』→ 外板
15度を超えて	ジュウゴドを超えて	ep8	0		18:43 c520-2。「15」と「度」が分かれる → つなげる。
一行も無い	イチギョウも無い	ep8	0		19:49 c527-1。違う語に聞こえる → いちぎょう。
2月10日から15日	ニガツ10日から15日	ep8	0		21:21 c609-2。**行の頭に異音**が入っていた。
空になった	からになった	ep8	0		21:42 c611-2。🔴『そらになった』＝意味が変わる
集まった破片	あつまった破片	ep8	0		32:03 c820-1。**行の頭**で語頭が飲まれる。
38,500キログラム	サンマンハッセンゴヒャクキログラム	ep8	0		32:06 c820-1
84,900ポンド	ハチマンヨンセンキュウヒャクポンド	ep8	0		同上。
