行	テイク数	判定	各テイクの聞取	本文
pr01-1	1	採用（文字起こしが台本と合う）	take1: 2024年3月26日午前1時29分。メリーランド州ボルティモア。	2024年3月26日、午前1時29分。メリーランド州ボルチモア。
pr05-1	1	採用（文字起こしが台本と合う）	take1: 調べたのはアメリカの国家運輸安全委員会、略称NTSB。	調べたのは、アメリカの国家運輸安全委員会。略称エヌティーエスビー。
pr08-1	1	採用（文字起こしが台本と合う）	take1: 船は橋脚に当たった。十三秒で橋脚が崩れ	船は橋脚に当たった。13秒で橋脚が崩れ、
pr08-2	1	採用（文字起こしが台本と合う）	take1: 中央の橋げた三つが船首の上と川へ落ちた。	中央の橋桁3つが、船首の上と川へ落ちた。
pr10-1	1	採用（文字起こしが台本と合う）	take1: 事故の後に計算してみると、この橋が崩れる見込みは	事故のあとに計算してみると、この橋が崩れる見込みは、
c102-2	1	採用（文字起こしが台本と合う）	take1: 崩れたのはその四十七年と三日後だった。	崩れたのは、その47年と3日あとだった。
c103-1	1	採用（文字起こしが台本と合う）	take1: 持ち主はメリーランド州交通局、略称MDTA。	持ち主はメリーランド州交通局。略称エムディーティーエー。
c105-1	1	採用（文字起こしが台本と合う）	take1: 橋の下を通るのは幅七百フィートのフォートマクヘンリー連邦航路。	橋の下を通るのは、幅700フィートのフォート・マクヘンリー連邦航路。
c108-1	1	採用（文字起こしが台本と合う）	take1: 両橋の橋台、土手の側で橋を受ける台が二基、橋脚が三十六基	両端の橋台、土手の側で橋を受ける台が2基。橋脚が36基。
c108-2	2	採用（文字起こしが台本と合う）	take1: 漂客と漂客の間を景観と呼ぶ。 || take2: 橋脚と橋脚の間を径間と呼ぶ。	橋脚と橋脚のあいだを、径間と呼ぶ。
c108-3	3	要耳（全テイク落ち・所見最少を採用）	take1: 高路の上の三景観だけが鋼のトラスで組まれていた。 || take2: 往路の上の三景館だけが鋼のトラスで組まれていた。 || take3: 往路の上の三景館だけが鋼のトラスで組まれていた。	航路の上の3径間だけが、鋼のトラスで組まれていた。
c110-2	2	採用（文字起こしが台本と合う）	take1: ひ、冗長が引っ張り部材。鋼でできていて引っ張られていて || take2: 非冗長。鋼引っ張り部材。鋼でできていて、引っ張られていて	非冗長鋼引張部材。鋼でできていて、引っ張られていて、
c111-2	1	採用（文字起こしが台本と合う）	take1: 検査員が手の届く距離まで寄って調べることが義務付けられている。	検査員が手の届く距離まで寄って調べることが義務づけられている。
c202-2	1	採用（文字起こしが台本と合う）	take1: 他の車線には車が通っていた。	ほかの車線には、車が通っていた。
c206-1	1	採用（文字起こしが台本と合う）	take1: 橋の両端には州交通局警察の車が一台ずつ止まっていた。	橋の両端には、州交通局警察の車が1台ずつ止まっていた。
c206-2	1	採用（文字起こしが台本と合う）	take1: 工事の間、車の流れを落とすためである。	工事のあいだ、車の流れを落とすためである。
c211-1	3	要耳（全テイク落ち・所見最少を採用）	take1: 工事の車は七台。第十八景観に四台、第二十景観に二台、第二十二景観に一台。 || take2: 工事の車は七台。第十八警官に四台、第二十警官に二台、第二十二警官に一台 || take3: 工事の車は七台、 第十八警官に四台、 第二十警官に二台、 第二十二警官に一台。	工事の車は7台。第18径間に4台、第20径間に2台、第22径間に1台。
c301-1	1	採用（文字起こしが台本と合う）	take1: 船の名はダリ。シンガポール船籍のコンテナ船である。	船の名はダリ。シンガポール船籍のコンテナ船である。
c306-1	3	要耳（全テイク落ち・所見最少を採用）	take1: 午前零時五分、メリーランド推薦人組合の上級推薦人と十二 || take2: 午前零時六分、メリーランド水先人組合の上級水先人と || take3: 午前零時五分、メリーランド推薦人組合の上級推薦人と	午前0時05分、メリーランド水先人組合の上級水先人と、
c307-2	3	要耳（全テイク落ち・所見最少を採用）	take1: 喫水、つまり水に沈む深さは十二点一五メートル、重さは十一万二千三百八十三トンだった。 || take2: 喫水、つまり水に沈む深さは十二点一五メートル、重さは十一万二千三百八十三トンだった。 || take3: 喫水、つまり水に沈む深さは十二点一五メートル、重さは十一万二千三百八十三トンだった	喫水、つまり水に沈む深さは12.15メートル。重さは11万2383トンだった。
c313-3	3	要耳（全テイク落ち・所見最少を採用）	take1: 探師台は船に数千個あった || take2: 缶次第は船に数千個あった || take3: 監視台は船に数千個あった。	端子台は、船に数千個あった
c316-2	1	採用（文字起こしが台本と合う）	take1: 橋を抜けるまで船首に一人置けという水崎忍の指示だった。	橋を抜けるまで船首に1人置け、という水先人の指示だった。
c317-1	1	採用（文字起こしが台本と合う）	take1: 一時二十一分。上級推薦人が訓練中の水先人にこう言っている。	1時21分。上級水先人が、訓練中の水先人にこう言っている。
c318-1	2	採用（文字起こしが台本と合う）	take1: その時、船は真西度百四十度で航路の中心の少し左を進んでいた。 || take2: この時船は真西140度で航路の中心の少し左を進んでいた。	このとき船は、針路140度で、航路の中心の少し左を進んでいた。
c403-1	1	採用（文字起こしが台本と合う）	take1: 船は八点九ノットで進んでいた。針路百四十二度	船は8.9ノットで進んでいた。針路142度。
c403-2	1	採用（文字起こしが台本と合う）	take1: 船首から端までは三千二百フィート、船の長さの三点三隻分である。	船首から橋までは3200フィート。船の長さの3.3隻ぶんである。
c409-2	3	採用（文字起こしが台本と合う）	take1: 上級推薦人が指揮を引き取り、「家事は聞くか？」と尋ねる。 || take2: 上級推薦人が指揮を引き取り、「家事は聞くか？」と尋ねた。 || take3: 上級水先人が指揮を引き取り、「舵は利くか？」と尋ねる。	上級水先人が指揮を引き取り、舵は効くかと尋ねる。
c410-1	1	採用（文字起こしが台本と合う）	take1: 二等航海士と操舵手は聞いていると答えた。	二等航海士と操舵手は、効いていると答えた。
c413-1	1	採用（文字起こしが台本と合う）	take1: 電気技師は変圧器につながる遮断機、電気の元栓を二つ手で閉じた。	電気技師は、変圧器につながる遮断器、電気の元栓を2つ、手で閉じた。
c414-1	3	要耳（全テイク落ち・所見最少を採用）	take1: ほぼ同じ 1時25分59秒、上級推薦人が電話をかけた。 || take2: ほぼ同じ1時25分59秒、上級推薦人が電話をかけた。 || take3: ほぼ同じ1時25分59秒、上級推薦人が電話をかけた。	ほぼ同じ1時25分59秒。上級水先人が電話をかけた。
c415-2	2	採用（文字起こしが台本と合う）	take1: 左右陸8.5ノットで近づいていた。 || take2: 速力八点五ノットで近づいていた。	速力8.5ノットで近づいていた。
c416-1	3	要耳（全テイク落ち・所見最少を採用）	take1: 電気と家事は戻った。しかし、水深は戻らない。 || take2: 電気と家事は戻った。しかし、水深は戻らない。 || take3: 電気と火事は戻った。しかし、水深は戻らない。	電気と舵は戻った。しかし推進は戻らない。
c418-2	1	採用（文字起こしが台本と合う）	take1: それでも船首が右へ振れる速さは毎分七点五度まで上がった。	それでも船首が右へ振れる速さは、毎分7.5度まで上がった。
