行	型	該当	本文
pr01-1	文頭の数字	2	2024年3月26日、午前1時29分。メリーランド州ボルチモア。
pr01-1	同形異音語（一般）	日	2024年3月26日、午前1時29分。メリーランド州ボルチモア。
pr01-1	数詞＋助数詞	2024年	2024年3月26日、午前1時29分。メリーランド州ボルチモア。
pr01-1	数詞＋助数詞	3月	2024年3月26日、午前1時29分。メリーランド州ボルチモア。
pr01-1	数詞＋助数詞	26日	2024年3月26日、午前1時29分。メリーランド州ボルチモア。
pr01-1	数詞＋助数詞	1時	2024年3月26日、午前1時29分。メリーランド州ボルチモア。
pr01-1	数詞＋助数詞	29分	2024年3月26日、午前1時29分。メリーランド州ボルチモア。
pr01-2	数詞＋助数詞	2769メートル	全長2769メートルの橋が、真ん中から川に落ちた。
pr02-1	同形異音語（一般）	上	橋の上には、8人がいた。道路の穴を埋めていた補修班が7人。
pr02-1	同形異音語（一般）	人	橋の上には、8人がいた。道路の穴を埋めていた補修班が7人。
pr02-1	同形異音語（一般）	人	橋の上には、8人がいた。道路の穴を埋めていた補修班が7人。
pr02-1	数詞＋助数詞	8人	橋の上には、8人がいた。道路の穴を埋めていた補修班が7人。
pr02-1	数詞＋助数詞	7人	橋の上には、8人がいた。道路の穴を埋めていた補修班が7人。
pr02-2	同形異音語（一般）	人	それを見て回っていた点検員が1人。
pr02-2	数詞＋助数詞	1人	それを見て回っていた点検員が1人。
pr03-1	文頭の数字	6	6人が亡くなった。1人が重傷を負って生き延び、点検員は無事だった。
pr03-1	同形異音語（一般）	人	6人が亡くなった。1人が重傷を負って生き延び、点検員は無事だった。
pr03-1	同形異音語（一般）	人	6人が亡くなった。1人が重傷を負って生き延び、点検員は無事だった。
pr03-1	同形異音語（一般）	生	6人が亡くなった。1人が重傷を負って生き延び、点検員は無事だった。
pr03-1	同形異音語（一般）	事	6人が亡くなった。1人が重傷を負って生き延び、点検員は無事だった。
pr03-1	数詞＋助数詞	6人	6人が亡くなった。1人が重傷を負って生き延び、点検員は無事だった。
pr03-1	数詞＋助数詞	1人	6人が亡くなった。1人が重傷を負って生き延び、点検員は無事だった。
pr03-2	同形異音語（一般）	人	船に乗っていた23人のうち、けがは1人である。
pr03-2	同形異音語（一般）	人	船に乗っていた23人のうち、けがは1人である。
pr03-2	数詞＋助数詞	23人	船に乗っていた23人のうち、けがは1人である。
pr03-2	数詞＋助数詞	1人	船に乗っていた23人のうち、けがは1人である。
pr04-2	同形異音語（一般）	上	警官は車を止めた。橋の上の8人には、誰も伝えなかった。
pr04-2	同形異音語（一般）	人	警官は車を止めた。橋の上の8人には、誰も伝えなかった。
pr04-2	数詞＋助数詞	8人	警官は車を止めた。橋の上の8人には、誰も伝えなかった。
pr04-3	数詞＋助数詞	1分	衝突まで、1分16秒あった
pr04-3	数詞＋助数詞	16秒	衝突まで、1分16秒あった
pr07-1	§6の語（キー橋）	操舵	線が外れて停電が起き、船は推進と操舵を同時に失った。
pr07-2	数詞＋助数詞	3200フィート	そのとき、橋までは3200フィート。およそ975メートルである。
pr07-2	数詞＋助数詞	975メートル	そのとき、橋までは3200フィート。およそ975メートルである。
pr08-1	数詞＋助数詞	13秒	船は橋脚に当たった。13秒で橋脚が崩れ、
pr08-2	同形異音語（一般）	上	中央の橋桁3つが、船首の上と川へ落ちた。
pr08-2	数詞＋助数詞	3つ	中央の橋桁3つが、船首の上と川へ落ちた。
pr10-2	数詞＋助数詞	30倍	橋の設計指針が許容している線のおよそ30倍だった。誰も計算していなかった。
pr12-1	数詞＋助数詞	4分	これは、その4分9秒と、届かなかった1分16秒の記録である。
pr12-1	数詞＋助数詞	9秒	これは、その4分9秒と、届かなかった1分16秒の記録である。
pr12-1	数詞＋助数詞	1分	これは、その4分9秒と、届かなかった1分16秒の記録である。
pr12-1	数詞＋助数詞	16秒	これは、その4分9秒と、届かなかった1分16秒の記録である。
pr12-2	文頭の数字	2	259ページの報告書だけで、たどる。
c101-2	同形異音語（一般）	目	その設計の基準に、船がぶつかるという項目は無かった。
c102-1	同形異音語（一般）	日	開通は1977年3月23日。
c102-1	数詞＋助数詞	1977年	開通は1977年3月23日。
c102-1	数詞＋助数詞	3月	開通は1977年3月23日。
c102-1	数詞＋助数詞	23日	開通は1977年3月23日。
c102-2	同形異音語（一般）	日	崩れたのは、その47年と3日あとだった。
c102-2	数詞＋助数詞	47年	崩れたのは、その47年と3日あとだった。
c102-2	数詞＋助数詞	3日	崩れたのは、その47年と3日あとだった。
c103-1	§6の語（キー橋）	州交通局	持ち主はメリーランド州交通局。略称エムディーティーエー。
c103-1	§6の語（キー橋）	エムディーティーエー	持ち主はメリーランド州交通局。略称エムディーティーエー。
c103-2	同形異音語（一般）	上	州道695号を、パタプスコ川の上に渡していた。
c103-2	§6の語（キー橋）	パタプスコ	州道695号を、パタプスコ川の上に渡していた。
c104-1	数詞＋助数詞	9086フィート	全長は9086フィート。およそ2769メートル。
c104-1	数詞＋助数詞	2769メートル	全長は9086フィート。およそ2769メートル。
c104-2	同形異音語（一般）	上	主航路の上の桁下は185フィート、およそ56メートルあった。
c104-2	同形異音語（一般）	下	主航路の上の桁下は185フィート、およそ56メートルあった。
c104-2	数詞＋助数詞	185フィート	主航路の上の桁下は185フィート、およそ56メートルあった。
c104-2	数詞＋助数詞	56メートル	主航路の上の桁下は185フィート、およそ56メートルあった。
c105-1	同形異音語（一般）	下	橋の下を通るのは、幅700フィートのフォート・マクヘンリー連邦航路。
c105-1	数詞＋助数詞	700フィート	橋の下を通るのは、幅700フィートのフォート・マクヘンリー連邦航路。
c105-1	§6の語（キー橋）	マクヘンリー	橋の下を通るのは、幅700フィートのフォート・マクヘンリー連邦航路。
c105-2	同形異音語（一般）	下	外航船は、この航路の中心を通って橋の下を抜ける。
c106-1	同形異音語（一般）	日	車線は4つ。2023年の通行は1日あたり34121台。
c106-1	数詞＋助数詞	4つ	車線は4つ。2023年の通行は1日あたり34121台。
c106-1	数詞＋助数詞	2023年	車線は4つ。2023年の通行は1日あたり34121台。
c106-1	数詞＋助数詞	1日	車線は4つ。2023年の通行は1日あたり34121台。
c106-2	数詞＋助数詞	1割	そのうち1割がトラックだった。
c107-1	同形異音語（一般）	物	危険物を積んだ車は、湾の下のトンネルを通れない。
c107-1	同形異音語（一般）	下	危険物を積んだ車は、湾の下のトンネルを通れない。
c108-1	同形異音語（実績）	側	両端の橋台、土手の側で橋を受ける台が2基。橋脚が36基。
c108-1	§6の語（キー橋）	橋台	両端の橋台、土手の側で橋を受ける台が2基。橋脚が36基。
c108-2	同形異音語（実績）	間	橋脚と橋脚のあいだを、径間と呼ぶ。
c108-2	§6の語（キー橋）	径間	橋脚と橋脚のあいだを、径間と呼ぶ。
c108-3	同形異音語（実績）	間	航路の上の3径間だけが、鋼のトラスで組まれていた。
c108-3	同形異音語（一般）	上	航路の上の3径間だけが、鋼のトラスで組まれていた。
c108-3	§6の語（キー橋）	径間	航路の上の3径間だけが、鋼のトラスで組まれていた。
c109-2	同形異音語（一般）	上	上を通るのではなく、骨組みの中を車が通る形だった。
c110-2	§6の語（キー橋）	非冗長	非冗長鋼引張部材。鋼でできていて、引っ張られていて、
c110-3	文頭の数字	1	1本が壊れれば、橋は落ちかねない
c110-3	数詞＋助数詞	1本	1本が壊れれば、橋は落ちかねない
c111-1	数詞＋助数詞	24か月	そう呼ばれた部材は、24か月に一度、
c112-1	数詞＋助数詞	2023年	崩落の前の最後の検査は、2023年5月。
c112-1	数詞＋助数詞	5月	崩落の前の最後の検査は、2023年5月。
c113-1	数詞＋助数詞	1977年	橋脚には備えがあった。橋が開いた1977年から、
c113-2	文頭の数字	1	17番と18番の橋脚を、潰れて力を吸うコンクリートと木の防衝工が囲んでいた。
c114-1	同形異音語（一般）	上	少し離れた水の上には、ドルフィンと呼ばれる構造物が4基。
c114-1	同形異音語（一般）	物	少し離れた水の上には、ドルフィンと呼ばれる構造物が4基。
c115-1	数詞＋助数詞	1969年	ただし、設計に使われたのは1969年の基準だった。
c201-1	文頭の数字	3	3月25日の夜。橋の南行きの右車線が、工事のために閉じられていた。
c201-1	同形異音語（一般）	日	3月25日の夜。橋の南行きの右車線が、工事のために閉じられていた。
c201-1	同形異音語（一般）	事	3月25日の夜。橋の南行きの右車線が、工事のために閉じられていた。
c201-1	数詞＋助数詞	3月	3月25日の夜。橋の南行きの右車線が、工事のために閉じられていた。
c201-1	数詞＋助数詞	25日	3月25日の夜。橋の南行きの右車線が、工事のために閉じられていた。
c201-2	同形異音語（一般）	人	ブラウナー・ビルダーズ社の補修班7人が、路面の穴を埋めていた。
c201-2	数詞＋助数詞	7人	ブラウナー・ビルダーズ社の補修班7人が、路面の穴を埋めていた。
c201-2	§6の語（キー橋）	ブラウナー	ブラウナー・ビルダーズ社の補修班7人が、路面の穴を埋めていた。
c202-1	数詞＋助数詞	1本	閉じていたのは、南行きの右車線1本。
