cid	役割	文
c102	質問	本当に、抵抗したの？
c106	質問	じゃあ、やり直すつもりだったの？
c109	質問	何を追っていくの？
c113	反応	図にまで残っているんだ。
c204	質問	操縦席には、どんな人が？
c209	質問	じゃあ、機長は？
c212	まとめ	つまり、天気のせいではない。
c215	質問	いよいよ着陸？
c219	質問	何が、それを変えたの？
c304	反応	大きい板と、小さい板なんだ。
c309	質問	その欄を見れば、いつも分かるの？
c311	質問	じゃあ、押せば人が勝てるの？
c318	まとめ	つまり、人と機械が、逆を向くかもしれない作りだったんだ。
c320	質問	どうすれば、抜けられたの？
c406	質問	レバーが入ると、何が起きるの？
c411	質問	そのあと、どうなったの？
c412	まとめ	つまり、下りるはずが、水平に。
c416	質問	そもそも、なぜレバーに触れたの？
c419	質問	表示は、もとに戻ったの？
c503	質問	誰が、入れたの？
c506	まとめ	つまり、誰が入れたかは、分からないまま。
c508	質問	自動操縦は、どう動いたの？
c513	質問	機長は、何と言っていたの？
c516	まとめ	つまり、モードは変わらないまま。
c522	まとめ	つまり、機械は設計どおりに動いていたんだ。
c523	質問	自動操縦は、切らなかったの？
c602	質問	切ったのに、戻らないの？
c604	まとめ	つまり、板だけが上を向いたまま。
c605	質問	押し下げられない、って？
c609	質問	夜の操縦室で、見えたの？
c611	質問	自動操縦の間は、鳴らない作りなの？
c616	質問	機長は、どう考えていたの？
c620	質問	気づく前に、次が起きたの？
c706	まとめ	つまり、守るはずの仕組みが、裏目に出たんだ。
c710	反応	ここで、機長に代わったんだ。
c712	質問	機長は、何が起きているか、分かっていたの？
c715	質問	画面の文字は、そのまま？
c722	質問	立て直すことは、できなかったの？
c727	質問	そのとき、空港の消防は？
c803	質問	空港に、消防車は無かったの？
c809	質問	その夜、基地には、どのくらいの人がいたの？
c814	反応	足りなかったんだ。
c818	質問	病院に運ばれた人は？
c820	質問	そもそも、こういう出来事は、初めてだったの？
c904	質問	ほかの出来事は？
c908	まとめ	つまり、切れているのに、入っていると思っていた。
c913	質問	最後は？
c915	まとめ	つまり、名古屋と同じ形だ。
c923	質問	改修は、いつ出たの？
ca04	質問	この改修は、どれだったの？
ca09	まとめ	つまり、改修の順番が、来なかったんだ。
ca11	まとめ	つまり、改修が間に合っていれば。
ca13	質問	メーカーと、国の当局は？
ca16	質問	事故のあとは？
cb02	まとめ	つまり、原因はいくつもあったんだ。
cb06	質問	ほかには？
cb13	質問	裁判は、どうなったの？
cb16	まとめ	つまり、答えが割れているんだ。
cb18	質問	どうして、そこまで違うの？
cb25	質問	結局、どっちが正しいの？
cb27	反応	文字は、ずっとそこにあったんだ。
cb29	反応	防げたとしたら、どこだったんだろう。
