行	型	該当	本文
pr01-1	文頭の数字	2	2021年6月24日、午前1時22分ごろ。
pr01-1	同形異音語（一般）	日	2021年6月24日、午前1時22分ごろ。
pr01-1	数詞＋助数詞	2021年	2021年6月24日、午前1時22分ごろ。
pr01-1	数詞＋助数詞	6月	2021年6月24日、午前1時22分ごろ。
pr01-1	数詞＋助数詞	24日	2021年6月24日、午前1時22分ごろ。
pr01-1	数詞＋助数詞	1時	2021年6月24日、午前1時22分ごろ。
pr01-1	数詞＋助数詞	22分	2021年6月24日、午前1時22分ごろ。
pr01-2	§6-1の語	サーフサイド	アメリカ、フロリダ州サーフサイド。マイアミの北にある、
pr02-1	数詞＋助数詞	12階	海沿いに建つ12階建てのマンションの、およそ半分が、
pr02-2	同形異音語（一般）	人	数秒のうちに崩れ落ちた。98人が亡くなっている。
pr02-2	数詞＋助数詞	98人	数秒のうちに崩れ落ちた。98人が亡くなっている。
pr04-1	文頭の数字	3	3週間前、この建物では、ひとつの門が開かなくなっていた。
pr04-1	同形異音語（一般）	物	3週間前、この建物では、ひとつの門が開かなくなっていた。
pr04-1	数詞＋助数詞	3週間	3週間前、この建物では、ひとつの門が開かなくなっていた。
pr04-2	小数	1.2	下に沈んだ量は、1.2センチほど。それが、最初の合図である。
pr04-2	同形異音語（一般）	下	下に沈んだ量は、1.2センチほど。それが、最初の合図である。
pr04-2	数詞＋助数詞	2センチ	下に沈んだ量は、1.2センチほど。それが、最初の合図である。
pr05-1	文頭の数字	3	3週間前から数え始めているのは、こちらの都合ではない。
pr05-1	数詞＋助数詞	3週間	3週間前から数え始めているのは、こちらの都合ではない。
pr05-2	文頭の数字	5	5年をかけて調べた、アメリカの国の調査団である。
pr05-2	数詞＋助数詞	5年	5年をかけて調べた、アメリカの国の調査団である。
pr07-1	同形異音語（実績）	側	崩れたのは、建物の東側と、中央だった。
pr07-1	同形異音語（一般）	物	崩れたのは、建物の東側と、中央だった。
pr07-2	同形異音語（一般）	生	生きて助け出されたのは4人と報じられ、うち1人は病院で亡くなっている。
pr07-2	同形異音語（一般）	人	生きて助け出されたのは4人と報じられ、うち1人は病院で亡くなっている。
pr07-2	同形異音語（一般）	人	生きて助け出されたのは4人と報じられ、うち1人は病院で亡くなっている。
pr07-2	数詞＋助数詞	4人	生きて助け出されたのは4人と報じられ、うち1人は病院で亡くなっている。
pr07-2	数詞＋助数詞	1人	生きて助け出されたのは4人と報じられ、うち1人は病院で亡くなっている。
pr07-3	1モーラ語＋助詞	日に	崩れずに残った西側は、その年の7月4日に、爆破で解体されている。
pr07-3	同形異音語（実績）	側	崩れずに残った西側は、その年の7月4日に、爆破で解体されている。
pr07-3	同形異音語（一般）	日	崩れずに残った西側は、その年の7月4日に、爆破で解体されている。
pr07-3	数詞＋助数詞	7月	崩れずに残った西側は、その年の7月4日に、爆破で解体されている。
pr07-3	数詞＋助数詞	4日	崩れずに残った西側は、その年の7月4日に、爆破で解体されている。
pr08-1	§6-1の語	NIST	調べたのは、アメリカ国立標準技術研究所。NIST という。
pr08-1	英字・記号	NIST	調べたのは、アメリカ国立標準技術研究所。NIST という。
pr08-2	同形異音語（一般）	表	国が調査団を送る法律にもとづく調査で、結果の公表は、2026年6月22日。
pr08-2	同形異音語（一般）	日	国が調査団を送る法律にもとづく調査で、結果の公表は、2026年6月22日。
pr08-2	数詞＋助数詞	2026年	国が調査団を送る法律にもとづく調査で、結果の公表は、2026年6月22日。
pr08-2	数詞＋助数詞	6月	国が調査団を送る法律にもとづく調査で、結果の公表は、2026年6月22日。
pr08-2	数詞＋助数詞	22日	国が調査団を送る法律にもとづく調査で、結果の公表は、2026年6月22日。
