行	key	val	前	後	前の聞取	後の聞取
c306-2	建屋から	たてやから	0.938	0.909	手から二十五フィート離れて、毎時二点五レントゲン。放射線の当時の単位だ。	タテヤから二十五フィート離れて、毎時二点五レントゲン。放射線の当時の単位だ。
c802-2	建屋を	たてやを	0.909	1.000	運ぶ、分解する、手矢を切って埋める、残りを除染する。	運ぶ、分解する、建屋を切って埋める、残りを除染する。
c813-1	建屋は	たてやは	0.897	1.000	手は切って埋めることになった。	建屋は切って埋めることになった。
c316-2	歯棒	はぼう	0.909	0.926	棒の延長と波棒も小手でのところで曲がるか折れるかしている。	棒の延長とは、棒も空手のところで曲がるか折れるかしている。
c316-2	継手	つぎて	0.906	0.852	棒の延長と波棒も小手ところで曲がるか折れるかしている。	棒の延長と幅もついてのところで曲がるか折れるかしている。
c404-2	放出を	ほうしゅつを	0.885	0.941	凹凸を示していない。門衛上を測っても背景の値だけである。	放出を示していない。門衛上測っても背景の値だけである。
c725-1	要旨には	ようしには	0.400	0.750	用心には功あり。	凝視にはこうある。
c208-2	弁と配管	弁と 配管	0.844	0.844	伏水ポンプの改造、ベント配管の工事が行われている。	排水ポンプの改造、ベント配管の工事が行われている。
c417-1	値が出た	あたいが出た	0.905	0.829	門衛所のそばに停めた車のところでも、苗が出た	猛暑のそばに停めた車のところでも値が出た
c216-2	始動確認表	しどう確認表	0.898	0.917	五、シード確認表を通す。六、冷えた状態で棒を落としてみる。	五、指導確認表を通す。六、冷えた状態で棒を落としてみる。
c504-2	計器を	けいきを	0.829	0.829	戸口にケーキを差し出す。針は五百で振り切れた。	戸口にケーキを差し出す。針は五百で振り切れた。
c725-1	要旨には	ヨウシには	0.400	0.750	用心には功あり。	表紙にはこうある。
c208-2	復水ポンプ	ふくすいポンプ	0.844	0.844	伏水ポンプの改造、ベント配管の工事が行われている。	伏水ポンプの改造、ベント配管の工事が行われている。
c417-1	値が	あたいが	0.905	0.857	門衛所のそばに停めた車のところでも、苗が出た。	猛営所のそばに停めた車のところでも値が出た。
c316-2	継手	つぎ手	0.906	0.943	棒の延長と波棒も小手ところで曲がるか折れるかしている。	棒の延長と幅も、継手のところで曲がるか折れるかしている。
c725-1	要旨には	ようし には	0.533	1.000	用心には抗ある。	要旨にはこうある。
c725-1	要旨には	よう旨には	0.750	0.667	用事にはこうある。	世を埋めには、こうある。
c112-1	濃縮度は	のうしゅくどは	0.818	0.818	凝縮度は九十一%。試験炉らしい高い数字である。	濃縮度は91%。試験のらしい高い数字である。
c112-2	ホウ素を	ほうそを	0.909	1.000	板の側面にはホースを含んだ帯が溶接してあった。	板の側面にはホウ素を含んだ帯が溶接してあった。
c602-2	値は	あたいは	0.952	1.000	衣類を外しても、熱は目に見えて下がらなかった。	衣類を外しても値は目に見えて下がらなかった。
c816-2	埋設地を	まいせつちを	0.938	0.938	そこに新しい埋設土を掘ってあった。	そこに新しい埋設土を掘ってあった。
c912-3	条文には	じょうぶんには	0.875	0.875	事故から一年十ヶ月。この時点で、成文にはなっていない	事故から一年十ヶ月。この時点で、成文にはなっていない。
c913-1	同じ節に	同じ せつに	0.800	0.818	ただし、同じ伏せにこの事故の一番鋭い数字がある。	ただし、同じ説にこの事故の一番鋭い数字がある。
c404-2	門衛所を	もんえいしょを	0.863	0.808	放出を示していない。毛営上測っても背景の値だけである。	王室を示していない。毛炎症を測っても背景の値だけである。
