scene	decision	chosen	takes	flags	text
pr01-1	clean	2	2	take1: 途中に浮いた音: 190ms（2.79秒地点・振幅12959＝本文の1.6倍／前150ms・後630ms の無音） || take2: clean	2021年6月24日、午前1時22分ごろ。
pr04-2	unsure	1	3	take1: 途中に浮いた音: 130ms（1.45秒地点・振幅23544＝本文の2.9倍／前210ms・後110ms の無音） || take2: 途中に浮いた音: 110ms（1.73秒地点・振幅15482＝本文の2.2倍／前210ms・後190ms の無音） || take3: 途中に浮いた音: 120ms（1.46秒地点・振幅20953＝本文の2.8倍／前200ms・後150ms の無音）	下に沈んだ量は、1.2センチほど。それが、最初の合図である。
pr07-1	unsure	1	3	take1: 末尾に余計な音: 110ms の無音 → 140ms の音（3.91秒地点・振幅8754＝本文の1.0倍） || take2: 末尾に余計な音: 110ms の無音 → 190ms の音（3.83秒地点・振幅9780＝本文の1.0倍） || take3: 末尾に余計な音: 100ms の無音 → 140ms の音（3.54秒地点・振幅10197＝本文の0.9倍）	崩れたのは、建物の東側と、中央だった。
pr08-2	clean	3	3	take1: 途中に浮いた音: 150ms（3.39秒地点・振幅19054＝本文の1.8倍／前140ms・後100ms の無音） || take2: 途中に浮いた音: 170ms（3.76秒地点・振幅18237＝本文の2.3倍／前170ms・後100ms の無音） || take3: clean	国が調査団を送る法律にもとづく調査で、結果の公表は、2026年6月22日。
c105-2	clean	3	3	take1: 末尾に余計な音: 90ms の無音 → 170ms の音（4.47秒地点・振幅12196＝本文の1.2倍） || take2: 末尾に余計な音: 110ms の無音 → 110ms の音（4.05秒地点・振幅10047＝本文の1.1倍） || take3: clean	コンクリートの板を一枚はさんで、車の停まっている空間だった。
c109-1	clean	3	3	take1: 末尾に余計な音: 80ms の無音 → 160ms の音（3.81秒地点・振幅9711＝本文の0.9倍） || take2: 末尾に余計な音: 180ms の無音 → 230ms の音（4.40秒地点・振幅12596＝本文の0.9倍） || take3: clean	プールデッキと、街路側の駐車場のあいだには、門があった。
c114-1	unsure	1	3	take1: 途中に浮いた音: 130ms（0.99秒地点・振幅18443＝本文の1.8倍／前110ms・後120ms の無音） || take2: 途中に浮いた音: 120ms（1.07秒地点・振幅11173＝本文の1.3倍／前170ms・後130ms の無音） || take3: 途中に浮いた音: 120ms（0.94秒地点・振幅16136＝本文の2.0倍／前110ms・後160ms の無音）	逆にいえば、1.2センチは、人が見て気づく量ではない。
c116-1	clean	2	2	take1: 途中に浮いた音: 200ms（1.11秒地点・振幅11514＝本文の1.5倍／前80ms・後270ms の無音） || take2: clean	場所は、Kと13.1という記号で呼ばれる柱のそば。
c123-2	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 140ms の音（4.90秒地点・振幅14077＝本文の1.6倍） || take2: clean	しかもこの2.5センチは、いちど直したあとに測られた数字だった。
c125-1	clean	2	2	take1: 途中に浮いた音: 160ms（0.91秒地点・振幅17262＝本文の2.0倍／前80ms・後150ms の無音） || take2: clean	直せば、いったんは戻る。戻ったあと、また下がる。
c128-2	clean	2	2	take1: 先頭に余計な音: 180ms の音（振幅24980＝本文の2.5倍）のあと 120ms の無音 || take2: clean	といっても、天井から滴り落ちてくる水ではない。
c131-2	clean	2	2	take1: 途中に浮いた音: 190ms（0.91秒地点・振幅25155＝本文の2.5倍／前170ms・後90ms の無音） || take2: clean	柱を伝って水が流れ落ちた。
c208-1	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 110ms の音（4.53秒地点・振幅9965＝本文の1.0倍） || take2: clean	3週間前に異変が見えたところと、ほとんど同じ場所だった。
c114-1	unsure	1	3	take1: 途中に浮いた音: 120ms（0.97秒地点・振幅18833＝本文の1.8倍／前130ms・後200ms の無音） || take2: 途中に浮いた音: 130ms（0.99秒地点・振幅24596＝本文の2.3倍／前150ms・後180ms の無音） || take3: 途中に浮いた音: 100ms（0.90秒地点・振幅13253＝本文の1.4倍／前140ms・後150ms の無音）	逆にいえば、いってんにセンチは、人が見て気づく量ではない。
c231-2	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 250ms の音（3.43秒地点・振幅8366＝本文の0.9倍） || take2: clean	平らだったはずの床が、浅い皿のような形になっている。
c310-2	clean	2	2	take1: 途中に浮いた音: 150ms（2.80秒地点・振幅26997＝本文の3.7倍／前120ms・後110ms の無音） || take2: clean	柱のほうは、床を突き抜けた形で、立ったまま残る。
c312-1	clean	2	2	take1: 途中に浮いた音: 190ms（1.49秒地点・振幅27087＝本文の3.4倍／前120ms・後100ms の無音） || take2: clean	この壊れ方には、やっかいな性質がある。
c316-2	unsure	1	3	take1: 末尾に余計な音: 120ms の無音 → 170ms の音（2.07秒地点・振幅9090＝本文の1.2倍） || take2: 末尾に余計な音: 110ms の無音 → 120ms の音（2.11秒地点・振幅9351＝本文の0.9倍） || take3: 末尾に余計な音: 130ms の無音 → 160ms の音（2.11秒地点・振幅14830＝本文の1.7倍）	場所は、プールデッキの下だった。
c317-2	real	1	3	take1: 途中に浮いた音: 150ms（2.40秒地点・振幅15466＝本文の1.9倍／前130ms・後90ms の無音） || take2: 途中に浮いた音: 140ms（2.47秒地点・振幅23827＝本文の2.8倍／前180ms・後100ms の無音） || take3: 途中に浮いた音: 160ms（2.67秒地点・振幅23493＝本文の2.8倍／前300ms・後150ms の無音）	何十本と立っている柱のうちの、たった2本である。
c322-2	unsure	1	3	take1: 末尾に余計な音: 110ms の無音 → 140ms の音（5.38秒地点・振幅14650＝本文の1.9倍） || take2: 末尾に余計な音: 110ms の無音 → 140ms の音（5.81秒地点・振幅10725＝本文の1.1倍） || take3: 末尾に余計な音: 150ms の無音 → 190ms の音（5.41秒地点・振幅8981＝本文の1.0倍）	崩れた建物の柱と梁と床を、同じ寸法、同じ配筋で作った。
c326-1	clean	3	3	take1: 先頭に余計な音: 170ms の音（振幅29595＝本文の3.6倍）のあと 80ms の無音 || take2: 先頭に余計な音: 50ms の音（振幅16393＝本文の1.7倍）のあと 110ms の無音 || take3: clean	鉄筋も同じである。瓦礫から取り出した鉄筋を実際に引っぱり、
