scene	decision	chosen	takes	flags	text
pr01-2	unsure	1	3	take1: 末尾に余計な音: 120ms の無音 → 250ms の音（3.11秒地点・振幅17721＝本文の1.9倍） || take2: 末尾に余計な音: 130ms の無音 → 170ms の音（2.95秒地点・振幅17054＝本文の1.7倍） || take3: 末尾に余計な音: 120ms の無音 → 130ms の音（3.07秒地点・振幅17907＝本文の1.9倍）	砂漠にある試験場で、火災報知器が鳴った。
pr02-1	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 160ms の音（5.28秒地点・振幅17956＝本文の2.0倍） || take2: clean	信号は8マイル先の消防署に届き、6人が消防車で向かった。
pr03-2	clean	2	2	take1: 途中に浮いた音: 230ms（2.55秒地点・振幅10590＝本文の1.1倍／前120ms・後490ms の無音） || take2: clean	警報から1時間44分後だった。中では、原子炉が壊れていた。
pr09-2	real	1	3	take1: 末尾に余計な音: 140ms の無音 → 220ms の音（3.38秒地点・振幅11827＝本文の1.2倍） || take2: 末尾に余計な音: 130ms の無音 → 190ms の音（3.01秒地点・振幅8393＝本文の1.2倍） || take3: 末尾に余計な音: 130ms の無音 → 200ms の音（3.16秒地点・振幅6309＝本文の1.0倍）	床の上で動いている、1人の姿だった。
c101-1	clean	2	2	take1: 末尾に余計な音: 200ms の無音 → 140ms の音（5.06秒地点・振幅8931＝本文の1.1倍）; 途中に浮いた音: 130ms（4.73秒地点・振幅27864＝本文の3.3倍／前120ms・後200ms の無音） || take2: clean	この炉には、事故の前から、分かっていないことが1つあった。
c107-2	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 150ms の音（3.21秒地点・振幅21251＝本文の1.8倍） || take2: clean	建設は、1957年に始まった。
c109-1	clean	3	3	take1: 末尾に余計な音: 110ms の無音 → 160ms の音（5.68秒地点・振幅7698＝本文の1.0倍） || take2: 末尾に余計な音: 80ms の無音 → 220ms の音（4.97秒地点・振幅12124＝本文の1.3倍） || take3: clean	出力は、熱で3000キロワット。取り出す電気は300キロワット、
c111-1	unsure	1	3	take1: 途中に浮いた音: 110ms（3.61秒地点・振幅17947＝本文の1.9倍／前470ms・後150ms の無音） || take2: 末尾に余計な音: 90ms の無音 → 220ms の音（6.66秒地点・振幅26582＝本文の2.3倍） || take3: 途中に浮いた音: 130ms（3.50秒地点・振幅18427＝本文の1.7倍／前640ms・後90ms の無音）	その中に、燃料が40体入っている。1体は9枚の板の束で、
c112-2	clean	2	2	take1: 末尾に余計な音: 130ms の無音 → 160ms の音（3.68秒地点・振幅14741＝本文の1.5倍） || take2: clean	板の側面には、ホウ素を含んだ帯が溶接してあった。
c116-2	real	1	3	take1: 先頭に余計な音: 120ms の音（振幅17102＝本文の1.6倍）のあと 120ms の無音 || take2: 先頭に余計な音: 110ms の音（振幅18949＝本文の1.6倍）のあと 100ms の無音 || take3: 先頭に余計な音: 120ms の音（振幅20595＝本文の2.0倍）のあと 90ms の無音	1本の重さは、およそ22キログラム。
