scene	decision	chosen	takes	flags	text
pr04-3	unsure	2	3	take1: 末尾に余計な音: 100ms の無音 → 140ms の音（2.34秒地点・振幅9311＝本文の1.2倍）; 途中に浮いた音: 160ms（1.12秒地点・振幅25858＝本文の3.2倍／前270ms・後90ms の無音） || take2: 途中に浮いた音: 130ms（1.06秒地点・振幅22931＝本文の2.7倍／前170ms・後120ms の無音） || take3: 末尾に余計な音: 120ms の無音 → 150ms の音（2.57秒地点・振幅14653＝本文の1.7倍）; 途中に浮いた音: 140ms（1.17秒地点・振幅28469＝本文の3.3倍／前270ms・後100ms の無音）	衝突まで、1分16秒あった
pr05-1	clean	2	2	take1: 途中に浮いた音: 150ms（1.67秒地点・振幅24133＝本文の2.3倍／前100ms・後160ms の無音） || take2: clean	調べたのは、アメリカの国家運輸安全委員会。略称エヌティーエスビー。
pr06-1	unsure	1	3	take1: 途中に浮いた音: 140ms（2.98秒地点・振幅17019＝本文の1.7倍／前120ms・後120ms の無音） || take2: 途中に浮いた音: 210ms（2.67秒地点・振幅20675＝本文の2.0倍／前150ms・後210ms の無音）; 途中に浮いた音: 160ms（3.09秒地点・振幅20655＝本文の2.0倍／前210ms・後150ms の無音） || take3: 途中に浮いた音: 120ms（3.04秒地点・振幅15466＝本文の1.4倍／前160ms・後160ms の無音）	原因は、船の配電盤の中にあった一本の信号線だった。
pr07-1	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 150ms の音（4.73秒地点・振幅14028＝本文の1.5倍） || take2: clean	線が外れて停電が起き、船は推進と操舵を同時に失った。
pr10-2	unsure	1	3	take1: 途中に浮いた音: 240ms（4.19秒地点・振幅9218＝本文の1.0倍／前80ms・後950ms の無音） || take2: 途中に浮いた音: 220ms（4.16秒地点・振幅22422＝本文の2.6倍／前110ms・後840ms の無音） || take3: 末尾に余計な音: 100ms の無音 → 140ms の音（6.18秒地点・振幅11083＝本文の1.3倍）	橋の設計指針が許容している線のおよそ30倍だった。誰も計算していなかった。
c102-2	unsure	1	3	take1: 末尾に余計な音: 150ms の無音 → 240ms の音（3.67秒地点・振幅10009＝本文の1.0倍） || take2: 末尾に余計な音: 130ms の無音 → 240ms の音（3.60秒地点・振幅11526＝本文の1.0倍）; 途中に浮いた音: 160ms（2.69秒地点・振幅17369＝本文の1.6倍／前90ms・後110ms の無音） || take3: 途中に浮いた音: 170ms（2.87秒地点・振幅15389＝本文の1.6倍／前150ms・後180ms の無音）	崩れたのは、その47年と3日あとだった。
c104-2	unsure	1	3	take1: 末尾に余計な音: 120ms の無音 → 160ms の音（5.76秒地点・振幅18215＝本文の1.5倍） || take2: 末尾に余計な音: 100ms の無音 → 190ms の音（5.65秒地点・振幅9925＝本文の1.0倍） || take3: 末尾に余計な音: 120ms の無音 → 160ms の音（5.75秒地点・振幅11777＝本文の1.1倍）	主航路の上の桁下は185フィート、およそ56メートルあった。
c106-2	unsure	1	3	take1: 末尾に余計な音: 130ms の無音 → 120ms の音（2.12秒地点・振幅20797＝本文の2.4倍） || take2: 末尾に余計な音: 130ms の無音 → 240ms の音（2.24秒地点・振幅9517＝本文の1.2倍）; 途中に浮いた音: 200ms（1.91秒地点・振幅14133＝本文の1.8倍／前80ms・後130ms の無音） || take3: 途中に浮いた音: 220ms（1.62秒地点・振幅15025＝本文の1.6倍／前90ms・後120ms の無音）	そのうち1割がトラックだった。
c107-2	clean	3	3	take1: 末尾に余計な音: 110ms の無音 → 230ms の音（4.17秒地点・振幅8845＝本文の1.1倍） || take2: 途中に浮いた音: 210ms（2.92秒地点・振幅22471＝本文の2.4倍／前130ms・後290ms の無音） || take3: clean	だからこの橋は、その種類の車にとって、主な道だった。
c110-3	unsure	1	3	take1: 先頭に余計な音: 160ms の音（振幅19397＝本文の2.3倍）のあと 100ms の無音 || take2: 先頭に余計な音: 150ms の音（振幅24708＝本文の3.4倍）のあと 100ms の無音 || take3: 先頭に余計な音: 120ms の音（振幅26286＝本文の3.4倍）のあと 100ms の無音	1本が壊れれば、橋は落ちかねない
c202-1	unsure	1	3	take1: 末尾に余計な音: 180ms の無音 → 170ms の音（3.10秒地点・振幅12761＝本文の1.2倍） || take2: 末尾に余計な音: 140ms の無音 → 190ms の音（3.08秒地点・振幅21824＝本文の2.2倍）; 途中に浮いた音: 150ms（2.79秒地点・振幅22607＝本文の2.3倍／前110ms・後140ms の無音） || take3: 末尾に余計な音: 140ms の無音 → 230ms の音（2.97秒地点・振幅19301＝本文の1.9倍）	閉じていたのは、南行きの右車線1本。
c205-1	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 140ms の音（3.42秒地点・振幅16091＝本文の1.5倍） || take2: clean	ただし、それは個人どうしの番号の交換だった。
