行	key	val	判定	狙った音	巻き添えの疑い	前の聞取	後の聞取
ep09-2	十分に離す	ジュウブンに離す	見送り（もともと正しい）	ジュウブンニハナス		ATCの許可と離陸の許可を時間で十分に離すこと。	ATCの許可と離陸の許可を時間で十分に話すこと。
c213-1	駐機場に入れなかった	駐機場にハイレなかった	効かなかった	チュウキジョオニハイレナカッタ		KLM機は駐機場に入れなかった。止められたのは誘導路である。	KLM機は駐機場に入れなかった。止められたのは誘導路である。
c303-3	反対から入れば	反対からハイレバ	見送り（もともと正しい）	ハンタイカラハイレバ		反対から入れば三百度。だから同じ一本を十二とも三十とも呼ぶ。	反対から入れば三百度。だから同じ一本を十二とも三十とも呼ぶ。
c512-1	同じ表には	同じヒョウには	見送り（もともと正しい）	オナジヒョオニハ		同じ表には雲の量も書かれている。	同じ表には雲の量も書かれている。
c720-2	短い間があって	短いマがあって	見送り（もともと正しい）	ミジカイマガアッテ		短い間があって、次の言葉が続く。これな、止めるための言葉だった。	短い間があって次の言葉が続く。これが止めるための言葉だった。
c506-1	気象の値	気象のアタイ	効かなかった	キショオノアタイ		空港は決まった時刻に気象の値を出している。	空港は決まった時刻に気象の値を出している。
c517-1	この値は	このアタイは	採用	コノアタイハ		ロスロデオス空港ではこの名題は出されない。	ロスロデオス空港ではこの値は出されない。
c725-2	離陸の値で	離陸のアタイで	効かなかった	リリクノアタイデ		KLMの出力は十七時六分十九秒にもう離陸の値で落ち着いていた。	KLMの出力は十七時六分十九秒にもう離陸の値で落ち着いていた。
c501-1	一節を割いている	イッセツを サイている	見送り（もともと正しい）	イッセツヲサイテエル		テネリフェの天気は普通の空港とは違う。報告書は一節を割いている。	テネリフェの天気は普通の空港とは違う。報告書は一節を割いている。
c915-3	床が抜け	ユカが抜け	見送り（もともと正しい）	ユカガヌケ		床が抜け、乗員は下の階へ降りるしかなかった。	床が抜け、乗員は下の階へ降りるしかなかった。
c916-1	壁に開いた穴	壁にあいた穴	効かなかった	カベニアイタアナ		出口は左の壁に開いた穴だった。前の方の人はそこから外へ出た。	出口は左の壁に開いた穴だった。前の方の人はそこから外へ出た。
c912-1	落ちた破片	落ちたハヘン	見送り（もともと正しい）	オチタハヘン		部品ではなかった。落ちた破片でもなかった。	部品ではなかった。落ちた破片でもなかった。
c418-1	行った先で	いった先で	見送り（もともと正しい）	イッタサキデ		危なければラスパルマスへ電報を送る。つまり行った先で知らせる。	危なければラス・パルマスへ電報を送る。つまり行った先で知らせる。
c613-2	端まで行って	端までいって	見送り（もともと正しい）	ハジマデエッテ		まっすぐ端まで行ってそこで向きを変えよう。ようやく了解が返る。	まっすぐ端まで行って、そこで向きを変えよう。ようやく了解が返る。
c715-3	している最中に	しているサイチュウに	見送り（もともと正しい）	シテエルサイチュウニ		副操縦士がまだ復唱している最中に、機長は出力を入れた。	副操縦士がまだ復唱している最中に、機長は出力を入れた。
c508-2	くる側も	くる がわも	見送り（もともと正しい）	クルガワモ		この頃には侵入してくる側も同じくらいまで下がっている。	この頃には侵入してくる側も同じくらいまで下がっている。
c510-2	進入の側は	進入の がわは	見送り（もともと正しい）	シンニュウノガワハ		侵入の側は五百メートルで、時々五キロに戻る。	侵入の側は五百メートルで、時々五キロに戻る。
pr01-2	テネリフェ島	テネリフェとう	見送り（もともと正しい）	テネリフェトオ		テネリフェ島にある空港の滑走路は雲の中にあった。	テネリフェ島にある空港の滑走路は雲の中にあった。
pr08-1	テネリフェ島	テネリフェとう	見送り（もともと正しい）	テネリフェトオ		空港は閉められ、行き場を失った便は隣のテネリフェ島へ回された。	空港は閉められ、行き場を失った便は隣のテネリフェ島へ回された。
c207-1	テネリフェ島	テネリフェとう	見送り（もともと正しい）	テネリフェトオ	マワ→トバ／—→ウ	回された先がテネリフェ島のロスロデオス空港である。	飛ばされた先がテネリフェとウーのロスロデオス空港である。
c301-1	テネリフェ島	テネリフェとう	見送り（もともと正しい）	テネリフェトオ		ロスロデオス空港はテネリフェ島の北側にある	ロスロデオス空港はテネリフェ島の北側にある。
pr07-1	グランカナリア島	グランカナリアとう	見送り（もともと正しい）	グランカナリアトオ		行き先はグランカナリア島のラスパルマス空港である。	行き先はグランカナリア島のラスパルマス空港である。
c201-1	グランカナリア島	グランカナリアとう	見送り（もともと正しい）	グランカナリアトオ		行き先のラス・パルマス空港は隣のグラン・カナリア島にある。	行き先のラスパルマス空港は隣のグランカナリア島にある。
c511-1	10分の1	ジュウブンのイチ	採用	ジュウブンノイチ	キロ→—／メエトル→—	二十六分の間に三キロが三百メートルになった。十分の一である。	26分の間に3kmが300mになった。10分の1である。
c512-2	8分の1から8分の7	ハチブンのイチからハチブンのナナ	効かなかった	ハチブンノイチカラハチブンノナナ		高さゼロメートル。つまり地面についた雲は八分の一から八分の七へ増えた。	高さゼロメートル、つまり地面についた雲は八分の一から八分の七へ増えた。
c319-2	管制官	かんせいかん	見送り（もともと正しい）	カンセエカン		だから管制官は走る機体をできるだけ早く滑走路から出したい。	だから管制官は、走る機体をできるだけ早く滑走路から出したい。
c518-1	管制官	かんせいかん	見送り（もともと正しい）	カンセエカン		では誰が決めていたか。管制官である。	では誰が決めていたか。管制官である。
c518-2	管制官	かんせいかん	見送り（もともと正しい）	カンセエカン		走路の端が見えている時は管制官が自分の目で見て伝えていた	走路の端が見えている時は管制官が自分の目で見て伝えていた。
