行	所見	本文
pr01-1	途中に 930ms の無音（4.46秒地点）	2024年3月26日、午前1時29分。メリーランド州ボルチモア。
pr02-1	途中に 850ms の無音（2.16秒地点）	橋の上には、8人がいた。道路の穴を埋めていた補修班が7人。
pr03-1	末尾に余計な音: 110ms の無音 → 120ms の音（5.64秒地点・振幅12329＝本文の1.5倍）	6人が亡くなった。1人が重傷を負って生き延び、点検員は無事だった。
pr03-1	途中に浮いた音: 230ms（0.99秒地点・振幅25741＝本文の3.1倍／前110ms・後670ms の無音）	6人が亡くなった。1人が重傷を負って生き延び、点検員は無事だった。
pr04-3	途中に浮いた音: 130ms（1.00秒地点・振幅22917＝本文の2.6倍／前150ms・後100ms の無音）	衝突まで、1分16秒あった
pr06-1	途中に浮いた音: 150ms（2.83秒地点・振幅17009＝本文の1.7倍／前100ms・後110ms の無音）	原因は、船の配電盤の中にあった一本の信号線だった。
pr06-2	末尾に余計な音: 120ms の無音 → 100ms の音（3.56秒地点・振幅7813＝本文の1.0倍）	その線が、端子台に奥まで入っていなかった。
pr10-2	途中に 880ms の無音（4.23秒地点）	橋の設計指針が許容している線のおよそ30倍だった。誰も計算していなかった。
pr12-1	途中に浮いた音: 250ms（3.36秒地点・振幅19817＝本文の2.2倍／前110ms・後150ms の無音）	これは、その4分9秒と、届かなかった1分16秒の記録である。
c101-1	途中に 920ms の無音（1.93秒地点）	フランシス・スコット・キー橋。ボルチモアの港の出口を跨いでいた。
c102-2	途中に浮いた音: 170ms（2.99秒地点・振幅19802＝本文の1.9倍／前170ms・後160ms の無音）	崩れたのは、その47年と3日あとだった。
c102-2	途中に浮いた音: 210ms（3.32秒地点・振幅22698＝本文の2.2倍／前160ms・後150ms の無音）	崩れたのは、その47年と3日あとだった。
c106-2	末尾に余計な音: 120ms の無音 → 130ms の音（2.02秒地点・振幅20765＝本文の2.2倍）	そのうち1割がトラックだった。
c108-1	途中に 700ms の無音（4.48秒地点）	両端の橋台、土手の側で橋を受ける台が2基。橋脚が36基。
c113-1	途中に浮いた音: 230ms（1.76秒地点・振幅10549＝本文の1.2倍／前160ms・後750ms の無音）	橋脚には備えがあった。橋が開いた1977年から、
c113-1	途中に 750ms の無音（1.99秒地点）	橋脚には備えがあった。橋が開いた1977年から、
c115-1	末尾に余計な音: 90ms の無音 → 140ms の音（4.43秒地点・振幅13785＝本文の1.6倍）	ただし、設計に使われたのは1969年の基準だった。
c202-1	末尾に余計な音: 160ms の無音 → 180ms の音（2.94秒地点・振幅12741＝本文の1.2倍）	閉じていたのは、南行きの右車線1本。
