行	扱い	理由
pr02-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr02-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『号は、9時00分18秒→号は、クジ ゼロフン ジュウハチビョウ』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
pr04-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr05-2	一致率だけが低い（読みは一致）	一致率 95%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
pr06-1	一致率だけが低い（読みは一致）	一致率 92%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
pr06-2	一致率だけが低い（読みは一致）	一致率 85%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
pr10-1	要耳	「乗員の最期の…」が『**上院**の最期の…』。**乗員も上院も ジョウイン で読みは同じ**。NASA と議会が出てくる回なので、耳だけだと取り違える恐れ（字幕は出る）
pr10-2	一致率だけが低い（読みは一致）	一致率 92%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
pr12-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c103-3	一致率だけが低い（読みは一致）	一致率 98%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c104-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c105-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c106-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c106-2	一致率だけが低い（読みは一致）	一致率 96%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c108-2	一致率だけが低い（読みは一致）	一致率 93%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c109-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『オービタの先→オービタ の先』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c110-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c111-1	一致率だけが低い（読みは一致）	一致率 93%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c111-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『強化炭素→きょうか炭素』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c112-1	数は漢数字で出ただけ（表記のゆれ）	聞取に漢数字で同じ数が出ている（照合が拾えないのは桁区切りのカンマ）: ['1', '500']
c113-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『0.008ジュール→れいてんれいれいはちジュール／その値は→その あたいは』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c114-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c115-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c118-1	一致率だけが低い（読みは一致）	一致率 94%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c201-1	Scribe の揺れ（2周のうち片方だけ）	同じ音（キャッシュの pcm）を2周起こして 94% → 100%。**音は1バイトも触っていない**＝2周とも崩れたものだけ直す規則により、直さない
c201-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c201-3	一致率だけが低い（読みは一致）	一致率 99%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c203-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c204-1	要耳	異音の門番が unsure（3テイクとも末尾に音）。語の時刻に当てると『入|っ|た』＝**促音に重なる本物の語**と確定したが、テイクごとに形が違ったので念のため
c205-1	一致率だけが低い（読みは一致）	一致率 98%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c206-1	一致率だけが低い（読みは一致）	一致率 80%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c206-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『高度は約→こうどは約』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c207-2	Scribe の揺れ（2周のうち片方だけ）	同じ音（キャッシュの pcm）を2周起こして 92% → 100%。**音は1バイトも触っていない**＝2周とも崩れたものだけ直す規則により、直さない
c207-3	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『差の分だけ→さの分だけ』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c208-1	一致率だけが低い（読みは一致）	一致率 90%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c208-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『RCCの板でいえば→アールシーシーの板でいえば』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c209-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『〜→から』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c209-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c210-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『〜→から』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c212-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c212-2	要耳	「離陸から」が『陸から』＝**頭の1字が落ちる**。かな『りりく』は『リリック』・空白版『りりく から』も『リリク』で直らなかった（A/B 2通り）。字幕は出る
c214-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『予算とカメラ→よさんとカメラ』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c214-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『上がっていく→あがっていく』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c216-1	一致率だけが低い（読みは一致）	一致率 86%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c216-2	一致率だけが低い（読みは一致）	一致率 92%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c218-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c220-2	要耳	「約48×30センチ」の **×**。聞取は『四十八かける三十』＝音は取れているが、台本でこの行だけ寸法が記号（他は「長さ約61センチ、幅約38センチ」と言葉書き）
c304-1	一致率だけが低い（読みは一致）	一致率 76%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c305-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『2台の映像→ニダイの映像』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c306-1	一致率だけが低い（読みは一致）	一致率 92%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c307-1	一致率だけが低い（読みは一致）	一致率 96%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
