場面	一致率	送った文	聞こえた文	送信文
pr01-1	1.000	1961年1月3日の午後9時1分。アメリカ、アイダホ州。	1961年1月3日の午後9時1分、アメリカアイダホ州	1961年1月3日の午後9時1分。アメリカ、アイダホ州。
pr01-2	0.944	砂漠にある試験場で、火災報知器が鳴った。	砂漠にある試験場で火災報知機が鳴った	砂漠にある試験場で、火災報知器が鳴った。
pr02-1	1.000	信号は8マイル先の消防署に届き、6人が消防車で向かった。	信号は八マイル先の消防署に届き、六人が消防車で向かった。	信号は8マイル先の消防署に届き、6人が消防車で向かった。
pr02-2	1.000	ここまでは、ありふれた火災の一件である。	ここまではありふれた火災の一件である。	ここまでは、ありふれた火災の一件である。
pr03-1	1.000	火は出ていなかった。隊員が建物の奥へ入れたのは、	火は出ていなかった。隊員が建物の奥へ入れたのは	火は出ていなかった。隊員が建物の奥へ入れたのは、
pr03-2	1.000	警報から1時間44分後だった。中では、原子炉が壊れていた。	警報から一時間四十四分後だった。中では原子炉が壊れていた。	警報から1時間44分後だった。中では、原子炉が壊れていた。
pr04-1	0.880	事故のあと、アイダホ支所が208ページの報告書を出した。	事故の後、アイダホ支署が二百八ページの報告書を出した	事故のあと、アイダホ支所が208ページの報告書を出した。
pr04-2	1.000	その前書きには、こう書いてある。	その前書きにはこう書いてある。	その前書きには、こう書いてある。
pr04-3	1.000	原因は、この報告書では決めない	原因はこの報告書では決めない。	原因は、この報告書では決めない
pr05-1	1.000	原因を調べたのは、別に置かれた調査委員会である。	原因を調べたのは別に置かれた調査委員会である。	原因を調べたのは、別に置かれた調査委員会である。
pr05-2	0.909	ではこの208ページは何を書いたのか。事故のあと、	では、この二百八ページは何を書いたのか。事故の後	ではこの208ページは何を書いたのか。事故のあと、
pr05-3	1.000	人が何をしたかである。	人が何をしたかである。	人が何をしたかである。
pr06-1	1.000	亡くなったのは、当直の3人。	亡くなったのは当直の三人。	亡くなったのは、当直の3人。
pr06-2	1.000	全員が、軍から来ていた運転員である。	全員が軍から来ていた運転員である。	全員が、軍から来ていた運転員である。
pr07-1	1.000	その日の午後4時、3人の当直が日勤と交代している。	その日の午後四時、三人の当直が日勤と交代している。	その日の午後4時、3人の当直が日勤と交代している。
pr07-2	0.920	運転日誌の最後の書き込みは、午後5時半から9時のあいだ。	運転日誌の最後の書き込みは午後五時半から九時の間	運転日誌の最後の書き込みは、午後5時半から9時のあいだ。
pr08-1	0.962	「炉の水槽を汲み、水位計が目盛りに入った。プラス5フィート。	炉の水槽を組み、水位計が目盛りに入った。プラス五フィート。	「炉の水槽を汲み、水位計が目盛りに入った。プラス5フィート。
pr08-2	0.962	全部の棒に、栓と筒などを戻している最中」。作業の途中だった。	全部の棒に線と筒などを戻している最中、作業の途中だった。	全部の棒に、栓と筒などを戻している最中」。作業の途中だった。
pr09-1	0.960	1時間44分後。ようやく運転階に入った2人が見たのは、	一時間四十四分後、ようやく運転会に入った二人が見たのは	1時間44分後。ようやく運転階に入った2人が見たのは、
pr09-2	1.000	床の上で動いている、1人の姿だった。	床の上で動いている一人の姿だった。	床の上で動いている、1人の姿だった。
pr10-1	1.000	3人目は、建物の中から降ろせなかった。	三人目は建物の中から降ろせなかった。	3人目は、建物の中から降ろせなかった。
pr10-2	0.958	降ろせたのは、6日後の1月9日、午前0時45分である。	降ろせたのは六日後の一月九日午前零時四十五分である。	降ろせたのは、6日後の1月9日、午前0時45分である。
pr11-1	0.927	これは、その6日間と、そのあと1年の記録である。	これはその六日間とその後一年の記録である。	これは、その6日間と、そのあと1年の記録である。
pr11-2	0.917	分かっていないことは、分かっていないと言って終わる。	わかっていないことはわかっていないと言って終わる。	分かっていないことは、分かっていないと言って終わる。
c101-1	0.962	この炉には、事故の前から、分かっていないことが1つあった。	この炉には事故の前からわかっていないことが一つあった。	この炉には、事故の前から、分かっていないことが1つあった。
c101-2	0.873	名前は SL-1。定置式・低出力の原子炉、1号機という意味である。	名前はSL1。低知識低出力の原子炉一号機という意味である。	名前は SL-1。定置式・低出力の原子炉、1号機という意味である。
c102-1	1.000	設計はアルゴンヌ国立研究所。置かれたのは、	設計はアルゴンヌ国立研究所。置かれたのは	設計はアルゴンヌ国立研究所。置かれたのは、
c102-2	1.000	アイダホ州の国立原子炉試験場。当時、いくつもの試験炉が並んでいた。	アイダホ州の国立原子炉試験場。当時、いくつもの試験炉が並んでいた	アイダホ州の国立原子炉試験場。当時、いくつもの試験炉が並んでいた。
c103-1	1.000	何のための炉か。報告書はこう書いている。	何のための炉か。報告書はこう書いている。	何のための炉か。報告書はこう書いている。
