行	扱い	理由
pr01-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件
pr01-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr02-1	表記のゆれ（音は正しいと実測）	補修班＝聞取『保守班／保守派』だが el_probe_words の実測 0.681秒 ≒5.7モーラ＝ほしゅうはん（5）で ほしゅはん（4）でない
pr02-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr03-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr03-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr04-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr04-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr04-3	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr05-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr06-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr06-2	表記のゆれ（音は正しいと実測）	端子台＝A/B で『たんし台』にして 唐時代（とうじだい）→ 端次第（たんしだい）＝読みは直った
pr07-1	表記のゆれ（音は正しいと実測）	操舵＝聞取『ソーダ／SODA』＝そうだ（同じ読み）。A/B でかなにすると『そうだ、ポンプ』と間が入って悪化
pr07-2	表記のゆれ（音は正しいと実測）	橋まで＝聞取『端まで』＝はし（同じ読み）／橋までは＝聞取『端までは』＝はし（同じ読み）
pr08-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr08-2	表記のゆれ（音は正しいと実測）	船首＝聞取『選手』＝せんしゅ（同じ読み）
pr09-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr09-2	表記のゆれ（音は正しいと実測）	外航船＝聞取『外交船』＝がいこうせん（同じ読み）。EL_YOMI『がいこう船』で送っている
pr10-2	表記のゆれ（音は正しいと実測）	指針＝EL_YOMI『ししん』で送っている＝音は決まっている。聞取『地震』は Scribe の字（c815-1 では『指針』と出た）
pr11-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr11-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr12-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
pr12-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c101-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c101-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c102-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c102-2	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件
c103-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c104-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c104-2	表記のゆれ（音は正しいと実測）	航路＝聞取『坑道』だが el_probe_words の実測 0.280秒 ≒2.6モーラ＝こうろ（3）で こうどう（4）でない
c105-1	表記のゆれ（音は正しいと実測）	航路＝聞取『坑道』だが el_probe_words の実測 0.280秒 ≒2.6モーラ＝こうろ（3）で こうどう（4）でない
c105-2	表記のゆれ（音は正しいと実測）	航路＝聞取『坑道』だが el_probe_words の実測 0.280秒 ≒2.6モーラ＝こうろ（3）で こうどう（4）でない／外航船＝聞取『外交船』＝がいこうせん（同じ読み）。EL_YOMI『がいこう船』で送っている
c106-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c106-2	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c107-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c107-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c108-1	要耳（機械で決着せず）	文頭『両端（りょうたん）』が聞取『両橋』。A/B でかな化すると『ビョータン』でさらに悪化＝直す手が無い
c108-2	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）／あいだ＝聞取『間』＝表記のゆれ
c108-3	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）／航路＝聞取『坑道』だが el_probe_words の実測 0.280秒 ≒2.6モーラ＝こうろ（3）で こうどう（4）でない
c109-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c109-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c110-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c110-3	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
