行	key	val	前	後	前の聞取	後の聞取
c305-1	水先人	みずさき人	0.878	0.950	土肥川人はその水域を知っている案内役である。	水崎人はその水域を知っている案内役である。
c213-1	点検員	てんけん員	0.786	1.000	弁慶院は橋を歩いて渡っていた。	点検員は橋を歩いて渡っていた。
c208-1	補修班	ほしゅう班	0.913	0.913	州交通局と保守班の会社の契約にはこう書いてある。	州交通局と保守班の会社の契約にはこう書いてある。
c815-1	指針	ししん	0.897	0.897	二〇〇九年の地震の計算方法には、橋の下を通る船の大きさと速さ	二〇〇九年の試しの計算方法には、橋の下を通る船の大きさと速さ
c427-3	右舷	うげん	0.870	0.936	一時二十九分九秒、船首の尾栓が十七番橋脚に当たった。	一時二十九分二十九秒、船首の右舷が十七番橋脚に当たった。
c421-2	左舷	さげん	0.703	0.889	上級水仙神が三年の怒りを投げよと命じる。	上級。西川人が左舷の錨を投げよと命じる。
c313-3	端子台	たんし台	0.727	0.818	唐時代は船に数千個あった	端次第は船に数千個あった
c916-2	斜張橋	しゃちょう橋	0.963	1.000	全長二マイル。塔から張ったケーブルで桁を吊る七張橋である。	全長二マイル。塔から張ったケーブルで十桁を吊る斜張橋である。
c113-2	防衝工	ぼうしょう工	0.943	0.943	十七番と十八番の橋脚を潰れて力を吸うコンクリートと木の防衝構が囲んでいた。	十七番と十八番の橋脚を潰れて力を吸うコンクリートと木の防衝構が囲んでいた。
c312-2	舶用軽油	はくよう軽油	0.870	0.870	この夜燃やしていたのはそのうちの柏葉桂油である。	この夜燃やしていたのはそのうちの柏葉桂油である。
c416-2	主機関	しゅ機関	0.792	0.857	手記感は人が手でかけ直さないと動かない作りである。	機種機関は人が手でかけ直さないと動かない作りである。
c110-2	非冗長	ひじょうちょう	0.717	0.875	非冗長、サガネ引き帳ボルト材。サガネでできていて、引っ張られていて	非常庁鋼引っ張る部材。鋼でできていて、引っ張られていて
c110-2	引張部材	ひっぱり部材	0.717	0.958	非冗長、サガネ引き帳ボルト材。サガネでできていて、引っ張られていて	非冗長、鋼引っ張り部材。鋼でできていて、引っ張られていて
c907-2	岸壁	がんぺき	0.833	0.865	岸壁に戻して、住処と残骸を下ろしていく。	岩壁に戻して積み荷と残骸を下ろしていく。
ep05-2	実効的	じっこう的	0.917	1.000	一方的で即時の連絡は橋で働く人の安全に欠かせない。	実効的で即時の連絡は橋で働く人の安全に欠かせない。
c615-2	寄与要因	きよ要因	0.746	0.786	ヒュー要員に上がったのも、船が橋脚に届いた時の備えの碁場だった	清陽院に上がったのも、船が橋脚に届いた時の備えの側だった。
c815-2	年間の隻数	ねんかんの隻数	0.897	0.966	円環の積数、水路の形などを入れて崩れる見込みを出すものである。	年間のせ数、水路の形などを入れて崩れる見込みを出すものである。
c907-2	積荷	積み荷	0.833	0.865	岸壁に戻して、住処と残骸を下ろしていく。	岩壁に戻して積み荷と残骸を下ろしていく。
c819-2	外航船	がいこう船	0.808	0.920	マイコウ線の衝突に対する備えがなかったことを挙げている。	外交船の衝突に対する備えがなかったことを挙げている。
c901-1	航路	こうろ	0.909	0.909	崩れた鋼とコンクリートは川の底と坑道を塞いだ。	崩れた鋼とコンクリートは川の底と坑道を塞いだ。
c607-2	甲板員	かんぱん員	0.702	0.926	選手尾にいたカンパニー一人が逃げる途中で軽い怪我を負っている。	船首にいた甲板員一人が逃げる途中で軽い怪我を負っている。
c316-1	甲板長	かんぱん長	0.692	0.846	店主には看板町が一人残った。	屯守には甲板長が一人残った。
c410-1	二等航海士	にとう航海士	0.895	0.895	二等航海士と操舵士は聞いていると答えた。	二等航海士と操舵士は「聞いている」と答えた。
c108-1	橋台	きょうだい	0.885	0.941	両端の貸し台、土手のそばで橋を受ける台が二基、橋脚が三十六基	両端の橋台、土手のそばで橋を受ける台が二基、橋脚が三十六基
c112-1	崩落の前	ほうらくの前	0.833	1.000	風邪薬の前の最後の検査は二千二十三年五月。	崩落の前の最後の検査は2023年5月
c613-2	力の道筋	ちからの道筋	0.848	0.938	からの道筋から視点そのものが抜けた	力の道筋から視点そのものが抜けた。
c725-2	覆ったぶん	おおったぶん	0.667	0.800	ここをえった分だけ外回りが太くなる	覆った分だけ外回りが太くなる。
c804-2	柱に残った	はしらに残った	0.895	1.000	まひらに残ったのは表面の軽い傷だけである。	柱に残ったのは表面の軽い傷だけである。
c426-2	錨のブレーキ	いかりのブレーキ	0.889	0.889	ミカのブレーキが開かなかった。	怒りのブレーキが開かなかった。
c108-1	の側	の がわ	0.885	0.920	両端の貸し台、土手のそばで橋を受ける台が二基、橋脚が三十六基	道八の橋台。土手の側で橋を受ける台が二基、橋脚が三十六基
pr12-2	259ページ	にひゃくごじゅうきゅうページ	0.938	1.000	259ページの報告書だけでたどり	二百五十九ページの報告書だけでたどる
c809-2	35人	サンジュウゴにん	0.889	0.941	75人が亡くなった。	35人が亡くなっ
c308-2	6600ボルト	ろくせんろっぴゃくボルト	0.857	0.966	Tasmak 六百ボルトの高圧の母線、電気を分ける幹の線につながっている	六千六百ボルトの高圧の母線、電気を分ける幹の線につながっている。
pr01-2	2769メートル	にせんななひゃくろくじゅうきゅうメートル	1.000	1.000	全長二七六九メートルの橋が真ん中から川に落ちた	全長二千七百六十九メートルの橋が真ん中から川に落ちた。
c106-1	34121台	さんまんよんせんひゃくにじゅういち台	0.960	0.917	車線は四つ。 2023年の通行は一日当たり341 21台。	車線は四つ。二千二十三年の通行は一日当たり三万四千百二十一台。
c303-1	4679個	よんせんろっぴゃくななじゅうきゅう個	0.967	1.000	積んでいたのは四四曲六七九個のコンテナ。重さにして五万五千六百七十一トン。	積んでいたのは四千六百七十九個のコンテナ。重さにして五万五千六百七十一トン
c108-3	径間	けいかん	0.870	0.913	走路の上の三計観だけが鋼のトラスで組まれていた。	高炉の上の三径間だけが鋼のトラスで組まれていた。
c310-2	操舵ポンプ	そうだポンプ	0.912	0.807	主機関の冷却水ポンプ、そしてソーダポンプ三台のうち二台である。	蒸気管の冷却水ポンプ、そしてそうだ、ポンプ三台のうち二台である。
c815-1	の指針の	の ししんの	0.897	0.966	二〇〇九年の地震の計算方法には、橋の下を通る船の大きさと速さ	二〇〇九年の指針の計算方法には、橋の下を通る船の大きさと速さ
c615-2	寄与要因	きよ よういん	0.759	0.786	日向要員に上がったのも、船が橋脚に届いた時の備えの碁場だった。	清陽院に上がったのも、船が橋脚に届いた時の備えの側だった。
c815-2	年間の隻数	ねんかんの せきすう	0.897	0.931	円環の積数、水路の形などを入れて崩れる見込みを出すものである。	年間の積雪、水路の形などを入れて崩れる見込みを出すものである。
c425-2	二等航海士	にとう航海士	0.912	1.000	尾藤航海士がつまみを回した。帆機が最初の停電で止まっており、動かなかった。	二等航海士がつまみを回した。補機が最初の停電で止まっており、動かなかった。
c907-2	岸壁に戻して	がんぺきに戻して	0.778	0.919	岩壁に戻して、住処と残骸を下ろしていく。	岸壁に戻して積み荷と残骸を下ろしていく。
c822-1	の指針より	の ししんより	0.867	0.867	1991年の死因より前に立ち、外交船が通る水路をまたぐ橋は68。	1991年の地震より前に立ち、外交船が通る水路をまたぐ橋は68。
c316-1	船首には	せんしゅには	0.846	0.552	天守には甲板長が一人残った。	選手にはカンパンナガが一人残った。
c316-2	橋を抜ける	はしを抜ける	0.923	0.868	「足を抜けるまで船首に一人おけ」という水先人の指示だった。	「橋を抜けるまで船首に一人おけ」という水崎氏との指示だった。
ca02-1	ワゴ社	わご社	0.909	0.909	端子台を作っている我が社への勧告はこうである。	端子台を作っている我が社への勧告はこうである。
c720-1	材料研究室	ざいりょう研究室	0.810	0.905	微量研究室に運んで調べると、探針台の口の面と	材料研究室に運んで調べると、端次第の口の面と
ca12-2	寄与要因は	きよよういん は	0.893	0.909	理由要因は三つ。橋に近すぎたこと、橋の側に備えがなかったこと	火要因は三つ。橋に近すぎたこと、橋の側に備えがまかったこと
c306-1	0時05分	れいじ ゴふん	0.898	0.939	午前零時六分、メリーランド水先人組合の上級水先人と	午前零時五分。メリーランド水先人組合の上級水先人と
c427-3	29分09秒	29分 09秒	0.936	0.936	一時二十九分二十九秒、船首の右舷が十七番橋脚に当たった。	一時二十九分零九秒。船首の右舷が十七番橋脚に当たった。
c427-3	1時29分09秒	1時29分 キュウびょう	0.936	0.957	一時二十九分二十九秒、船首の右舷が十七番橋脚に当たった。	一時二十九分九秒。船首の右舷が十七番橋脚に当たった。
c318-1	針路140度	しんろ140度	0.873	0.906	この時、船は真西140度で航路の中心の少し左を進んでいた。	この時、船は針路百四十度で航路の中心の少し左を進んでいた。
c403-1	針路142度	しんろ142度	0.947	0.947	船は八点九ノットで進んでいた。針路百四十二度	船は八点九ノットで進んでいた。針路百四十二度。
c918-2	通れるように	とおれるように	0.958	0.979	壊れるようになるのは2030年の後半とされている。	通れるようになるのは 2030年の後半とされてい
c821-1	あいだに当たられて	あいだに あたられて	0.814	0.814	そのうち四十の橋が二千二年から二千二十三年の間に渡られている。	そのうち四十の橋が二千二年から二千二十三年の間に渡られている
c814-1	州交通局は、この	しゅう交通局は、この	0.945	0.943	民衆交通局はこの指針を引用する別の基準を作る委員会にいた。	西州交通局はこの指針を引用する別の基準を作る委員会に
c423-2	低圧が戻る	ていあつが戻る	0.818	0.773	血圧が戻る。それでも手記感は止まったままである。	手厚が戻る。それでも指揮官は止まったままである。
c424-2	速力7.5	そくりょく7.5	0.750	1.000	スク力七点五ノット	速力7.5ノット
c910-2	崩落から	ほうらくから	0.818	1.000	フーズ落から七十六日である。	崩落から七十六日である。
c805-1	防衝工は壊れた	ぼうしょうこうは壊れた	0.791	0.744	防潮溝は壊れたが、元の設計通りに作り直された。	王昭君は壊れたが、元の設計通りに作り直された。
c712-1	引外し装置	ひきはずし装置	0.873	0.909	この遮断機には不足電圧引きずし装置という部品がついている。	この遮断機には不足電圧引き外し装置という部品がついている
c715-2	ワゴ社の3口	わごしゃの3口	0.918	0.933	緩んだつなぎ目が一つ見つかる。輪ゴム車の三口の端子台、番号は三百八十一。	緩んだつなぎ目が一つ見つかる。和語社の三口の端子台、番号は三百八十一。
c104-2	主航路の上	しゅこうろの上	0.909	0.982	主砲楼の上の桁下は百八十五フィート、およそ五十六メートルあった。	主航路の上の桁下は百八十五フィート、およそ五十六メートルあった。
