行	テイク数	判定	各テイクの聞取	本文
pr04-1	3	採用（文字起こしが台本と合う）	take1: 事故の後、会田保守署が208ページの報告書を出した || take2: 事故の後、会田保守署が二百八ページの報告書を出した || take3: 事故の後、アイダホ支署が二百八ページの報告書を出した	事故のあと、アイダホ支所が208ページの報告書を出した。
pr06-2	1	採用（文字起こしが台本と合う）	take1: 全員が軍から来ていた運転員である。	全員が、軍から来ていた運転員である。
pr11-2	4	要耳（全テイク落ち・所見最少を採用）	take1: わかっていないことはわかっていないと言って終わる。 || take2: わかっていないことはわかっていないと言って終わる。 || take3: わかっていないことはわかっていないと言って終わる。 || take4: わかっていないことはわかっていないと言って終わる。	分かっていないことは、分かっていないと言って終わる。
c101-1	1	採用（文字起こしが台本と合う）	take1: この炉には事故の前からわかっていないことが一つあった。	この炉には、事故の前から、分かっていないことが1つあった。
c101-2	4	要耳（全テイク落ち・所見最少を採用）	take1: 名前はSL1。低知識低出力の原子炉一号機という意味である。 || take2: 名前はSL1。低知識低出力の原子炉一号機という意味である。 || take3: 名前はSL1。低知識低出力の原子炉一号機という意味である。 || take4: 名前はSL1。低知識低出力の原子炉一号機という意味である。	名前は SL-1。定置式・低出力の原子炉、1号機という意味である。
c103-1	1	採用（文字起こしが台本と合う）	take1: 何のための炉か。報告書はこう書いている。	何のための炉か。報告書はこう書いている。
c104-2	1	採用（文字起こしが台本と合う）	take1: 後に軍の呼び名に合わせ、3L1と改められた。	のちに軍の呼び名にあわせ、SL-1 と改められた。
c108-1	4	要耳（全テイク落ち・所見最少を採用）	take1: 円筒の後半を組み上げ、その中に炉を入れる。 || take2: 円筒の後半を組み上げ、その中に炉を入れる。 || take3: 円筒の後半を組み上げ、その中に炉を入れる。 || take4: 店頭の後半を組み上げ、その中に炉を入れる。	円筒の鋼板を組み上げ、その中に炉を入れる。
c111-2	1	採用（文字起こしが台本と合う）	take1: ウラン235は全部で14kg	ウラン235は、全部で14キログラム。
c112-1	1	採用（文字起こしが台本と合う）	take1: 濃縮度は九十一%。試験炉らしい高い数字である。	濃縮度は91パーセント。試験炉らしい、高い数字である。
c112-2	1	採用（文字起こしが台本と合う）	take1: 板の側面には、ホウ素を含んだ帯が溶接してあった。	板の側面には、ホウ素を含んだ帯が溶接してあった。
c117-2	3	採用（文字起こしが台本と合う）	take1: ベンジクラッチの電流を切ると棒は自分の重さで落ちる。 || take2: ベンジクラッチの電流を切ると、棒は自分の重さで落ちる。 || take3: 電磁クラッチの電流を切ると、棒は自分の重さで落ちる。	電磁クラッチの電流を切ると、棒は自分の重さで落ちる。
c119-2	1	採用（文字起こしが台本と合う）	take1: 12フィートで足りると見積もられたが、16フィート入れてあった。	12フィートで足りると見積もられたが、16フィート入れてあった。
c205-2	2	採用（文字起こしが台本と合う）	take1: 高直能になるには、そこからさらに六ヶ月かかった || take2: 当直長になるには、そこからさらに六ヶ月かかった。	当直長になるには、そこからさらに6か月かかった。
c207-1	2	採用（文字起こしが台本と合う）	take1: ロは年末年始を挟んで止まっていた。 || take2: 炉は年末年始を挟んで止まっていた。	炉は、年末年始を挟んで止まっていた。
c207-2	1	採用（文字起こしが台本と合う）	take1: 止めたのは1960年12月23日、クリスマス休暇のためである。	止めたのは1960年12月23日。クリスマス休暇のためである。
c208-2	4	要耳（全テイク落ち・所見最少を採用）	take1: 伏水ポンプの改造、ベント配管の工事が行われている。 || take2: 伏水ポンプの改造、ベント配管の工事が行われている。 || take3: 伏水ポンプの改造、ベント配管の工事が行われている。 || take4: 伏水ポンプの改造、ベント配管の工事が行われている。	復水ポンプの改造、弁と配管の工事が行われている。
c209-1	1	採用（文字起こしが台本と合う）	take1: 年が明けて一月三日、深夜零時から朝八時の当直四人が建物を空けた。	年が明けて1月3日。深夜0時から朝8時の当直4人が、建物を開けた。
c216-2	4	要耳（全テイク落ち・所見最少を採用）	take1: 五、指導確認票を通す。六、冷えた状態で棒を落としてみる。 || take2: 五、指導確認票を通す。六、冷えた状態で棒を落としてみる。 || take3: 五、指導確認表を通す。六、冷えた状態で棒を落としてみる。 || take4: 五、指導確認票を通す。六、冷えた状態で棒を落としてみる。	5、始動確認表を通す。6、冷えた状態で棒を落としてみる。
c217-1	3	採用（文字起こしが台本と合う）	take1: 七三百ポンドまで圧をかけて漏れを見る。上の線を戻す。 || take2: 7300ポンドまで圧をかけて漏れを見る。上の線を戻す。 || take3: 七、三百ポンドまで圧をかけて漏れを見る。上の線を戻す。	7、300ポンドまで圧をかけて漏れを見る。上の栓を戻す。
c218-1	3	採用（文字起こしが台本と合う）	take1: 順番に見ていくと、この夜は「帰道の前の日」にあたる。 || take2: 順番に見ていくと、この夜は「帰道の前の日」にあたる。 || take3: 順番に見ていくと、この夜は「起動の前の日」にあたる。	順番に見ていくと、この夜は「起動の前の日」にあたる。
c303-1	1	採用（文字起こしが台本と合う）	take1: 外から見えたものはいつも通りの蒸気だった。	外から見えたものは、いつもどおりの蒸気だった。
c306-1	4	要耳（全テイク落ち・所見最少を採用）	take1: 咽頭にも舌の杭にも目に見える損傷はない。 || take2: 咽頭にも舌の杭にも目に見える損傷はない。 || take3: 円頭にも下の杭にも目に見える損傷はない。 || take4: 弁当にも舌の食いにも目に見える損傷はない。	円筒にも、下の杭にも、目に見える損傷は無い。
c306-2	1	採用（文字起こしが台本と合う）	take1: 建屋から二十五フィート離れて毎時二点五レントゲン。放射線の当時の単位だ。	建屋から25フィート離れて、毎時2.5レントゲン。放射線の、当時の単位だ。
c310-1	1	採用（文字起こしが台本と合う）	take1: 炉心には一番から九番まで番号が振ってある	炉心には、1番から9番まで番号が振ってある。
c312-2	1	採用（文字起こしが台本と合う）	take1: 炉心を囲う鋼の筒、熱遮蔽に押し付けられていた	炉心を囲う鋼の筒、熱遮蔽に押しつけられていた。
c316-2	1	採用（文字起こしが台本と合う）	take1: 棒の延長と羽棒も継手のところで曲がるか折れるかしている。	棒の延長と歯棒も、継手のところで曲がるか、折れるかしている。
c318-1	1	採用（文字起こしが台本と合う）	take1: 五番と六番はほとんど読み取れていない。	5番と6番は、ほとんど読み取れていない。
c322-1	4	採用（文字起こしが台本と合う）	take1: 社の散水管、つまり炉心に水をかける輪の管は壁から引きちぎられていた。 || take2: 社の散水管、つまり炉心に水をかける輪の管は壁から引きちぎられていた。 || take3: 社の散水管、つまり炉心に水をかける輪の管は壁から引きちぎられていた。 || take4: 下の散水管、つまり炉心に水をかける輪の管は壁から引きちぎられていた。	下の散水環、つまり炉心に水をかける輪の管は、壁から引きちぎられていた。
c327-2	1	採用（文字起こしが台本と合う）	take1: 一方、圧力容器の壁にも熱遮蔽にも損傷はない。水も全く見えなかった。	一方、圧力容器の壁にも熱遮蔽にも損傷は無い。水も、まったく見えなかった。
c328-1	2	採用（文字起こしが台本と合う）	take1: 安徳の結論はここで止まる。「野心が全体として乱れた」と。 || take2: 判読の結論はここで止まる。炉心が全体として乱れたと	判読の結論は、ここで止まる。炉心が全体として乱れた、と。
c402-1	3	採用（文字起こしが台本と合う）	take1: ほぼ同じ時刻、北西0.9マイル離れた別の施設の上映所で || take2: ほぼ同じ時刻、北西零点九マイル離れた別の施設の猛営所で || take3: ほぼ同じ時刻、北西0.9マイル離れた別の施設の門衛所で	ほぼ同じ時刻、北西へ0.9マイル離れた別の施設の門衛所で、
c404-2	4	要耳（全テイク落ち・所見最少を採用）	take1: 放出を示していない。毛営時を測っても背景の値だけである。 || take2: 放出を示していない。毛営所を測っても背景の値だけである。 || take3: 王出を示していない。問衛上測っても背景の値だけである。 || take4: 放出を示していない。権衛上測っても背景の値だけである。	放出を示していない。門衛所を測っても、背景の値だけである。
c413-2	1	採用（文字起こしが台本と合う）	take1: 炉の運転階へ上がる階段の手前までである。	炉の運転階へ上がる階段の、手前までである。
c417-1	4	採用（文字起こしが台本と合う）	take1: もうえい所のそばに停めた車のところでも値が出た。 || take2: 猛鋭所のそばに停めた車のところでも値が出た。 || take3: 農営所のそばに停めた車のところでも値が出た。 || take4: 門衛所のそばに停めた車のところでも値が出た。	門衛所のそばに止めた車のところでも、値が出た。
c422-1	1	採用（文字起こしが台本と合う）	take1: 運転会へ上がる階段の三段目か四段目まで来たところで	運転階へ上がる階段の、3段目か4段目まで来たところで、
c422-2	1	採用（文字起こしが台本と合う）	take1: 計器が振り切れた。毎時二十五レントゲン。それまでの百倍だ。二人は引き返した。	計器が振り切れた。毎時25レントゲン、それまでの100倍だ。2人は引き返した。
c503-2	2	採用（文字起こしが台本と合う）	take1: 毎時五百レントゲンで止める。ケーキがそこまでしか読めないからだ。 || take2: 毎時五百レントゲンで止める。計器がそこまでしか読めないからだ。	毎時500レントゲンで止める。計器が、そこまでしか読めないからだ。
c504-2	4	要耳（全テイク落ち・所見最少を採用）	take1: 戸口にケーキを差し出す。針は五百で振り切れた。 || take2: 戸口にケーキを差し出す。針は五百で振り切れた。 || take3: 戸口にケーキを差し出す。針は五百で振り切れた。 || take4: 戸口にケーキを差し出す。針は五百で振り切れた。	戸口に計器を差し出す。針は500で振り切れた。
c507-2	4	採用（文字起こしが台本と合う）	take1: 相田保守署へ移った。管理店が置かれ、測定が組み直される。 || take2: 相田保守署へ移った。管理点が置かれ、測定が組み直される。 || take3: 会田星署へ移った。管理点が置かれ、測定が組み直される。 || take4: 会田保守所へ移った。管理点が置かれ、測定が組み直される。	アイダホ支所へ移った。管理点が置かれ、測定が組み直される。
c509-2	1	採用（文字起こしが台本と合う）	take1: 一人は配電盤のそば、もう一人は遮蔽ブロックと炉の頭の間にいた。	1人は配電盤のそば。もう1人は、遮蔽ブロックと炉の頭のあいだにいた。
c511-1	1	採用（文字起こしが台本と合う）	take1: そこは配電盤のそばで毎時500から600レントゲン	そこは、配電盤のそばで毎時500から600レントゲン。
c514-1	1	採用（文字起こしが台本と合う）	take1: 担架を入り口の近くに置き、二人がそこまで運んで乗せた。	担架を入口の近くに置き、2人がそこまで運んで載せた。
c515-2	1	採用（文字起こしが台本と合う）	take1: 発電機のところで担架が通らない。入った道を戻っている。	発電機のところで担架が通らない。入った道を戻っている。
c516-1	3	採用（文字起こしが台本と合う）	take1: 救助にかかったのはおよそ八分、運転会に三分、校内に五分 || take2: 救助にかかったのはおよそ八分、運転会に三分、校内に五分 || take3: 救助にかかったのはおよそ八分。運転会に三分、構内に五分	救助にかかったのは、およそ8分。運転階に3分、構内に5分。
c517-1	1	採用（文字起こしが台本と合う）	take1: 11時ちょうど、担架は連絡車に乗せられ	11時ちょうど、担架は連絡車に載せられ、
c517-2	1	採用（文字起こしが台本と合う）	take1: 門から四分の一マイル離れた道路で救急車と落ち合った。	門から4分の1マイル離れた道路で、救急車と落ち合った。
c519-2	1	採用（文字起こしが台本と合う）	take1: 警報から二時間十三分が経っている。	警報から、2時間13分が経っている。
c521-1	1	採用（文字起こしが台本と合う）	take1: 三人目は見つかった。報告書の90ページはその状態を一行で書いている。	3人目は見つかった。報告書の90ページは、その状態を1行で書いている。
c521-2	1	採用（文字起こしが台本と合う）	take1: 三人目は天井にあった	3人目は、天井にあった
c602-2	1	採用（文字起こしが台本と合う）	take1: 衣類を外しても値は目に見えて下がらなかった。	衣類を外しても、値は目に見えて下がらなかった。
c605-2	2	採用（文字起こしが台本と合う）	take1: 接して測ると頭で毎度三十レントゲン、胸で五十 || take2: 接して測ると、頭で毎時三十レントゲン、胸で五十	接して測ると、頭で毎時30レントゲン、胸で50。
c608-1	2	採用（文字起こしが台本と合う）	take1: 羊の中には、ふぐが二枚入れられた。 || take2: 棺の中には札が二枚入れられた。	棺の中には、札が2枚入れられた。
c701-1	1	採用（文字起こしが台本と合う）	take1: 炉の中の写真は撮れた。壊れ方も読めた。	炉の中の写真は撮れた。壊れ方も読めた。
c704-2	1	採用（文字起こしが台本と合う）	take1: 委員長他五人の名前が表紙に並んでいる。	委員長ほか5人の名前が、表紙に並んでいる。
c705-2	1	採用（文字起こしが台本と合う）	take1: 百一ページ。刷られているのは二行だけである。	101ページ。刷られているのは、2行だけである。
c707-2	4	要耳（全テイク落ち・所見最少を採用）	take1: わかるのは消されたということだけである。ここでは推測しない。 || take2: わかるのは消されたということだけである。ここでは推測しない。 || take3: わかるのは消されたということだけである。ここでは推測しない。 || take4: わかるのは消されたということだけである。ここでは推測しない。	分かるのは、消された、ということだけである。ここでは推測しない。
c709-1	1	採用（文字起こしが台本と合う）	take1: 番号は IDO19311。320ページある。	番号は、アイ・ディー・オー、19311。320ページある。
c710-1	1	採用（文字起こしが台本と合う）	take1: 圧力容器が建屋から出されたのは1961年11月29日。	圧力容器が建屋から出されたのは、1961年11月29日。
c712-1	4	要耳（全テイク落ち・所見最少を採用）	take1: 食い込んでいた位置は報告書の用紙の二行目に書いてある。 || take2: 食い込んでいた位置は報告書の用紙の二行目に書いてある。 || take3: 食い込んでいた位置は報告書の用紙の二行目に書いてある。 || take4: 食い込んでいた位置は報告書の用紙の二行目に書いてある	食い込んでいた位置は、報告書の要旨の2行目に書いてある。
c716-2	1	採用（文字起こしが台本と合う）	take1: 報告書は手による引き抜き以外の説明を探している。	報告書は、手による引き抜き以外の説明を探している。
c718-1	1	採用（文字起こしが台本と合う）	take1: 放射線で水が分解して溜まった水素が爆発したという説明。	放射線で水が分解してたまった水素が爆発した、という説明。
c725-1	1	採用（文字起こしが台本と合う）	take1: 要旨にはこうある。	要旨には、こうある。
c726-2	1	採用（文字起こしが台本と合う）	take1: 誰がなぜそうしたのかは、この三冊のどこにも書かれていない。	誰がなぜそうしたのかは、この3冊のどこにも書かれていない。
c802-2	1	採用（文字起こしが台本と合う）	take1: 運ぶ、分解する、建屋を切って埋める、残りを除染する。	運ぶ。分解する。建屋を切って埋める。残りを除染する。
c809-1	1	採用（文字起こしが台本と合う）	take1: 炉心全体の二十パーセントでは溶けが被覆の表面まで進み	炉心全体の20パーセントでは、溶けが被覆の表面まで進み、
