no	naId	sheet	slot	use	seen	finding
01	146763404	nara_01	fireball	c104	2026-09-23	ブラボーの火球の空撮（色・桃色）。雲の上に火球と輪の雲。右端にフィルムの白い縁・四辺に黒い縁
02	146763410	nara_01	other_shots	-	2026-09-23	ヤンキーの火球の空撮1/3（暗い赤）。ブラボーではない
03	146763406	nara_01	fireball	c503?	2026-09-23	ブラボーの火球・エステスから（暗い橙）。雲の塊と水平線。左の縁に手書きの印
04	146763408	nara_01	fireball	c512	2026-09-23	ブラボーの火球・エステスから（明るい橙）。海の上のきのこ雲＝c512「艦上から」に最適。右の縁に小さな番号
05	146763402	nara_01	other_shots	c901	2026-09-23	ロメオのきのこ雲の空撮（縦長 3391x4134・桃色）
06	146763412	nara_01	other_shots	-	2026-09-23	ヤンキーの火球の空撮2/3（暗い赤）
07	146763394	nara_02	fireball	c422?	2026-09-23	ブラボーの火球の空撮（桃色）。輪の雲を重ねたきのこ雲＝いちばん明快
08	146763414	nara_02	other_shots	-	2026-09-23	ヤンキーの火球の空撮3/3（縦長・赤）。上に手書き番号
09	146763398	nara_02	other_shots	c323	2026-09-23	ユニオンの雲の空撮（暗い赤・小さな火球）
10	146763400	nara_02	other_shots	-	2026-09-23	ヤンキーの雲の空撮（縦長・赤）
11	146763396	nara_02	other_shots	c902	2026-09-23	ネクターの雲の空撮（赤）
12	146763492	nara_02	decon	-	2026-09-23	F-84G の除染（白黒）。人は背中＝公的な任務。左下に焼き込み ENI-545-54
13	146763452	nara_03	base	c410	2026-09-23	パリー島の天幕（白黒）。左上に手書き 22-2500。人は写らない
14	146763430	nara_03	decon	c518	2026-09-23	USS Curtis 汚れた服を脱いだあとの線量測定（縦長）。顔あり＝艦の乗組員（公的な任務）。左上に手書き
15	146763494	nara_03	base	c212	2026-09-23	エニウェトクの飛行場（空撮・白黒）。左下に焼き込み ENI-75-54
16	146763466	nara_03	damage	-	2026-09-23	Project 3.4 ソ連の機雷の被害（縦長）。船べりの機雷と人（公的な任務）。右下に D-205-5
17	146763462	nara_03	NG	-	2026-09-23	🔴 使わない：クェゼリンで診察される島の子ども＝私人の子どもの顔＋皮膚の傷（§B2-2）。④'で外したとおり
18	146763422	nara_03	base	c211	2026-09-23	パリー島の施設の空撮（白黒）。左下に手書き 22-1005
19	146763478	nara_04	fallout	-	2026-09-23	濾紙を巻く準備（白衣の2人・棒・鉛の箱）。左下に焼き込み ENI-455-54
20	146763464	nara_04	other_shots	-	2026-09-23	Project 3.4 ユニオンのあとの機雷の回収（縦長）。右下に D-205-8
21	146763460	nara_04	fallout	-	2026-09-23	濾紙を遮へいの箱へ（セピア）。後ろに F-84。左下に焼き込み ENI-454-54・右上に手書き 65%
22	146763454	nara_04	base	c407	2026-09-23	エニウェトクの金属の建物（白黒）。左上に手書き 22-2503
23	146763438	nara_04	decon	-	2026-09-23	YAG-40 の甲板を洗う乗組員（白黒）。左上に手書き 22-1564
24	146763486	nara_04	decon	-	2026-09-23	B-36 の尾翼を洗う（白黒）。左下に焼き込み ENI-533
25	146763476	nara_05	fallout	-	2026-09-23	F-84G 採取機の駐機（真上から）。下に大きく焼き込み ENI-85-54・手書き 65%・FIG 25
26	146763474	nara_05	decon	c904?	2026-09-23	艦の除染（高圧の海水とブラシ）。白い服の人（公的な任務）。右下に D264-3
27	146763470	nara_05	suits	c216	2026-09-23	防護服3種（マスクで顔は見えない）＝DNA の図と同じ写真の疑い（§7：suits＝第19・20・36図）
28	146763440	nara_05	decon	-	2026-09-23	パリー島の除染器材（縦長）。DANGER RADIATION の札＝その場の看板（主題）。左上に手書き
29	146763434	nara_05	rongelap	-	2026-09-23	ロンゲラップの調査・靴の覆い（縦長）＝第67図と同じ写真
30	146763426	nara_05	rongelap	-	2026-09-23	ロンゲリックのネズミを持つ乗組員＝第68図と同じ写真。使わない（要らない）
31	146763416	nara_06	fallout	-	2026-09-23	翼端の筒から濾紙を取り出す（Fig.28）。手書き 65%・CROP・Fig.28
32	146763490	nara_06	decon	-	2026-09-23	B-36 の下で洗う（縦長）。焼き込み ENI-538-54
33	146763488	nara_06	decon	c208	2026-09-23	B-36 の主翼を洗う（白黒）。手書き CROP・178%・Fig.43
34	146763484	nara_06	fallout	-	2026-09-23	濾紙の入った「ピッグ」を持ち上げる2人。焼き込み ENI-461-54
