行	テイク数	判定	各テイクの聞取	本文
pr04-2	4	採用（文字起こしが台本と合う）	take1: 下に沈んだ量は一転に千センチほど。それが最初の合図である。 || take2: 下に沈んだ量は一辺二センチほど。それが最初の合図である。 || take3: 下に沈んだ量は一転に千センチほど。それが最初の合図である。 || take4: 下に沈んだ量は一点二センチほど。それが最初の合図である。	下に沈んだ量は、1.2センチほど。それが、最初の合図である。
c116-2	1	採用（文字起こしが台本と合う）	take1: 記号のまま呼ぶのは、この柱が後でもう一度出てくるからである。	記号のまま呼ぶのは、この柱が、あとでもう一度出てくるからである。
c201-1	1	採用（文字起こしが台本と合う）	take1: ここから日止の数え方が変わる。	ここから、NIST の数え方が変わる。
c203-2	1	採用（文字起こしが台本と合う）	take1: 人が普通に歩くタイル張りの面の方である。	人がふつうに歩く、タイル張りの面のほうである。
c210-2	1	採用（文字起こしが台本と合う）	take1: 引き取りの図に描き込まれるくらい水は話に出ていた。	聞き取りの図に描き込まれるくらい、水は話に出ていた。
c214-1	1	採用（文字起こしが台本と合う）	take1: 隙間だった。しかもその幅まで書き込まれている。	隙間だった。しかも、その幅まで書き込まれている。
c228-2	1	採用（文字起こしが台本と合う）	take1: 九分前、六分から七分前、五分から六分前、四分から五分前。分の単位になる。	9分前、6分から7分前、5分から6分前、4分から5分前。分の単位になる。
c311-1	3	採用（文字起こしが台本と合う）	take1: 橋がが床を突き抜けるようにして壊れる。 || take2: 滑車が床を突き抜けるようにして壊れる。 || take3: 柱が床を突き抜けるようにして壊れる。	柱が床を突き抜けるようにして壊れる。
c317-1	2	採用（文字起こしが台本と合う）	take1: 起きた星らの数は二本。 || take2: 起きた柱の数は二本。	起きた柱の数は、2本。
c321-2	1	採用（文字起こしが台本と合う）	take1: nistはこの壊れ方を実物と同じ大きさで作り直している。	NIST は、この壊れ方を、実物と同じ大きさで作り直している。
c324-2	1	採用（文字起こしが台本と合う）	take1: どこがどれだけ動いたかを余さず記録するためである。	どこがどれだけ動いたかを、余さず記録するためである。
c327-2	2	採用（文字起こしが台本と合う）	take1: 大楽の時にかかっていたと考えられる条件で押していく || take2: 崩落の時にかかっていたと考えられる条件で押していく	崩落のときにかかっていたと考えられる条件で、押していく。
c328-1	3	採用（文字起こしが台本と合う）	take1: 発車の周りにヒビが入り始める。 || take2: 覇者の周りにヒビが入り始める。 || take3: 柱の周りにヒビが入り始める。	柱の周りに、ひびが入りはじめる。
c333-2	1	採用（文字起こしが台本と合う）	take1: 板が柱から離れていく。	板が柱から離れていく。
c404-2	1	採用（文字起こしが台本と合う）	take1: なぜ建てて40年経ったその日に崩れたのか。	なぜ、建てて40年たったその日に、崩れたのか。
c406-2	1	採用（文字起こしが台本と合う）	take1: 赤が重い不足、黄が中くらいの不足	赤が、重い不足。黄が、中くらいの不足。
c409-2	1	採用（文字起こしが台本と合う）	take1: 瓦礫の中から回収された床の断面	瓦礫のなかから回収された、床の断面。
c431-1	1	採用（文字起こしが台本と合う）	take1: 瓦礫は一つずつ番号を振られ、記録され、倉庫へ運ばれた。	瓦礫はひとつずつ番号をふられ、記録され、倉庫へ運ばれた。
c431-2	1	採用（文字起こしが台本と合う）	take1: 運ぶ時には警察の護衛がついたとニストは書いている。	運ぶときには警察の護衛が付いた、と NIST は書いている。
c504-1	1	採用（文字起こしが台本と合う）	take1: 北側というのは建物本体に接している側である。	北側というのは、建物本体に接している側である。
c516-1	1	採用（文字起こしが台本と合う）	take1: 崩落の25年前は1996年頃にあたる。	崩落の25年前は、1996年ごろにあたる。
c526-1	4	要耳（全テイク落ち・所見最少を採用）	take1: サピに対しては二インチの被りは有利に働いていた。 || take2: サビに対しては二インチのかぶりは有利に働いていた。 || take3: サピに対しては認知の被りは有利に働いていた。 || take4: サビに対しては2インチのかぶりは有利に働いていた。	錆に対しては、2インチのかぶりは、有利に働いていた。
c625-1	1	採用（文字起こしが台本と合う）	take1: nistの第四章の見出しは	NIST の第4章の見出しは、
c625-2	1	採用（文字起こしが台本と合う）	take1: 破壊が塔の中をどう広がっていったかである。	破壊が塔のなかを、どう広がっていったか、である。
c626-2	2	採用（文字起こしが台本と合う）	take1: 赤いはまず中央部を通り、その後で東側へ進んでいる。 || take2: 破壊はまず中央部を通り、その後で東側へ進んでいる。	破壊はまず中央部を通り、そのあとで、東側へ進んでいる。
c629-2	1	採用（文字起こしが台本と合う）	take1: 検討された二十四通りのうち最後に残った一つである。	検討された24通りのうち、最後に残った1つである。
c722-2	1	採用（文字起こしが台本と合う）	take1: 大きく寄与してはいない。	大きく寄与してはいない
c725-2	1	採用（文字起こしが台本と合う）	take1: 陥没も場所ごとに沈み方が違うことも大きくは聞いていない。	陥没も、場所ごとに沈み方が違うことも、大きくは効いていない。
ep07-2	1	採用（文字起こしが台本と合う）	take1: 壊れるまでの余裕が乏しかった原因の大半はこの二つにある。	壊れるまでの余裕が乏しかった原因の大半は、この2つにある。
ep14-2	1	採用（文字起こしが台本と合う）	take1: だから直せば済むものに見えた。門は実際に直されている。	だから、直せば済むものに見えた。門は、実際に直されている。
