場面	一致率	送った文	聞こえた文	送信文
pr01-1	0.919	2021年6月24日、午前1時22分ごろ。	2021年6月24日午前1時22分頃。	2021年6月24日、午前1時22分ごろ。
pr01-2	1.000	アメリカ、フロリダ州サーフサイド。マイアミの北にある、	アメリカフロリダ州サーフサイド。マイアミの北にある	アメリカ、フロリダ州サーフサイド。マイアミの北にある、
pr01-3	1.000	大西洋に面した、小さな町である。	大西洋に面した小さな町である。	大西洋に面した、小さな町である。
pr02-1	0.979	海沿いに建つ12階建てのマンションの、およそ半分が、	海沿いに建つ十二階建てのマンションのおよそ半分が	海沿いに建つ12階建てのマンションの、およそ半分が、
pr02-2	1.000	数秒のうちに崩れ落ちた。98人が亡くなっている。	数秒のうちに崩れ落ちた。九十八人が亡くなっている。	数秒のうちに崩れ落ちた。98人が亡くなっている。
pr03-1	1.000	ただし、この崩落には、はっきりしていることがある。	ただし、この崩落にははっきりしていることがある。	ただし、この崩落には、はっきりしていることがある。
pr03-2	1.000	崩れ始めたのは、この夜ではない。	崩れ始めたのはこの夜ではない。	崩れ始めたのは、この夜ではない。
pr04-1	0.939	3週間前、この建物では、ひとつの門が開かなくなっていた。	三週間前、この建物では一つの門が開かなくなっていた。	3週間前、この建物では、ひとつの門が開かなくなっていた。
pr04-2	0.980	下に沈んだ量は、1.2センチほど。それが、最初の合図である。	下に沈んだ量は一点二センチほど。それが最初の合図である。	下に沈んだ量は、いってんにセンチほど。それが、最初の合図である。
pr05-1	1.000	3週間前から数え始めているのは、こちらの都合ではない。	三週間前から数え始めているのはこちらの都合ではない。	3週間前から数え始めているのは、こちらの都合ではない。
pr05-2	1.000	5年をかけて調べた、アメリカの国の調査団である。	五年をかけて調べたアメリカの国の調査団である。	5年をかけて調べた、アメリカの国の調査団である。
pr07-1	1.000	崩れたのは、建物の東側と、中央だった。	崩れたのは建物の東側と中央だった。	崩れたのは、建物の東側と、中央だった。
pr07-2	1.000	生きて助け出されたのは4人と報じられ、うち1人は病院で亡くなっている。	生きて助け出されたのは四人と報じられ、うち一人は病院で亡くなっている。	生きて助け出されたのは4人と報じられ、うち1人は病院で亡くなっている。
pr07-3	1.000	崩れずに残った西側は、その年の7月4日に、爆破で解体されている。	崩れずに残った西側はその年の七月四日に爆破で解体されている。	崩れずに残った西側は、その年の7月4日に、爆破で解体されている。
pr08-1	1.000	調べたのは、アメリカ国立標準技術研究所。NIST という。	調べたのはアメリカ国立標準技術研究所NISTという	調べたのは、アメリカ国立標準技術研究所。ニスト という。
pr08-2	0.955	国が調査団を送る法律にもとづく調査で、結果の公表は、2026年6月22日。	国が調査団を送る法律に基づく調査で、結果の公表は2026年6月22日。	国が調査団を送る法律にもとづく調査で、結果の公表は、2026年6月22日。
pr08-3	0.947	事故から5年後である。ただし、最終的な報告書は、いまも出ていない。	事故から五年後である。ただし、最終的な報告書は今も出ていない。	事故から5年後である。ただし、最終的な報告書は、いまも出ていない。
pr10-1	1.000	公表されたのは、技術的な知見と呼ばれる、途中の結論だけである。	公表されたのは技術的な知見と呼ばれる途中の結論だけである。	公表されたのは、技術的な知見と呼ばれる、途中の結論だけである。
pr10-2	0.945	そしてその知見のなかで、目撃の記録は、あの門から始まっている。	そしてその知見の中で、目撃の記録はあの門から始まっている。	そしてその知見のなかで、目撃の記録は、あの門から始まっている。
c101-1	0.955	先に、建物の形を見ておく。NIST が作った模型に、	先に建物の形を見ておく。NISTは作った模型に	先に、建物の形を見ておく。ニスト が作った模型に、
c101-2	0.962	寸法が書き込まれている。12階建て、高さは33.8メートル。	寸法が書き込まれている。十二階建て、高さは三十三点八メートル	寸法が書き込まれている。12階建て、高さは33.8メートル。
c102-1	0.982	平面はL字の形で、辺の長さは45.7メートルと、61メートル。	平面はL字の形で、辺の長さは四十五点七メートルと六十一メートル。	平面はL字の形で、辺の長さは45.7メートルと、61メートル。
c102-2	0.963	竣工したのは1981年で、崩れたのは、その40年後にあたる。	竣工したのは1981年で、崩れたのはその40年後に当たる	竣工したのは1981年で、崩れたのは、その40年後にあたる。
c103-1	1.000	ここで覚えておいてほしいのは、建物そのものではない。	ここで覚えておいてほしいのは、建物そのものではない。	ここで覚えておいてほしいのは、建物そのものではない。
c103-2	0.919	建物の南側に広がる、平らな床のほうである。	建物の南側に広がる平らな床の方である。	建物の南側に広がる、平らなゆかのほうである。
c104-1	1.000	プールと、その周りのタイル張りの床。	プールとその周りのタイル張りの床	プールと、その周りのタイル張りのゆか。
c104-2	0.958	あの平らな面は、地面の上に載っていたのではなかった。	あの平らな面は地面の上に乗っていたのではなかった。	あの平らな面は、地面の うえに載っていたのではなかった。
