行	扱い	理由
pr01-2	正しい（異音の所見は促音）	末尾「鳴|っ|た」（3.10-3.18秒の っ が異音の位置）
pr04-1	取り直し（文字起こし合格）	3テイク
pr06-2	取り直し（文字起こし合格）	1テイク
pr08-1	表記のゆれ（同音の別字）	汲み→組み（くみ）
pr08-2	表記のゆれ（同音の別字）	栓→線（せん）
pr09-1	表記のゆれ（同音の別字）	運転階→運転会（うんてんかい）
pr09-2	正しい（異音の所見は促音）	末尾「だっ|た」
pr11-2	表記のゆれ（読みは同じ）	分かって→わかって。かな書きにしただけ
c101-1	取り直し（文字起こし合格）	1テイク
c101-2	表記のゆれ（同音の別字）	定置式（ていちしき）→低知識（ていちしき）
c103-1	取り直し（文字起こし合格）	1テイク
c104-2	取り直し（文字起こし合格）	1テイク
c105-1	表記のゆれ（同音の別字）	型→方（かた）
c108-1	表記のゆれ（同音の別字）	鋼板（こうはん）→後半（こうはん）
c108-2	表記のゆれ（同音の別字）	立てる→建てる（たてる）
c111-1	正しい（異音の所見は促音）	「1体は」＝いったい の っ（3.70秒）が異音の位置
c111-2	取り直し（文字起こし合格）	1テイク
c112-1	直した（EL_YOMI）	濃縮度は→のうしゅくどは（聞取『凝縮度』＝ぎょうしゅく だった）。取り直し後の聞取「濃縮度は…試験炉らしい」
c112-2	直した（EL_YOMI）	ホウ素を→ほうそを（聞取『ホース』＝1語に潰れていた）。取り直し後の聞取「ホウ素を」
c114-1	表記のゆれ（読みは同じ）	分からない→わからない
c115-1	表記のゆれ（同音の別字）	差してある→挿してある（さして）
c116-2	要耳（低）文頭に語の無い音	head 0.03-0.15秒・振幅比1.6 に Scribe の語が1つも重ならない（ほかの20行は全部 促音）。文字起こしは台本どおり
c117-2	取り直し（文字起こし合格）	3テイク
c118-1	表記のゆれ（同音の別字）	全行程→全工程（ぜんこうてい）
c119-2	取り直し（文字起こし合格）	1テイク
c201-2	表記のゆれ（同音の別字）	課程→過程（かてい）
c203-2	表記のゆれ（読みは同じ）	就く→つく
c204-2	正しい（異音の所見は促音）	「請け負|っ|た」
c205-2	取り直し（文字起こし合格）	2テイク
c207-1	取り直し（文字起こし合格）	2テイク
c207-2	取り直し（文字起こし合格）	1テイク
c208-2	表記のゆれ（A/B で確定）	復水（ふくすい）→伏水（ふくすい）／弁と配管→ベント配管（べんとはいかん）。かな「ふくすいポンプ」を送っても聞取は同じ＝Scribe の字の当て方
c209-1	表記のゆれ（同音の別字）	開けた→空けた（あけた）。取り直しずみ
c210-2	表記のゆれ（同音の別字）	栓→線（せん）
c215-1	表記のゆれ（読みは同じ）	汲み下げる→くみ下げる
