行	検査	何が	台本	聞取
pr08-2	1字の入れ替え	桁	中央の橋桁3つが、船首の上と川へ落ちた。	中央の橋げた三つが船首の上と川へ落ちた。
pr09-2	1字の入れ替え	無	この橋には、外航船が当たったときに崩れないための備えが無かった。	この橋には外航船が当たった時に崩れないための備えがなかった。
pr11-2	1字の入れ替え	繋	最後の一本だけが、繋がっていなかった。	最後の一本だけがつながっていなかった。
c101-1	1字の入れ替え	跨	フランシス・スコット・キー橋。ボルチモアの港の出口を跨いでいた。	フランシス・スコット・キー橋。ボルチモアの港の出口をまたいでいた。
c101-2	1字の入れ替え	無	その設計の基準に、船がぶつかるという項目は無かった。	その設計の基準に船がぶつかるという項目はなかった
c108-1	1字の入れ替え	端	両端の橋台、土手の側で橋を受ける台が2基。橋脚が36基。	両橋の橋台、土手の側で橋を受ける台が二基、橋脚が三十六基
c108-3	同形異音語	間	航路の上の3径間だけが、鋼のトラスで組まれていた。	高路の上の三景観だけが鋼のトラスで組まれていた。
c108-3	字の欠け	径航	航路の上の3径間だけが、鋼のトラスで組まれていた。	高路の上の三景観だけが鋼のトラスで組まれていた。
c110-1	1字の入れ替え	付	この骨組みには、決められた呼び名が付いている。	この骨組みには決められた呼び名がついている。
c113-2	1字の入れ替え	衝	17番と18番の橋脚を、潰れて力を吸うコンクリートと木の防衝工が囲んでいた。	十七番と十八番の橋脚を潰れて力を吸うコンクリートと木の防潮工が囲んでいた。
c205-2	1字の入れ替え	無	緊急のときにどう伝えるかを決めた手順は、無かった。	緊急の時にどう伝えるかを決めた手順はなかった
c208-1	字の欠け	修補	州交通局と補修班の会社の契約には、こう書いてある。	州交通局と保守班の会社の契約にはこう書いてある。
c211-1	同形異音語	間	工事の車は7台。第18径間に4台、第20径間に2台、第22径間に1台。	工事の車は七台。第十八景観に四台、第二十景観に二台、第二十二景観に一台。
c211-1	1字の入れ替え	径	工事の車は7台。第18径間に4台、第20径間に2台、第22径間に1台。	工事の車は七台。第十八景観に四台、第二十景観に二台、第二十二景観に一台。
c212-2	同形異音語	間	第18径間と第20径間に止めた車の中にいた。	第十八警官と第二十警官に停めた車の中にいた。
c212-2	字の欠け	径止	第18径間と第20径間に止めた車の中にいた。	第十八警官と第二十警官に停めた車の中にいた。
c213-2	同形異音語	間	乾いていくコンクリートを見に行き、第22径間の自分の車まで戻ったところだった。	乾いていくコンクリートを見に行き、第二十二警官の自分の車まで戻ったところだった。
c213-2	1字の入れ替え	径	乾いていくコンクリートを見に行き、第22径間の自分の車まで戻ったところだった。	乾いていくコンクリートを見に行き、第二十二警官の自分の車まで戻ったところだった。
c301-2	字の欠け	舵造	低圧の電気が落ちると、明かりも舵も機関も同時に止まる造りだった。	低圧の電気が落ちると、明かりも家事も機関も同時に止まる作りだった。
c302-1	1字の入れ替え	造	2015年、韓国の現代重工業で造られた。	2015年、韓国の現代重工業で作られた
c302-3	1字の入れ替え	架	橋が架かった1977年、いちばん大きなコンテナ船でも700フィートだった。	橋がかかった1977年、一番大きなコンテナ船でも700フィートだった。
c305-2	1字の入れ替え	針	船の指揮は船長のもとにあり、水先人は針路と速力を指示する。	船の指揮は船長のもとにあり、水先人は進路と速力を指示する。
c310-2	字の欠け	操舵	主機関の冷却水ポンプ、そして操舵ポンプ3台のうち2台である。	主機関の冷却水ポンプ、そしてソーダポンプ三台のうち二台である。
c311-1	1字の入れ替え	舵	つまり、低圧が落ちれば、明かりと舵と機関が同時に止まる。	つまり、低圧が落ちれば明かりと家事と機関が同時に止まる。
c312-2	字の欠け	用舶軽	この夜、燃やしていたのは、そのうちの舶用軽油である。	この夜燃やしていたのはそのうちの柏葉桂油である。
c313-3	字の欠け	子端	端子台は、船に数千個あった	探師台は船に数千個あった
c315-2	同形異音語	側	速さが上がると、タグの側が船の後ろの流れで危なくなるからである。	速さが上がるとタグのガワが船の後ろの流れで危なくなるからである。
c316-1	字の欠け	甲船首	船首には甲板長が1人残った。	選手には看板長が一人残った
c316-2	1字の入れ替え	先	橋を抜けるまで船首に1人置け、という水先人の指示だった。	橋を抜けるまで船首に一人置けという水崎忍の指示だった。
c402-1	字の欠け	操舵	明かりが消えた。操舵ポンプ3台が全部止まった。	明かりが消えた。ソーダポンプ三台が全部止まった。
c402-2	1字の入れ替え	補	燃料ポンプも、冷却水ポンプも、船首を横に押すスラスターの補機も止まった。	燃料ポンプも冷却水ポンプも船首を横に押すスラスターの帆機も止まった。
c403-2	1字の入れ替え	橋	船首から橋までは3200フィート。船の長さの3.3隻ぶんである。	船首から端までは三千二百フィート、船の長さの三点三隻分である。
c404-1	1字の入れ替え	舵	舵は、停電した瞬間の中央を向いたまま固まった。	火事は停電した瞬間の中央を向いたまま固まった。
c407-1	1字の入れ替え	無	ただし、この装置には停電に備えた電源が無かった。	ただし、この装置には停電に備えた電源がなかった。
c409-2	1字の入れ替え	効	上級水先人が指揮を引き取り、舵は効くかと尋ねる。	上級水先人が指揮を引き取り、「舵は利くか？」と尋ねる。
c410-1	1字の入れ替え	効	二等航海士と操舵手は、効いていると答えた。	二等航海士と操舵手は聞いていると答えた。
c411-2	1字の入れ替え	針	針路が右へ振れています。舵は左いっぱいに当てています。	進路が右へ振れています。舵は左いっぱいに当てています。
c413-2	字の欠け	操舵	明かりが戻り、操舵ポンプ2台が回りはじめる。	明かりが戻り、ソーダポンプ 2台が回り始める。
c414-1	字の欠け	先水	ほぼ同じ1時25分59秒。上級水先人が電話をかけた。	ほぼ同じ 1時25分59秒、上級推薦人が電話をかけた。
c416-1	字の欠け	推舵進	電気と舵は戻った。しかし推進は戻らない。	電気と家事は戻った。しかし、水深は戻らない。
c416-2	字の欠け	主掛機造関	主機関は、人が手で掛け直さないと動かない造りである。	手記感は人が手でかけ直さないと動かない作りである。
c417-2	字の欠け	台操舵	3台目の操舵ポンプにも電気が来る。	三代目のソーダポンプにも電気が来る
c420-1	1字の入れ替え	掛	組合の手順では、緊急のときはまず沿岸警備隊へ掛けることになっていた。	組合の手順では、緊急の時はまず沿岸警備隊へかけることになっていた。
c420-2	1字の入れ替え	掛	配車係は一覧に州交通局の番号を見つけ、昔の訓練どおり、先にそこへ掛けた。	配車係は一覧に州交通局の番号を見つけ、昔の訓練通り先にそこへかけた。
c421-1	1字の入れ替え	橋	1時27分02秒。橋まで1500フィート。	一時二十七分二秒。端まで千五百フィート。
c421-2	字の欠け	先水	上級水先人が、左舷の錨を投げよと命じる。	上級推薦人が「左舷の錨を投げよう」と命じる
c423-1	1字の入れ替え	器	1時27分36秒。電気技師が、もう一組の遮断器を手で閉じた。	1時27分36秒、電気技師がもう一組の遮断機を手で閉じた。
c423-2	字の欠け	主機関	低圧が戻る。それでも主機関は止まったままである。	低圧が戻る。それでも指揮官は止まったままである。
c425-2	1字の入れ替え	補	二等航海士がつまみを回した。補機が最初の停電で止まっており、動かなかった。	二等航海士がつまみを回した。帆機が最初の停電で止まっており、動かなかった。
c426-2	1字の入れ替え	錨	錨のブレーキが、開かなかった	怒りのブレーキが開かなかった。
c427-1	字の欠け	船首	1時28分10秒、船首が航路の外へ出て、泥に乗り上げはじめる。	一時二十八分十秒。選手が航路の外へ出て泥に乗り上げ始める。
c504-2	1字の入れ替え	無	このあと、橋に入った一般の車は1台も無い。	この後、橋に入った一般の車は一台もない。
c511-1	1字の入れ替え	無	決められた手順が無かった、と報告書は書く。	決められた手順がなかったと報告書は書く。
c511-2	1字の入れ替え	無	警官と、橋の上の作業員や点検員のあいだに、即時の連絡の取り決めは無かった。	警官と橋の上の作業員や点検員の間に即時の連絡の取り決めはなかった。
c512-1	同形異音語	間	そのとき、7人は第18径間と第20径間の車の中で休んでいた。	その時七人は第十八警官と第二十警官の車の中で休んでいた。
c512-1	1字の入れ替え	径	そのとき、7人は第18径間と第20径間の車の中で休んでいた。	その時七人は第十八警官と第二十警官の車の中で休んでいた。
c512-2	同形異音語	間	点検員は第22径間を歩いていた。	点検員は第二十二計館を歩いていた。
c512-2	1字の入れ替え	径	点検員は第22径間を歩いていた。	点検員は第二十二計館を歩いていた。
c513-1	同形異音語	間	崩れなかった径間のうち、いちばん近いのは第16径間だった。	崩れなかった桂馬のうち、一番近いのは第十六景観だった。
c513-1	1字の入れ替え	径	崩れなかった径間のうち、いちばん近いのは第16径間だった。	崩れなかった桂馬のうち、一番近いのは第十六景観だった。
c514-1	同形異音語	間	第20径間のいちばん北の車から、およそ892メートル。	第二十警管の一番北の車からおよそ八百九十二メートル。
