行ID	話者	文	音声記号列	読み	出どころ
c101-1		2014年4月16日の朝。韓国の南西の海で、旅客船セウォル号が傾いた。	にせんじゅーよ'ねん/しがつ'/じゅーろく'にちの/あ'さ。か'んこくの/なんせーの/う'みで、りょかくせん/せうぉる'ごーが/かたむ'いた。	にせんじゅーよねんしがつじゅーろくにちのあさ。かんこくのなんせーのうみで、りょかくせんせうぉるごーがかたむいた。	auto
c101-2		乗っていた476人のうち、助かったのは172人だった。	のっていた'/よんひゃくななじゅーろくに'んのうち、たすか'ったのわ/ひゃくななじゅーにに'んだった。	のっていたよんひゃくななじゅーろくにんのうち、たすかったのわひゃくななじゅーににんだった。	auto
c102-1		傾いて、およそ1時間。船内には、まだ放送が流れていた。	かたむ'いて、およそ/いちじ'かん。せ'んないにわ、ま'だ/ほーそーが/なが'れていた。	かたむいて、およそいちじかん。せんないにわ、まだほーそーがながれていた。	auto
c102-2		9時50分、最後の放送も船内で待つように	く'じ/ごじゅ'っぷん、さ'いごの/ほーそーも/せ'んないで/ま'つよーに。	くじごじゅっぷん、さいごのほーそーもせんないでまつよーに。	auto
c103-1	q	船長たちは？	せ'んちょーたちわ？	せんちょーたちわ？	auto
c103-2		その数分前、助けに来た海洋警察の船に乗り移っていた。	その/すーふんま'え、たすけ'に/き'た/かいよーけ'ーさつの/ふ'ねに/のりうつ'っていた。	そのすーふんまえ、たすけにきたかいよーけーさつのふねにのりうつっていた。	auto
c103-3		乗客に、船から逃げるよう伝えないまま。	じょーきゃくに、ふ'ねから/にげ'るよー/つたえな'いまま。	じょーきゃくに、ふねからにげるよーつたえないまま。	auto
c104-1		最高裁判所の判決は、こう認めた。	さいこーさいばんしょの/はんけつわ、こー/みとめた'。	さいこーさいばんしょのはんけつわ、こーみとめた。	auto
c104-2		退船の命令は、一度も出なかった	たいせんの/めーれーわ、いちど'も/で'なかった。	たいせんのめーれーわ、いちどもでなかった。	auto
c105-1		傾いたきっかけは、12年たった今も決まっていない。	かたむ'いた/きっかけわ、じゅーに'ねん/たったい'まも/きまっていな'い。	かたむいたきっかけわ、じゅーにねんたったいまもきまっていない。	auto
c105-2		でも、なぜ助からなかったかには、裁判の答えがある。	で'も、な'ぜ/たすから'なかったかにわ、さ'いばんの/こた'えが/あ'る。	でも、なぜたすからなかったかにわ、さいばんのこたえがある。	auto
c106-1		乗客443人のうち325人は、修学旅行中の高校生だった。	じょーきゃく/よんひゃくよんじゅーさんに'んのうち/さんびゃくにじゅーごに'んわ、しゅーがくりょこーちゅーの/こーこーせーだ'った。	じょーきゃくよんひゃくよんじゅーさんにんのうちさんびゃくにじゅーごにんわ、しゅーがくりょこーちゅーのこーこーせーだった。	auto
c106-2		生徒のうち246人が亡くなり、4人が行方不明になった。	せ'ーとのうち/にひゃくよんじゅーろくに'んが/なくなり、よに'んが/ゆくえ/ふめーに/な'った。	せーとのうちにひゃくよんじゅーろくにんがなくなり、よにんがゆくえふめーになった。	auto
c107-1		この日の10時31分、セウォル号は、船首の先だけを水面に残して沈んだ。	この'ひの/じゅ'ーじ/さんじゅーい'っぷん、せうぉる'ごーわ、せ'んしゅの/さきだけを/すいめんに/のこ'して/しずんだ'。	このひのじゅーじさんじゅーいっぷん、せうぉるごーわ、せんしゅのさきだけをすいめんにのこしてしずんだ。	auto
c107-2		大きく傾いてから、1時間40分あまりのことだった。	お'ーきく/かたむ'いてから、いちじ'かん/よんじゅっぷんあ'まりのことだった。	おーきくかたむいてから、いちじかんよんじゅっぷんあまりのことだった。	auto
c108-1	q	この動画で、追うのは？	この/どーがで、おう'のわ？	このどーがで、おうのわ？	auto
c108-2		2つの問いだ。まず、なぜ船は傾いたのか。	ふたつ'の/といだ。ま'ず、な'ぜ/ふ'ねわ/かたむ'いたのか。	ふたつのといだ。まず、なぜふねわかたむいたのか。	auto
c108-3		そして、なぜ、これほど多くの人が助からなかったのか。	そして、な'ぜ、これほど/お'ーくの/ひとが/たすから'なかったのか。	そして、なぜ、これほどおーくのひとがたすからなかったのか。	auto
c109-1		主な手がかりは2つある。韓国の最高裁判所の判決と、	お'もな/てが'かりわ/ふたつ'/あ'る。か'んこくの/さいこーさいばんしょの/はんけつと。	おもなてがかりわふたつある。かんこくのさいこーさいばんしょのはんけつと。	auto
c109-2		事故を調べる国の機関、海洋安全審判院の報告書だ。どちらも原文で読んだ。	じ'こを/しらべ'る/くにの/き'かん、かいよー/あんぜんしんぱ'んいんの/ほーこくしょだ。ど'ちらも/げんぶんで/よ'んだ。	じこをしらべるくにのきかん、かいよーあんぜんしんぱんいんのほーこくしょだ。どちらもげんぶんでよんだ。	auto
c110-1		同じ出来事の時刻が資料によって数分ずれる所は、どちらの値かを言いながら進める。	おなじ/でき'ごとの/じ'こくが/し'りょーによって/すーふん/ずれ'るところわ、ど'ちらの/あたいかを/いいな'がら/すすめる。	おなじできごとのじこくがしりょーによってすーふんずれるところわ、どちらのあたいかをいいながらすすめる。	auto
c111-1		時刻は、すべて韓国の時刻で話す。日本の時刻と同じだ。	じ'こくわ、す'べて/か'んこくの/じ'こくで/はな'す。にほ'んの/じ'こくと/おなじだ。	じこくわ、すべてかんこくのじこくではなす。にほんのじこくとおなじだ。	auto
c111-2		セウォル号は、北西のインチョンから、南の島チェジュへ向かっていた。	せうぉる'ごーわ、ほくせーの/い'んちょんから、みなみの/しま'/ちぇ'じゅえ/むかっていた'。	せうぉるごーわ、ほくせーのいんちょんから、みなみのしまちぇじゅえむかっていた。	auto
c112-1	q	事故が起きたのは？	じ'こが/お'きたのわ？	じこがおきたのわ？	auto
c112-2		その途中の、チンドの沖だった。	その/とちゅーの、ち'んどの/おきだ'った。	そのとちゅーの、ちんどのおきだった。	auto
c112-3		話は、その前の晩。霧に包まれたインチョン港から始まる。	はなし'わ、その/ま'えの/ばん。きりに/つつまれた'/いんちょ'んこーから/はじまる。	はなしわ、そのまえのばん。きりにつつまれたいんちょんこーからはじまる。	auto
c201-1		2014年4月15日の夕方。インチョン港は、濃い霧に包まれていた。	にせんじゅーよ'ねん/しがつ'/じゅーご'にちの/ゆーがた。いんちょ'んこーわ、こ'い/きりに/つつまれていた'。	にせんじゅーよねんしがつじゅーごにちのゆーがた。いんちょんこーわ、こいきりにつつまれていた。	auto
c201-2		17時30分、港の管制は、見通しが1キロ以内だとして注意報を出した。	じゅーしち'じ/さんじゅ'っぷん、みなとの/かんせーわ、みとーしが/いち'きろ/い'ないだとして/ちゅーい'ほーを/だ'した。	じゅーしちじさんじゅっぷん、みなとのかんせーわ、みとーしがいちきろいないだとしてちゅーいほーをだした。	auto
c202-1		これがセウォル号だ。長さ約146メートル、幅22メートル。	これが/せうぉる'ごーだ。な'がさ/やくひゃくよんじゅーろくめ'ーとる、はば/にじゅーにめ'ーとる。	これがせうぉるごーだ。ながさやくひゃくよんじゅーろくめーとる、はばにじゅーにめーとる。	auto
c202-2		最大956人を乗せて、客と車や荷物を一緒に運ぶフェリーだった。	さいだい/きゅーひゃくごじゅーろくに'んを/のせて、きゃくと/くるまや/に'もつを/いっしょに/はこぶ/ふぇ'りーだった。	さいだいきゅーひゃくごじゅーろくにんをのせて、きゃくとくるまやにもつをいっしょにはこぶふぇりーだった。	auto
c203-1		予定の出港は、夕方の18時30分。翌朝の9時10分ごろ、チェジュ港に着く。	よてーの/しゅっこーわ、ゆーがたの/じゅーはち'じ/さんじゅ'っぷん。よくあさの/く'じ/じゅっぷんご'ろ、ちぇじゅ'こーに/つ'く。	よてーのしゅっこーわ、ゆーがたのじゅーはちじさんじゅっぷん。よくあさのくじじゅっぷんごろ、ちぇじゅこーにつく。	auto
c203-2	q	つまり、夜通し走る船？	つ'まり、よどおし/はし'る/ふ'ね？	つまり、よどおしはしるふね？	auto
